SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
KH97-102*,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,75.20,0.06,14.08,,,,0.74,0.06,1.45,4.61,3.42,2.84,0.02,0.13,0.24,,,,99.75,12.63,,,44.00,,89.00,11.49,44.00,9.54,1.91,9.19,1.43,8.76,1.56,4.14,,3.30,0.44,,,,,,,,,,,,,,,98.00,,344.00,,,,3.61,,,,,2.52,,,,37.00,,,,,2.91,,,,,10.04,,,17.40,,646.00,,22.22,,,,,,
B-KI-158-B,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,65.54,0.92,14.38,,,,6.18,2.16,4.46,2.71,3.14,2.61,0.24,0.07,0.50,,,,99.56,38.39,,,66.00,,118.00,13.77,50.00,10.25,2.77,7.48,0.84,4.10,0.79,2.54,,2.55,0.40,,,,,,,,,,,,,,,285.00,,1974.00,,,,1.01,,,,,0.63,,,,23.80,,,,,7.14,,,,,3.33,,,108.00,,525.00,,14.61,,,,,,
71-273,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,77.15,0.04,12.60,,,,0.37,0.08,1.24,3.81,4.08,3.39,0.02,,0.56,,,,99.37,27.82,,,27.00,,38.00,3.45,10.25,1.73,0.78,0.90,0.07,0.35,0.07,0.24,,0.25,0.04,,,,,,,,,,,,,,,44.00,,565.00,,,,0.12,,,,,2.44,,,,5.65,,,,,1.22,,,,,2.01,,,270.00,,173.00,,2.84,,,,,,
KH04-17,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,76.11,0.06,13.32,,,,0.69,0.25,1.50,4.13,3.15,2.61,0.04,0.02,0.70,,,,99.23,39.25,,,8.38,,12.35,1.35,6.89,1.45,1.05,0.84,0.10,0.44,0.07,0.22,,0.22,0.03,,,,,,,,,,,,,,,46.00,,2147.00,,,,0.41,,,,,0.48,,,,4.84,,,,,1.14,,,,,1.57,,,39.00,,322.00,,3.89,,,,,,
96-1277,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,76.84,0.05,12.97,,,,0.31,0.09,0.60,4.43,3.83,3.18,0.02,0.02,0.80,,,,99.14,34.11,,,8.17,,16.00,1.78,6.47,1.37,0.30,1.27,0.20,1.28,0.28,0.97,,1.15,0.19,,,,,,,,,,,,,,,43.00,,206.00,,,,0.31,,,,,2.39,,,,10.73,,,,,1.47,,,,,5.49,,,63.00,,120.00,,7.43,,,,,,
Ga2797,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,72.60,0.16,14.58,,,,1.23,0.37,1.58,4.74,3.71,3.08,0.06,0.03,0.80,,,,99.00,34.91,,,28.00,,47.00,5.25,16.70,2.89,1.26,2.54,0.28,1.26,0.23,0.69,,0.66,0.10,,,,,,,,,,,,,,,149.00,,1471.00,,,,0.40,,,,,3.14,,,,11.19,,,,,3.68,,,,,4.08,,,97.00,,740.00,,7.71,,,,,,
KH97-111*,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,59.44,0.66,18.58,,,,5.45,1.96,5.14,5.63,1.78,1.48,0.37,0.08,0.30,,,,98.72,39.07,,,16.70,,33.00,3.76,12.41,2.89,0.72,2.39,0.27,1.29,0.23,0.62,,0.48,0.07,,,,,,,,,,,,,,,71.00,,220.00,,,,0.16,,,,,0.17,,,,6.81,,,,,1.59,,,,,0.61,,,28.00,,263.00,,2.36,,,,,,
71-272,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,70.71,0.32,14.12,,,,2.38,0.57,1.89,3.78,4.84,4.02,0.09,0.04,1.00,,,,98.65,29.92,,,32.00,,62.00,6.78,22.40,4.58,1.13,4.06,0.54,2.95,0.57,1.71,,1.66,0.26,,,,,,,,,,,,,,,198.00,,953.00,,,,0.57,,,,,2.04,,,,16.20,,,,,4.98,,,,,5.45,,,132.00,,188.00,,6.46,,,,,,
69-1255,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,63.74,0.45,16.41,,,,4.29,2.12,5.34,3.71,1.85,1.54,0.23,0.10,1.24,,,,98.01,46.84,,,19.50,,31.00,3.45,11.04,1.99,0.93,1.63,0.18,0.83,0.15,0.43,,0.34,0.04,,,,,,,,,,,,,,,107.00,,442.00,,,,0.30,,,,,0.35,,,,4.73,,,,,2.35,,,,,1.25,,,52.00,,790.00,,7.83,,,,,,
KH97-114*,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,70.65,0.49,14.06,,,,3.04,0.77,1.66,2.54,4.34,3.60,0.09,0.03,2.00,,,,97.58,31.11,,,61.00,,114.00,13.43,50.00,9.45,1.88,8.34,1.22,6.96,1.34,4.01,,3.60,0.55,,,,,,,,,,,,,,,224.00,,1251.00,,,,0.60,,,,,1.42,,,,35.00,,,,,6.24,,,,,7.87,,,156.00,,196.00,,7.98,,,,,,
KH97-110*,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,71.41,0.34,14.71,,,,2.07,0.06,2.66,4.71,1.59,1.32,0.07,0.01,1.20,,,,97.56,4.91,,,3.31,,5.05,0.72,2.41,0.55,0.88,0.65,0.12,1.23,0.37,1.46,,2.55,0.39,,,,,,,,,,,,,,,43.00,,1231.00,,,,0.07,,,,,0.12,,,,10.93,,,,,2.23,,,,,0.90,,,27.00,,518.00,,0.41,,,,,,
KH04-23,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,54.30,0.69,17.23,,,,7.10,2.62,9.99,4.40,1.04,0.86,0.57,0.14,1.10,,,,97.51,39.68,,,30.00,,55.00,5.74,20.60,4.21,0.89,3.15,0.41,1.88,0.33,0.85,,0.76,0.11,,,,,,,,,,,,,,,63.00,,741.00,,,,1.33,,,,,3.37,,,,8.99,,,,,2.54,,,,,20.04,,,240.00,,298.00,,13.02,,,,,,
KG-03-A*,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,49.99,0.85,16.41,,,,7.91,6.88,10.31,3.43,1.27,1.05,0.08,0.16,1.80,,,,97.21,60.80,,,3.57,,6.90,1.12,6.47,1.80,0.72,2.41,0.49,3.35,0.67,1.95,,1.90,0.28,,,,,,,,,,,,,,,26.00,,190.00,,,,0.05,,,,,0.57,,,,18.00,,,,,0.81,,,,,0.92,,,37.00,,280.00,,0.56,,,,,,
281 VI,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,61.63,0.56,16.74,,,,4.68,2.20,5.58,3.45,2.09,1.74,0.22,0.10,2.24,,,,97.03,45.60,,,28.00,,50.00,5.47,19.70,3.81,1.29,3.58,0.46,2.45,0.46,1.37,,1.15,0.18,,,,,,,,,,,,,,,107.00,,767.00,,,,0.35,,,,,1.38,,,,12.70,,,,,2.62,,,,,2.59,,,36.00,,617.00,,4.57,,,,,,
71-271,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,52.16,0.99,16.98,,,,8.74,3.99,6.35,4.52,2.74,2.27,0.75,0.13,1.66,,,,96.60,44.87,,,54.00,,118.00,12.36,50.00,11.78,3.01,8.56,0.92,3.80,0.61,1.66,,1.20,0.19,,,,,,,,,,,,,,,118.00,,1142.00,,,,0.27,,,,,0.67,,,,17.30,,,,,2.61,,,,,2.22,,,86.00,,966.00,,4.76,,,,,,
69-1320,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,49.17,1.10,17.57,,,,9.36,2.98,10.80,4.49,0.90,0.75,0.67,0.22,1.70,,,,96.59,36.21,,,17.40,,38.00,5.14,20.20,5.41,1.91,5.11,0.67,3.39,0.62,1.62,,1.21,0.18,,,,,,,,,,,,,,,27.00,,417.00,,,,0.17,,,,,0.21,,,,15.80,,,,,0.87,,,,,0.98,,,0.92,,1030.00,,2.66,,,,,,
90MR6,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,79.25,0.05,0.99,,,6.65,6.65,4.69,7.92,0.17,0.05,0.04,0.02,0.14,0.10,,,,99.91,55.70,,,0.52,,1.02,,1.80,0.14,0.65,,0.03,,,,,,,,,,,,,,,,,,,,,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,,,,,,,,
88MR26,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,74.24,0.09,15.10,,,0.97,0.97,0.29,3.35,5.20,0.38,0.32,0.04,0.02,0.09,,,,99.64,34.77,,,13.20,,25.00,,9.00,1.46,0.65,,0.20,,,,,,,,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,220.00,,2.00,,,,,,
H,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,76.02,0.07,14.25,,,0.59,0.59,0.17,2.35,5.49,0.56,0.46,0.01,0.02,0.23,,,,99.52,33.94,,,3.40,,5.00,,2.00,0.52,0.50,,,,,,,,,,,,,,,,,,,,,,,119.00,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,22.00,,133.00,,,,,,,,
WR,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,70.16,0.24,14.43,,,2.84,2.84,2.62,3.35,3.87,1.45,1.20,0.09,0.03,0.81,,,,98.99,62.19,,,16.50,,32.00,,1.40,0.20,0.24,0.10,,,,,,,,,,,,,,,,,,,,,,124.00,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,98.00,,267.00,,2.00,,,,,,
90MR3,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,64.73,0.60,16.31,,,4.43,4.43,2.06,5.48,4.24,1.04,0.86,0.17,0.08,0.52,,,,98.97,45.33,,,8.00,,17.00,,11.00,2.73,0.83,,0.40,,,,,,,,,,,,,,,,,,,,,131.00,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,46.00,,282.00,,,,,,,,
G,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,73.66,0.02,0.17,,,17.87,17.87,4.27,2.33,0.08,0.02,0.02,0.03,0.28,0.02,,,,98.70,29.87,,,0.67,,1.23,0.13,0.49,0.11,0.06,0.15,0.03,0.16,0.04,0.11,,,,,,,,,,,,,,,,,,1.30,,,,,,,,,,,,,,,1.30,,,,,,,,,,,,,0.22,,2.30,,0.70,,,,,,
90TT1,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,66.94,0.41,15.63,,,3.55,3.55,2.43,4.62,3.63,1.40,1.16,0.12,0.07,0.98,,,,98.68,54.96,,,11.90,,24.00,,12.00,2.84,0.79,,0.50,,,,,,,,,,,,,,,,,,,,,110.00,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,76.00,,117.00,,,,,,,,
88MR30,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,67.24,0.42,16.87,,,2.07,2.07,2.14,4.40,4.22,1.19,0.99,0.12,0.01,0.49,,,,98.56,64.83,,,7.10,,9.50,,2.70,0.40,0.22,0.30,,,,,,,,,,,,,,,,,,,,,,191.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.00,,448.00,,2.00,,,,,,
90TT2,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,68.54,0.33,15.50,,,3.35,3.35,1.13,3.16,4.38,1.39,1.15,0.10,0.05,0.64,,,,97.83,37.55,,,19.70,,38.30,,13.70,2.10,0.81,1.50,0.20,1.30,0.30,0.80,,,,,,,,,,,,,,,,,,140.00,,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,54.00,,234.00,,2.00,,,,,,
I,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,41.08,0.97,19.00,,,20.65,20.65,7.94,3.17,1.21,2.74,2.27,0.13,0.36,0.09,,,,97.12,40.67,,,3.00,,8.00,,6.00,2.30,0.47,1.16,0.40,1.50,0.29,0.96,,,,,,,,,,,,,,,,,,58.00,,,,,,,,,,,,,,,16.00,,,,,,,,,,,,,188.00,,38.00,,1.00,,,,,,
87TT21,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,46.15,1.64,13.85,,,14.38,14.38,8.53,9.23,2.69,0.28,0.23,0.08,0.20,0.49,,,,96.95,51.40,,,5.40,,12.30,,12.60,3.90,1.28,4.90,0.90,6.30,1.40,4.30,,,,,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,,34.00,,,,,,,,,,,,,3.00,,100.00,,5.00,,,,,,
VDF2-2,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,46.52,0.28,8.50,,,9.82,9.82,25.30,4.79,0.82,0.08,0.07,0.02,0.16,2.35,,,,96.27,82.12,,,1.30,,2.60,,2.20,0.70,0.25,1.00,0.20,1.30,0.30,1.00,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,2.00,,19.00,,,,,,,,
VDF2-21,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,45.84,0.46,10.25,,,11.59,11.59,13.80,12.44,1.19,0.43,0.36,0.03,0.18,1.45,,,,96.18,67.98,,,2.50,,5.00,,4.30,1.30,0.42,1.60,0.30,2.20,0.50,1.40,,,,,,,,,,,,,,,,,,27.00,,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,16.00,,33.00,,,,,,,,
VDF2-12,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,46.73,0.38,8.58,,,11.20,11.20,21.03,6.39,1.13,0.15,0.12,0.02,0.18,2.44,,,,95.77,77.00,,,2.80,,5.20,,3.60,1.10,0.52,1.40,0.30,1.80,0.40,1.20,,,,,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,3.00,,13.00,,,,,,,,
87TT19,,,,,"Geology, age and origin of supracrustal rocks at Akilia, West Greenland",AMERICAN JOURNAL OF SCIENCE,,Archean,,Metamorphic,Unknown,Unknown,Granulite,63.90,-51.66,,47.17,0.34,7.72,,,10.49,10.49,23.28,5.20,0.84,0.10,0.08,0.02,0.16,3.17,,,,95.30,79.83,,,1.80,,3.80,,3.00,0.90,0.34,1.20,0.20,1.50,0.30,1.00,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,11.00,,,,,,,,
MQG-20,,,,,"Metamorphic development of early Archean tonalitic and trondhjemitic gneisses: Saglek Area, Labrador. Developments in Petrology 6. Trondhjemites dacites and related rocks.
 ","Amsterdam, Holland, Elsevier.",,Archean,,Metamorphic,Unknown,Unknown,Granulite,58.50,-63.00,,64.60,0.50,16.40,0.96,,3.52,4.38,2.51,4.60,4.76,1.48,1.23,0.21,0.06,0.76,,,,99.29,50.51,,44.00,33.00,,47.00,,,,,,,,,,,,,,,,,,,,,,80.00,,27.00,65.00,9.00,99.00,24.00,320.00,,,,,,,,,,,,,11.00,,,,,,,14.00,,,,,,30.00,,473.00,,6.00,,,,,,
WYK-09,,,,,"Metamorphic development of early Archean tonalitic and trondhjemitic gneisses: Saglek Area, Labrador. Developments in Petrology 6. Trondhjemites dacites and related rocks.
 ","Amsterdam, Holland, Elsevier.",,Archean,,Metamorphic,Unknown,Unknown,Granulite,58.50,-63.00,,69.20,0.32,15.70,0.31,,1.79,2.07,1.08,2.86,5.03,2.15,1.78,0.20,0.04,0.52,,,,98.45,48.20,,21.00,6.00,,54.00,,,,,,,,,,,,,,,,,,,,,,43.00,,9.00,55.00,457.00,115.00,23.00,54.00,,,,,,,,,,,,,10.00,,,,,,,6.00,,,,,,68.00,,631.00,,6.00,,,,,,
MQG-02,,,,,"Metamorphic development of early Archean tonalitic and trondhjemitic gneisses: Saglek Area, Labrador. Developments in Petrology 6. Trondhjemites dacites and related rocks.
 ","Amsterdam, Holland, Elsevier.",,Archean,,Metamorphic,Unknown,Unknown,Granulite,58.50,-63.00,,70.00,0.44,15.20,0.26,,1.92,2.15,0.84,2.72,4.14,2.72,2.26,0.10,0.02,0.71,,,,98.23,41.01,,11.00,19.00,,27.00,,,,,,,,,,,,,,,,,,,,,,36.00,,5.00,44.00,12.00,112.00,19.00,767.00,,,,,,,,,,,,,6.00,,,,,,,11.00,,,,,,73.00,,393.00,,5.00,,,,,,
WYK-06,,,,,"Metamorphic development of early Archean tonalitic and trondhjemitic gneisses: Saglek Area, Labrador. Developments in Petrology 6. Trondhjemites dacites and related rocks.
 ","Amsterdam, Holland, Elsevier.",,Archean,,Metamorphic,Unknown,Unknown,Granulite,58.50,-63.00,,64.00,0.34,15.80,0.56,,3.38,3.88,2.97,4.58,4.48,1.71,1.42,0.25,0.07,0.70,,,,97.83,57.69,,88.00,30.00,,31.00,,,,,,,,,,,,,,,,,,,,,,71.00,,47.00,61.00,20.00,103.00,22.00,368.00,,,,,,,,,,,,,10.00,,,,,,,8.00,,,,,,45.00,,600.00,,5.00,,,,,,
MQG-15,,,,,"Metamorphic development of early Archean tonalitic and trondhjemitic gneisses: Saglek Area, Labrador. Developments in Petrology 6. Trondhjemites dacites and related rocks.
 ","Amsterdam, Holland, Elsevier.",,Archean,,Metamorphic,Unknown,Unknown,Granulite,58.50,-63.00,,69.30,0.42,14.30,0.24,,2.64,2.86,1.61,2.74,3.81,2.60,2.16,0.15,0.04,0.84,,,,97.68,50.13,,42.00,27.00,,43.00,,,,,,,,,,,,,,,,,,,,,,46.00,,45.00,51.00,51.00,202.00,21.00,624.00,,,,,,,,,,,,,9.00,,,,,,,12.00,,,,,,87.00,,306.00,,3.00,,,,,,
278754,,,GEOROC,10.1016/S0024-4937(02)00109-3,"ACCRETION AND EVOLUTION OF AN ARCHEAN HIGH-GRADE GREY GNEISS-AMPHIBOLITE COMPLEX: THE FISKEFJORD AREA, SOUTHERN WEST GREENLAND",BULL. GEOL. GREENLAND SURV.,2500,3175,3850,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,64.9503,-51.2451,0.01,62.19,0.71,17.03,1.74,,3.99,5.56,2.34,5.66,4.78,0.74,0.61,0.2,0.08,0.33,,,,99.09,42.87,,53,13,,37,,23,3.1,0.98,,0.4,,,,,0.8,0.1,,,,,,,,9.3,,73,58,27,79,18,141,21,328,,,,0.4,,,,,,,,,9,,,,,2.1,,2,,,0,,,4,0,540,,6.5,,,,,,
278756,,,GEOROC,10.1029/2009GC002782,"ACCRETION AND EVOLUTION OF AN ARCHEAN HIGH-GRADE GREY GNEISS-AMPHIBOLITE COMPLEX: THE FISKEFJORD AREA, SOUTHERN WEST GREENLAND",BULL. GEOL. GREENLAND SURV.,2500,3175,3850,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,64.9502,-51.2371,0.01,66.53,0.51,16.47,1.25,,2.82,3.95,1.47,4.65,4.83,0.61,0.51,0.15,0.05,0.41,,,,99.07,39.89,,26,10,,15,,10,1.77,0.69,,0.3,,,,,0.38,0.05,,,,,,,,5.5,,43,72,11,60,11,109,18,512,,,,0,,,,,,,,,4,,,,,1.8,,8,,,0,,,2,0,559,,3,,,,,,
283673,,,GEOROC,10.1016/j.epsl.2016.06.029,"ACCRETION AND EVOLUTION OF AN ARCHEAN HIGH-GRADE GREY GNEISS-AMPHIBOLITE COMPLEX: THE FISKEFJORD AREA, SOUTHERN WEST GREENLAND",BULL. GEOL. GREENLAND SURV.,2500,3175,3850,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,64.5634,-51.6558,0.01,63.26,0.65,15.92,2.3,,4.22,6.29,2.64,5.53,3.96,0.63,0.52,0.12,0.12,0.39,,,,99.00,42.80,,42,10,,22,,11,1.92,0.74,,0.4,,,,,1.28,0.16,,,,,,,,14,,104,56,40,67,44,80,17,263,,,,0,,,,,,,,,13,,,,,2,,6,,,0,,,2,0,220,,2.9,,,,,,
283672,,,GEOROC,10.1093/petrology/egm010,"ACCRETION AND EVOLUTION OF AN ARCHEAN HIGH-GRADE GREY GNEISS-AMPHIBOLITE COMPLEX: THE FISKEFJORD AREA, SOUTHERN WEST GREENLAND",BULL. GEOL. GREENLAND SURV.,2500,3175,3850,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,64.5634,-51.6558,0.01,56.29,1.01,19.35,3.69,,3.78,7.1,2.26,7.11,4.93,0.75,0.62,0.24,0.12,0.33,,,,98.92,36.20,,12,14,,28,,16,2.77,1.09,,0.4,,,,,1.39,0.18,,,,,,,,13,,93,41,17,75,31,256,22,243,,,,0.4,,,,,,,,,17,,,,,4.6,,9,,,1,,,2,0,428,,6.5,,,,,,
339528,,,GEOROC,10.1016/j.jog.2006.09.004,"ACCRETION AND EVOLUTION OF AN ARCHEAN HIGH-GRADE GREY GNEISS-AMPHIBOLITE COMPLEX: THE FISKEFJORD AREA, SOUTHERN WEST GREENLAND",BULL. GEOL. GREENLAND SURV.,2500,3175,3850,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,64.6743,-52.155,0.01,73.45,0.17,14.17,1.19,,1.09,2.16,0.49,3.48,4.35,0.51,0.42,0.07,0.03,0.18,,,,98.81,28.80,,6,10,,18,,7,,,,,,,,,,,,,,,,,,1,,14,143,3,41,5,124,12,364,,,,,,,,,,,,,1,,,,,,,8,,,2,,,1,,287,,1,,,,,,
"GNEISS, TTG, GRANULITE",,,GEOROC,10.2973/odp.proc.sr.131.119.1993,"ACCRETION AND EVOLUTION OF AN ARCHEAN HIGH-GRADE GREY GNEISS-AMPHIBOLITE COMPLEX: THE FISKEFJORD AREA, SOUTHERN WEST GREENLAND",BULL. GEOL. GREENLAND SURV.,2500,3175,3850,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,64.6,-51.1,0.01,69.22,0.35,15.64,1.07,,2.09,2.91,1.24,4.1,4.49,0.68,0.56,0.12,0.06,0.36,,,,98.69,43.17,,21,13,,24,,11,1.78,0.84,,0.3,,,,,0.67,0.09,,,,,,,,5,,36,91,14,53,12,134,17,430,,,,,,,,,0.1,,,,7,,,,,2.3,,7,,,1,,,4,0,417,,3.1,,,,,,
DIORITC GNEISS GRANULITE,,,GEOROC,10.1007/BF00306482,"ACCRETION AND EVOLUTION OF AN ARCHEAN HIGH-GRADE GREY GNEISS-AMPHIBOLITE COMPLEX: THE FISKEFJORD AREA, SOUTHERN WEST GREENLAND",BULL. GEOL. GREENLAND SURV.,2500,3175,3850,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,64.4,-51.5,0.01,57.13,0.79,16.95,3.13,,4.63,7.46,3.78,7.66,4.1,0.64,0.53,0.17,0.14,0.59,,,,98.65,47.46,,81,13,,28,,16,2.84,0.94,,0.5,,,,,1.78,0.23,,,,,,,,21,,138,55,55,89,21,119,20,237,,,,0.4,,,,,,,,,19,,,,,3,,7,,,2,,,4,0.1,283,,5.8,,,,,,
