SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
11,,,,,Charnockite genesis across the Archean-Proterozoic terrane boundary in the South Indian Granulite Terrain: Constraints from major-trace element geochemistry and Sr-Nd isotopic systematics,GONDWANA RES.,paleoproterozoic,Archean,,Metamorphic,Unknown,Unknown,Granulite,11.00,77.50,,62.06,0.56,12.92,7.98,,,7.18,3.69,3.90,3.32,3.38,2.81,0.27,0.08,,,,,97.09,47.81,,,19.30,,47.20,5.80,25.50,4.80,0.10,6.90,1.50,10.90,1.30,4.70,,7.00,1.20,,,,,,,,,,,,,,,71.40,,669.00,,,,0.80,,,,,11.40,,,,89.30,,,,,4.10,,,,,24.70,,,162.00,,444.00,,11.60,,,,,,
20,,,,,Charnockite genesis across the Archean-Proterozoic terrane boundary in the South Indian Granulite Terrain: Constraints from major-trace element geochemistry and Sr-Nd isotopic systematics,GONDWANA RES.,paleoproterozoic,Archean,,Metamorphic,Unknown,Unknown,Granulite,11.00,77.50,,61.48,1.07,15.55,8.20,,,7.38,1.06,4.42,2.63,3.27,2.71,0.57,0.08,,,,,96.94,20.39,,,118.30,,240.20,24.30,77.30,15.40,4.00,19.80,2.30,13.80,2.50,7.00,,6.90,1.00,,,,,,,,,,,,,,,97.90,,1406.00,,,,2.10,,,,,0.70,,,,65.50,,,,,3.40,,,,,4.50,,,46.00,,394.00,,28.20,,,,,,
PHN 869B,,,GEOROC,10.1016/j.gr.2012.12.025,"GEOCHEMISTRY, ZIRCON U-PB GEOCHRONOLOGY AND LU-HF ISOTOPES OF METAVOLCANICS FROM EASTERN HEBEI REVEAL NEOARCHEAN SUBDUCTION TECTONICS IN THE NORTH CHINA CRATON",GONDWANA RES.,,Archean,,Metamorphic,Unknown,Unknown,Granulite,40.33,118.27,0.01,53.20,0.95,16.63,,9.37,,8.43,4.66,5.75,5.06,1.60,1.33,0.39,0.14,,,,,96.42,49.64,,99.00,27.00,,64.00,8.19,36.00,6.30,1.84,5.54,0.70,3.63,0.68,1.87,0.27,1.76,0.26,,,,,,,,18.00,,175.00,23.00,38.00,,,155.00,,687.00,,,,0.23,,,,,0.05,,,,17.00,,,,,4.07,,,,,0.12,,,29.00,0.10,970.00,,6.63,,,,,,
68,,,,,Geochemistry of basement rocks from SE Kenya and NE Tanzania: indications for rifting and early Pan-African subduction,INT. J. EARTH SCI.,,Archean,,Metamorphic,Unknown,Unknown,Granulite,-3.00,37.70,,46.83,0.09,12.73,5.26,,,4.73,16.97,16.44,0.64,0.10,0.08,,0.11,1.31,,,,98.64,86.47,,789.00,0.54,,1.00,0.15,0.73,0.32,0.19,0.42,0.09,0.66,0.14,0.43,,0.40,0.06,1.05,,,,,,,41.00,,116.00,64.30,296.10,35.00,24.00,2.90,7.30,18.10,,,,,,,,,0.05,,,,3.70,,,,,,,5.55,,,0.10,,,2.21,,43.00,,0.25,,,,,,
W251294,,,,,Geochemistry of basement rocks from SE Kenya and NE Tanzania: indications for rifting and early Pan-African subduction,INT. J. EARTH SCI.,,Archean,,Metamorphic,Unknown,Unknown,Granulite,-3.00,37.70,,40.58,0.70,23.65,9.71,,,8.74,3.83,19.54,0.62,0.17,0.14,0.04,0.25,0.34,,,,98.08,43.87,,,31.10,,58.34,6.79,28.14,5.99,1.67,5.63,1.02,5.91,1.20,4.19,,4.56,0.72,0.60,,,,,,,22.00,,126.00,19.80,,,,178.60,17.87,664.00,,,,,,,,,0.90,,,,38.90,,,,,5.16,,,,,5.07,,,4.61,0.12,2260.00,,7.67,,,,,,
W251287,,,,,Geochemistry of basement rocks from SE Kenya and NE Tanzania: indications for rifting and early Pan-African subduction,INT. J. EARTH SCI.,,Archean,,Metamorphic,Unknown,Unknown,Granulite,-3.00,37.70,,45.46,0.07,16.85,9.21,,,8.29,12.11,12.90,1.78,0.44,0.37,0.02,0.17,1.23,,,,98.07,72.26,,90.00,0.98,,1.25,0.11,0.42,0.10,0.12,0.13,0.02,0.18,0.04,0.14,,0.15,0.02,1.41,,,,,,,59.00,,268.00,62.50,61.50,,13.00,11.60,6.04,36.70,,,,,,,,,0.14,,,,1.10,,,,,,,,,,0.38,,,6.75,0.27,272.00,,0.29,,,,,,
69,,,,,Geochemistry of basement rocks from SE Kenya and NE Tanzania: indications for rifting and early Pan-African subduction,INT. J. EARTH SCI.,,Archean,,Metamorphic,Unknown,Unknown,Granulite,-3.00,37.70,,47.79,0.09,13.83,3.48,,,3.13,10.39,22.10,0.36,0.22,0.18,0.03,0.11,0.49,,,,98.02,85.54,,247.00,0.63,,0.96,0.11,0.51,0.22,0.12,0.32,0.06,0.48,0.10,0.31,,0.30,0.04,0.73,,,,,,,53.00,,125.00,27.80,94.30,,16.00,12.50,6.70,147.00,,,,,,,,,0.09,,,,2.80,,,,,0.12,,,,,0.27,,,4.72,,73.90,,0.44,,,,,,
W251295,,,,,Geochemistry of basement rocks from SE Kenya and NE Tanzania: indications for rifting and early Pan-African subduction,INT. J. EARTH SCI.,,Archean,,Metamorphic,Unknown,Unknown,Granulite,-3.00,37.70,,42.35,0.26,12.01,11.17,,,10.05,11.09,20.67,0.71,0.14,0.12,0.01,0.20,1.50,,,,97.48,66.30,,492.00,2.49,,6.52,0.79,3.72,0.95,0.21,0.97,0.16,1.03,0.21,0.67,,0.74,0.10,2.52,,,,,,,63.00,,270.00,65.10,103.20,61.00,14.00,13.50,11.54,56.60,,,,,,,,,0.09,,,,6.00,,,,,0.14,,8.08,,,0.33,,,3.64,1.12,364.00,,0.71,,,,,,
2,,,,,Geochemistry of basement rocks from SE Kenya and NE Tanzania: indications for rifting and early Pan-African subduction,INT. J. EARTH SCI.,,Archean,,Metamorphic,Unknown,Unknown,Granulite,-3.00,37.70,,36.73,1.03,15.96,19.87,,,17.88,8.98,14.48,1.60,0.26,0.22,0.10,0.29,0.62,,,,97.21,47.24,,63.00,2.20,,6.01,0.89,5.64,2.37,0.97,3.30,0.70,4.93,1.08,3.42,,3.55,0.53,,,,,,,,72.00,,488.00,70.60,52.70,75.00,13.00,43.20,8.70,196.00,,,,,,,,,0.07,,,,30.50,,,,,1.38,,,,,0.15,,,2.82,,465.00,,0.50,,,,,,
W251280,,,,,Geochemistry of basement rocks from SE Kenya and NE Tanzania: indications for rifting and early Pan-African subduction,INT. J. EARTH SCI.,,Archean,,Metamorphic,Unknown,Unknown,Granulite,-3.00,37.70,,43.61,0.29,16.38,10.47,,,9.42,12.21,12.59,2.10,0.38,0.32,0.02,0.16,1.40,,,,97.14,69.79,,24.00,0.93,,1.59,0.18,0.76,0.16,0.17,0.22,0.03,0.24,0.05,0.16,,0.18,0.03,1.30,,,,,,,34.00,,399.00,80.90,42.00,,18.00,13.10,12.69,42.90,,,,,,,,,0.07,,,,1.50,,,,,,,,,,0.17,,,2.10,,210.00,,0.35,,,,,,
