Reference,Comment,Locality,Sample,Lithology,Age Minimum,Age Maximum,Age Precise,Age,SiO2,TiO2,CaO,Al2O3,MnO,Fe2O3,FeO,FeO.tot,MgO,Na2O,K2O,P2O5,H20 ,CO2,S,F,C,Corg,LOI,Cu,Pb,Hf,Zr,Nb,Ta,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,Ni,Co,Cr,Sc,Zn,V,Ga,Rb,Sr,Cs,Ba,U,Cl,Mo,As,Sn,W,Li,Be,Bi,B,Sb,Au (ng/g),Cd,Tl,Ag,Re,Ge,In,Te
"Hofmann, Axel, Robert Bolhar, Paul Dirks, and Hielke Jelsma. 2003. “The Geochemistry of Archaean Shales Derived from a Mafic Volcanic Sequence, Belingwe Greenstone Belt, Zimbabwe: Provenance, Source Area Unroofing and Submarine versus Subaerial Weathering.” Geochimica et Cosmochimica Acta 67 (3): 421–40. doi:10.1016/S0016-7037(02)01086-4.",,Cheshire Formation,BX15,Shale,,,2650,2650,54.14,0.83,0.03,16.25,0.09,23.75,x,21.37,4.5,0.07,0.27,0.05,x,x,x,x,x,x,5.64,52,5.1,x,80,5,x,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3.3,134,26,422,34,205,247,18,18,21,x,54,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"McLennan, Scott M., S. R. Taylor, and A. Kröner. 1983. “Geochemical Evolution of Archean Shales from South Africa. I. The Swaziland and Pongola Supergroups.” Precambrian Research 22 (1): 93–124. doi:10.1016/0301-9268(83)90060-8 (+references therein).",,"Mozaan Group, Pongola Supergroup, South Africa",WITS2,Quartzite,,,2600,2600,95.01,x,x,3.83,x,x,0.21,0.21,0.29,0.26,0.42,x,x,x,x,x,x,x,x,x,14.4,2.19,43,1.39,x,2.57,14.4,27.8,2.91,11,2.12,0.36,1.44,x,1.38,x,0.88,x,0.78,x,1.48,x,x,x,x,x,x,x,x,x,0.25,89,0.96,x,x,x,1.68,2.05,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bhat, M. I, and S. K Ghosh. 2001. “Geochemistry of the 2.51 Ga Old Rampur Group Pelites, Western Himalayas: Implications for Their Provenance and Weathering.” Precambrian Research 108 (1–2): 1–16. doi:10.1016/S0301-9268(00)00139-X.",,"Rampur Group, Western Himalayas",DN48,Pelites,,,2510,2510,61.41,0.83,0.31,19.09,0.05,6.05,x,5.44,1.41,0.48,4.21,0.07,x,x,x,x,x,x,4.92,60,13,x,241,19,x,42,43,92,x,39,7.23,1.36,5.6,x,5.72,x,3.54,x,3.32,0.48,20.5,49,15,105,16,87,125,25,240,64,x,485,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bhat, M. I, and S. K Ghosh. 2001. “Geochemistry of the 2.51 Ga Old Rampur Group Pelites, Western Himalayas: Implications for Their Provenance and Weathering.” Precambrian Research 108 (1–2): 1–16. doi:10.1016/S0301-9268(00)00139-X.",,"Rampur Group, Western Himalayas",DN51,Pelites,,,2510,2510,63.78,0.76,0.33,17.52,0.05,6.28,x,5.65,1.4,0.39,3.91,0.12,x,x,x,x,x,x,5.12,47,15,x,217,17,x,39,30,58,x,29,6.21,1.09,4.61,x,4.45,x,2.5,x,2.41,0.36,19.6,51,16,76,16,98,113,24,228,66,x,379,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bhat, M. I, and S. K Ghosh. 2001. “Geochemistry of the 2.51 Ga Old Rampur Group Pelites, Western Himalayas: Implications for Their Provenance and Weathering.” Precambrian Research 108 (1–2): 1–16. doi:10.1016/S0301-9268(00)00139-X.",,"Rampur Group, Western Himalayas",DN52,Pelites,,,2510,2510,58.83,0.72,0.09,19.51,0.02,7.4,x,6.66,2.48,0.15,5.54,0.04,x,x,x,x,x,x,3.77,x,16,x,323,11,x,28,44,87,x,39,7.33,1.19,4.68,x,4.32,x,2.34,x,2,0.33,10.4,29,6,95,6,38,112,15,137,29,x,320,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bhat, M. I, and S. K Ghosh. 2001. “Geochemistry of the 2.51 Ga Old Rampur Group Pelites, Western Himalayas: Implications for Their Provenance and Weathering.” Precambrian Research 108 (1–2): 1–16. doi:10.1016/S0301-9268(00)00139-X.",,"Rampur Group, Western Himalayas",DN45,Pelites,,,2510,2510,67.38,0.85,0.24,15.04,0.08,6.48,x,5.83,1.42,0.73,3.27,0.03,x,x,x,x,x,x,3.83,43,17,x,252,19,x,39,33,77,x,33,6.77,1.23,5.19,x,5.3,x,3.22,x,2.7,0.37,18.5,51,19,66,15,102,87,21,183,43,x,421,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bhat, M. I, and S. K Ghosh. 2001. “Geochemistry of the 2.51 Ga Old Rampur Group Pelites, Western Himalayas: Implications for Their Provenance and Weathering.” Precambrian Research 108 (1–2): 1–16. doi:10.1016/S0301-9268(00)00139-X.",,"Rampur Group, Western Himalayas",DN39,Pelites,,,2510,2510,60.15,0.8,0.21,19.27,0.08,6.45,x,5.8,1.76,0.57,4.38,0.08,x,x,x,x,x,x,4.5,67,32,x,222,17,x,36,35,76,x,33,6.52,1.27,4.8,x,5.11,x,2.9,x,2.6,0.35,19.7,58,14,90,20,97,130,26,253,43,x,505,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bhat, M. I, and S. K Ghosh. 2001. “Geochemistry of the 2.51 Ga Old Rampur Group Pelites, Western Himalayas: Implications for Their Provenance and Weathering.” Precambrian Research 108 (1–2): 1–16. doi:10.1016/S0301-9268(00)00139-X.",,"Rampur Group, Western Himalayas",DN37,Pelites,,,2510,2510,67.93,0.64,0.23,13.75,0.08,6.44,x,5.79,1.67,1.55,3.14,0.06,x,x,x,x,x,x,2.96,37,22,x,159,14,x,25,27,45,x,23,4.85,0.93,3.34,x,3.19,x,1.82,x,1.69,0.26,11.6,55,19,65,14,106,77,19,195,65,x,327,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bhat, M. I, and S. K Ghosh. 2001. “Geochemistry of the 2.51 Ga Old Rampur Group Pelites, Western Himalayas: Implications for Their Provenance and Weathering.” Precambrian Research 108 (1–2): 1–16. doi:10.1016/S0301-9268(00)00139-X.",,"Rampur Group, Western Himalayas",DN24,Pelites,,,2510,2510,72.29,0.69,0.18,12.67,0.05,5.79,x,5.21,1.18,0.86,2.7,0.06,x,x,x,x,x,x,3.16,51,38,x,287,16,x,35,33,67,x,31,6.41,1.03,4.2,x,4.1,x,2.23,x,2.13,0.29,16.4,43,18,152,12,78,104,19,146,38,x,277,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bhat, M. I, and S. K Ghosh. 2001. “Geochemistry of the 2.51 Ga Old Rampur Group Pelites, Western Himalayas: Implications for Their Provenance and Weathering.” Precambrian Research 108 (1–2): 1–16. doi:10.1016/S0301-9268(00)00139-X.",,"Rampur Group, Western Himalayas",DN26,Pelites,,,2510,2510,80.32,0.43,0.28,9,0.03,4.99,x,4.49,0.89,1.26,1.71,0.11,x,x,x,x,x,x,2.29,31,12,x,157,10,x,27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,11.5,34,15,181,7,70,79,14,98,37,x,144,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bhat, M. I, and S. K Ghosh. 2001. “Geochemistry of the 2.51 Ga Old Rampur Group Pelites, Western Himalayas: Implications for Their Provenance and Weathering.” Precambrian Research 108 (1–2): 1–16. doi:10.1016/S0301-9268(00)00139-X.",,"Rampur Group, Western Himalayas",DN28,Pelites,,,2510,2510,71.9,0.62,0.25,11.64,0.04,5.78,x,5.2,1.23,1.18,2.51,0.06,x,x,x,x,x,x,2.87,55,16,x,196,14,x,29,28,49,x,24,5.1,0.94,3.63,x,3.59,x,2.18,x,1.69,0.26,11,49,17,113,12,86,82,18,152,41,x,264,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bhat, M. I, and S. K Ghosh. 2001. “Geochemistry of the 2.51 Ga Old Rampur Group Pelites, Western Himalayas: Implications for Their Provenance and Weathering.” Precambrian Research 108 (1–2): 1–16. doi:10.1016/S0301-9268(00)00139-X.",,"Rampur Group, Western Himalayas",DN29,Pelites,,,2510,2510,60.08,0.85,0.54,20.28,0.07,5.84,x,5.25,2.09,0.71,4.74,0.1,x,x,x,x,x,x,4.19,48,32,x,239,19,x,41,39,72,x,34,6.72,1.2,4.9,x,5.16,x,3.03,x,2.92,0.4,26.6,59,13,104,18,97,159,27,273,44,x,634,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bhat, M. I, and S. K Ghosh. 2001. “Geochemistry of the 2.51 Ga Old Rampur Group Pelites, Western Himalayas: Implications for Their Provenance and Weathering.” Precambrian Research 108 (1–2): 1–16. doi:10.1016/S0301-9268(00)00139-X.",,"Rampur Group, Western Himalayas",DN30,Pelites,,,2510,2510,62.75,0.8,0.21,17.05,0.07,6.65,x,5.98,1.8,0.75,3.71,0.09,x,x,x,x,x,x,4.57,65,25,x,239,17,x,37,40,75,x,30,5.65,1.16,4.31,x,3.62,x,2.16,x,2.05,0.37,19.1,60,19,150,16,97,146,24,211,40,x,437,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
