SAMPLE ID,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
OR-IM-5,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES: A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.313,25.537,0.01,46.29,0.53,16.51,,,,7.29,15.99,11.15,1.39,0.08,0.0664,0.04,0.14,,,,,99.37,79.64,,2139.1,1.6,,5.15,0.73,3.34,1.08,2.42,1.42,0.25,1.76,0.38,1.13,0.17,1.17,0.2,,,,,,,,35.4,,147.8,50.3,283.5,35.3,32.4,17.5,12.3,6919,,0.16,,0.41,,,,,0.06,,,,11.1,,1.15,,6.46,0.56,0.59,,,,0.23,,,,,12.3,,7.13,,,,,,
OR-IM-7,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES: A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.313,25.537,0.01,47.37,0.78,14.65,,,,10.37,11.08,12,2,0.19,0.1577,0.18,0.21,,,,,98.65,65.58,,351.1,19.11,,39.95,4.6,16.31,3.16,1.49,3.44,0.54,3.53,0.75,2.26,0.35,2.44,0.4,,,,,,,,40.3,,229.7,47.5,178.3,62.4,55.7,37.7,13.8,1904,,0.83,,1.83,,,,,0.57,,,,22.8,,0.7,,0.49,0.92,0.12,,,,1.46,,,,,371.5,,78.23,,,,,,
OR-IM-9,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES: A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.313,25.537,0.01,46.88,0.65,15.85,,,,10.45,10.68,11.28,2.13,0.1,0.083,0.02,0.21,,,,,98.23,64.57,,441.7,4.89,,14.1,1.89,7.67,2.12,1.1,2.62,0.43,2.77,0.55,1.54,0.22,1.46,0.23,,,,,,,,37.2,,177.1,47.6,169.6,44.3,98.1,20.5,12.2,338,,0.6,,0.63,,,,,0.24,,,,16.6,,1.69,,1.95,0.52,0.17,,,,0.44,,,,,173.1,,16.95,,,,,,
OR-IM-2,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES: A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.313,25.537,0.01,43.43,0.46,21.23,,,,6.24,16.35,9.76,0.47,0.06,0.0498,0.06,0.14,,,,,98.14,82.37,,1089.6,1.59,,5.07,0.65,3.44,1.84,0.74,2.53,0.46,2.89,0.5,1.2,0.14,0.77,0.12,,,,,,,,19,,64.6,41.4,286.7,17.8,62,97,8.7,21,,0.49,,0.74,,,,,0.1,,,,15.2,,0.7,,0.38,2.12,0.026,,,,0.22,,,,,33.5,,6.09,,,,,,
OR-IM-6,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES: A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.313,25.537,0.01,47.53,0.37,16.17,,,,6.25,15.05,10.82,1.63,0.16,0.1328,0.09,0.14,,,,,98.12,81.11,,909,5.66,,14.33,2.1,9.18,2.2,1.45,2.22,0.33,1.96,0.37,1.05,0.15,1.12,0.19,,,,,,,,25.5,,144.5,57.1,316.9,15.9,16.3,41.1,12.5,752,,0.81,,0.41,,,,,0.16,,,,11,,1.75,,0.59,1.13,0.088,,,,0.53,,,,,250.4,,6.14,,,,,,
OR-IM-1,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES: A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.313,25.537,0.01,47.8,0.63,14.54,,,,9.05,10.37,12.64,2.35,0.13,0.1079,0.15,0.16,,,,,97.67,67.14,,222.1,10.15,,20.58,2.57,9.85,2.6,1.37,2.78,0.41,2.45,0.47,1.29,0.18,1.23,0.22,,,,,,,,40.6,,205.2,41.9,337.1,41.4,70.5,30.4,12.4,1108,,0.74,,0.9,,,,,0.39,,,,14.1,,0.48,,0.74,0.71,0.051,,,,1.07,,,,,293.4,,57.78,,,,,,
OR-IM-4,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES: A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.313,25.537,0.01,45.75,0.35,17.03,,,,7.58,15.1,9.48,1.77,0.08,0.0664,0.12,0.15,,,,,97.29,78.03,,857.2,3.28,,8.18,1.32,5.97,1.8,0.72,1.91,0.27,1.53,0.26,0.62,0.08,0.49,0.09,,,,,,,,18.9,,89.1,40.5,291.7,24.1,27,39.8,9.7,501,,2.41,,0.29,,,,,0.18,,,,7.2,,2.95,,4.65,0.91,0.42,,,,0.28,,,,,155.1,,4.56,,,,,,
OR-IM-8,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES: A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.313,25.537,0.01,45.31,0.54,16.32,,,,6.91,15.71,10.8,1.07,0.09,0.0747,0.05,0.16,,,,,96.91,80.21,,669.9,3.74,,9.21,1.2,5.05,1.4,0.62,1.66,0.28,1.84,0.37,1.04,0.15,0.98,0.16,,,,,,,,37.2,,144.6,44.2,300.2,26.7,50.3,27.2,11.4,528,,0.45,,0.3,,,,,0.13,,,,11.4,,0.84,,1.14,0.74,0.1,,,,0.53,,,,,157.2,,4.87,,,,,,
OR-IM-10,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES: A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.313,25.537,0.01,45.57,0.35,16.83,,,,7.59,14.99,9.43,1.77,0.09,0.0747,0.15,0.15,,,,,96.77,77.88,,848.1,4.15,,8.75,1.41,6.44,1.86,0.83,1.92,0.28,1.5,0.25,0.63,0.08,0.48,0.08,,,,,,,,19.3,,93.4,39.2,318,29.4,47.4,38.9,9.8,999,,0.3,,0.52,,,,,0.19,,,,7.2,,0.39,,0.59,0.87,0.16,,,,0.26,,,,,176.4,,4.88,,,,,,
OR-IM-5,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES; A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.501,25.472,0.01,46.29,0.53,16.51,,,,7.29,15.99,11.15,1.39,0.08,0.0664,0.04,0.14,,,,,99.37,79.64,,2139.1,1.6,,5.15,0.73,3.34,1.08,2.42,1.42,0.25,1.76,0.38,1.13,0.17,1.17,0.2,,,,,,,,35.4,,147.8,50.3,283.5,35.3,32.4,17.5,12.3,6919,,0.16,,0.41,,,,,0.06,,,,11.1,,1.15,,6.46,0.56,0.59,,,,0.23,,,,,123,,7.13,,,,,,
OR-IM-7,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES; A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.501,25.472,0.01,47.37,0.78,14.65,,,,10.37,11.08,12,2,0.19,0.1577,0.18,0.21,,,,,98.65,65.58,,351.1,19.11,,39.95,4.6,16.31,3.16,1.49,3.44,0.54,3.53,0.75,2.26,0.35,2.44,0.4,,,,,,,,40.3,,229.7,47.5,178.3,62.4,55.7,37.7,13.8,1904,,0.53,,1.83,,,,,0.57,,,,22.8,,0.7,,0.49,0.92,0.12,,,,1.46,,,,,371.5,,78.23,,,,,,
OR-IM-9,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES; A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.501,25.472,0.01,46.88,0.65,15.85,,,,10.45,10.68,11.28,2.13,0.1,0.083,0.02,0.21,,,,,98.23,64.57,,441.7,4.89,,14.1,1.89,7.67,2.12,1.1,2.62,0.43,2.77,0.55,1.54,0.22,1.46,0.23,,,,,,,,37.2,,177.1,47.6,169.6,44.3,98.1,20.5,12.2,338,,0.6,,0.63,,,,,0.24,,,,16.6,,1.69,,1.95,0.52,0.17,,,,0.44,,,,,173.1,,16.95,,,,,,
OR-IM-2,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES; A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.501,25.472,0.01,43.43,0.46,21.23,,,,6.24,16.35,9.76,0.47,0.06,0.0498,0.06,0.14,,,,,98.14,82.37,,1089.6,1.59,,5.07,0.65,3.44,1.84,0.74,2.53,0.46,2.89,0.5,1.2,0.14,0.77,0.12,,,,,,,,19,,64.6,41.4,286.7,17.8,62,97,8.7,21,,0.49,,0.74,,,,,0.1,,,,15.2,,0.7,,0.38,2.12,0.026,,,,0.22,,,,,33.5,,6.09,,,,,,
OR-IM-6,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES; A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.501,25.472,0.01,47.53,0.37,16.17,,,,6.25,15.05,10.82,1.63,0.16,0.1328,0.09,0.14,,,,,98.12,81.11,,909,5.66,,14.33,2.1,9.18,2.2,1.45,2.22,0.33,1.96,0.37,1.05,0.15,1.12,0.19,,,,,,,,25.5,,144.5,57.1,316.9,15.9,16.3,41.1,12.5,752,,0.81,,0.41,,,,,0.16,,,,11,,1.75,,0.59,1.13,0.088,,,,0.53,,,,,250.4,,6.14,,,,,,
OR-IM-1,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES; A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.501,25.472,0.01,47.8,0.63,14.54,,,,9.05,10.37,12.64,2.35,0.13,0.1079,0.15,0.16,,,,,97.67,67.14,,222.1,10.15,,20.58,2.57,9.85,2.6,1.37,2.78,0.41,2.45,0.47,1.29,0.18,1.23,0.22,,,,,,,,40.6,,205.2,41.9,337.1,41.4,70.5,30.4,12.4,1108,,0.74,,0.9,,,,,0.39,,,,14.1,,0.48,,0.74,0.71,0.051,,,,1.07,,,,,293.4,,57.78,,,,,,
OR-IM-4,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES; A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.501,25.472,0.01,45.75,0.35,17.03,,,,7.58,15.1,9.48,1.77,0.08,0.0664,0.12,0.15,,,,,97.29,78.03,,857.2,3.28,,8.18,1.32,5.97,1.8,0.72,1.91,0.27,1.53,0.26,0.62,0.08,0.49,0.09,,,,,,,,18.9,,89.1,40.5,291.7,24.1,27,39.8,9.7,501,,2.41,,0.29,,,,,0.18,,,,7.2,,2.95,,4.65,0.91,0.42,,,,0.28,,,,,155.1,,4.56,,,,,,
OR-IM-8,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES; A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.501,25.472,0.01,45.31,0.54,16.32,,,,6.91,15.71,10.8,1.07,0.09,0.0747,0.05,0.16,,,,,96.91,80.21,,669.9,3.74,,9.21,1.2,5.05,1.4,0.62,1.66,0.28,1.84,0.37,1.04,0.15,0.98,0.16,,,,,,,,37.2,,144.6,44.2,300.2,26.7,50.3,27.2,11.4,528,,0.45,,0.3,,,,,0.13,,,,11.4,,0.84,,1.14,0.74,0.1,,,,0.53,,,,,157.2,,4.87,,,,,,
OR-IM-10,GEOROC,10.1179/174327506X138904,"PLATINUM-GROUP ELEMENT GEOCHEMISTRY OF MANTLE ECLOGITES; A RECONNAISSANCE STUDY OF XENOLITHS FROM THE ORAPA KIMBERLITE, BOTSWANA",APPL. EARTH SCI.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-21.501,25.472,0.01,45.57,0.35,16.83,,,,7.59,14.99,9.43,1.77,0.09,0.0747,0.15,0.15,,,,,96.77,77.88,,848.1,4.15,,8.75,1.41,6.44,1.86,0.83,1.92,0.28,1.5,0.25,0.63,0.08,0.48,0.08,,,,,,,,19.3,,93.4,39.2,318,29.4,47.4,38.9,9.8,999,,0.3,,0.52,,,,,0.19,,,,7.2,,0.39,,0.59,0.87,0.16,,,,0.26,,,,,176.4,,4.88,,,,,,
PETDB-2169-U33/1,PETDB,10.1007/s00410-003-0529-z,"MULTI-STAGE METASOMATISM OF DIAMONDIFEROUS ECLOGITE XENOLITHS FROM THE UDACHNAYA KIMBERLITE PIPE, YAKUTIA, SIBERIA",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,,,ECLOGITE,66.4,112.3,0.1,60.2,0.06,18.2,,,,1.03,0.9,7.3,0.09,4.24,3.5192,,0.12,,,,,92.14,60.90,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298R,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.08,0.42,23.36,,,,12.59,16.24,6.25,0.08,,0,,0.49,,,,,100.51,69.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.8,0.29,22.87,,,,11.17,19.62,4.24,0.05,,0,,0.4,,,,,100.44,75.80,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.56,0.51,22.58,,,,11.07,19.59,4.62,0.08,,0,,0.33,,,,,100.34,75.93,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.67,0.53,22.55,,,,10.91,19.51,4.65,0.07,,0,,0.36,,,,,100.25,76.12,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302Q,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.28,0.77,21.2,,,,16.97,13.17,7.33,0.12,,0,,0.39,,,,,100.23,58.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.41,0.51,22.54,,,,10.93,19.7,4.74,0.08,,0,,0.32,,,,,100.23,76.27,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302Q,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.44,0.72,21.28,,,,17.02,13.08,7.15,0.11,,0,,0.42,,,,,100.22,57.81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384R,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.23,0.63,22.15,,,,12.67,17.76,5.37,0.09,,0,,0.29,,,,,100.19,71.42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384R,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.41,0.63,22.16,,,,12.43,17.9,5.2,0.09,,0,,0.34,,,,,100.16,71.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362Q,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,42.13,0.51,23.73,,,,8.65,20.67,4.09,0.07,,0,,0.29,,,,,100.14,80.99,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.18,0.68,21.36,,,,17.46,13.13,6.75,0.12,,0,,0.44,,,,,100.12,57.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076G,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.1,0.61,21.25,,,,17.89,12.78,6.96,0.12,,0,,0.4,,,,,100.11,56.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.99,0.53,22.39,,,,10.53,19.77,4.51,0.07,,0,,0.32,,,,,100.11,77.00,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076G,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.11,0.61,21.26,,,,17.81,12.78,6.97,0.1,,0,,0.41,,,,,100.05,56.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.01,0.68,21.34,,,,17.48,13.17,6.86,0.09,,0,,0.41,,,,,100.04,57.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302Q,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.28,0.78,21.2,,,,16.77,13.27,7.2,0.11,,0,,0.41,,,,,100.02,58.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.12,0.62,23.17,,,,11.69,18.02,4.98,0.08,,0,,0.34,,,,,100.02,73.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343P,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.41,0.01,0.01,,,,6.74,51.69,0.01,0.01,0,0,,0.07,,,,,99.95,93.18,0,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.38,0.53,22.42,,,,11.35,19.05,4.74,0.07,,0,,0.37,,,,,99.91,74.95,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.7,0.51,22.4,,,,10.86,19.39,4.63,0.08,,0,,0.34,,,,,99.91,76.10,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.03,0.8,22.17,,,,15.82,13.99,6.53,0.12,,0,,0.39,,,,,99.85,61.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343P,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.11,0.03,0.01,,,,6.87,0.05,51.75,0.03,0,0,,,,,,,99.85,1.28,0,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
