SAMPLE ID,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
PETDB-2499-MOX23,PETDB,10.1093/petrology/egt077,A RECORD OF PALEOPROTEROZOIC SUBDUCTION PRESERVED IN THE NORTHERN SLAVE CRATONIC MANTLE: Sr-Pb_O ISOTOPE AND TRACE-ELEMENT INVESTIGATIONS OF ECLOGITE XENOLITHS FROM THE JERICHO AND MUSKOX KIMBERLITES,J. PETROL.,,,,XENOLITH,,,ECLOGITE,67,-111,1,46.6,0.17,16.8,,,9.13,9.13,13.6,11.2,1.67,0.001,0.00083,,0.19,,,,,99.361,72.65,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2499-JER4,PETDB,10.1093/petrology/egt077,A RECORD OF PALEOPROTEROZOIC SUBDUCTION PRESERVED IN THE NORTHERN SLAVE CRATONIC MANTLE: Sr-Pb_O ISOTOPE AND TRACE-ELEMENT INVESTIGATIONS OF ECLOGITE XENOLITHS FROM THE JERICHO AND MUSKOX KIMBERLITES,J. PETROL.,,,,XENOLITH,,,ECLOGITE,67,-111,1,45,0.08,18.2,,,13.3,13.3,9.93,10.6,1.98,0.004,0.00332,,0.2,,,,,99.294,57.10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2499-JDE25,PETDB,10.1093/petrology/egt077,A RECORD OF PALEOPROTEROZOIC SUBDUCTION PRESERVED IN THE NORTHERN SLAVE CRATONIC MANTLE: Sr-Pb_O ISOTOPE AND TRACE-ELEMENT INVESTIGATIONS OF ECLOGITE XENOLITHS FROM THE JERICHO AND MUSKOX KIMBERLITES,J. PETROL.,,,,XENOLITH,,,ECLOGITE,67,-111,1,48.1,0.38,16.6,,,8.46,8.46,11.5,10.78,3.29,0.03,0.0249,,0.125,,,,,99.265,70.79,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2499-044-9,PETDB,10.1093/petrology/egt077,A RECORD OF PALEOPROTEROZOIC SUBDUCTION PRESERVED IN THE NORTHERN SLAVE CRATONIC MANTLE: Sr-Pb_O ISOTOPE AND TRACE-ELEMENT INVESTIGATIONS OF ECLOGITE XENOLITHS FROM THE JERICHO AND MUSKOX KIMBERLITES,J. PETROL.,,,,XENOLITH,,,ECLOGITE,67,-111,1,48,0.36,12.3,,,6.25,6.25,18.6,12.2,0.85,0.02,0.0166,,0.24,,,,,98.82,84.14,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2286-S10-011,PETDB,10.1016/j.lithos.2012.12.002,"LOWER-CRUSTAL XENOLITHS FROM JURASSIC KIMBERLITE DIATREMES, UPPER MICHIGAN (USA): EVIDENCE FOR PROTEROZOIC OROGENESIS AND PLUME MAGMATISM IN THE LOWER CRUST OF THE SOUTHERN SUPERIOR PROVINCE",J. PETROL.,,,,XENOLITH,,,ECLOGITE,46.1769,-88.1742,0.00001,47.5,1.15,16.3,11.6,,,10.4284,9.59,9.08,3.61,0.13,0.1079,0.08,0.16,,,,,97.9484,62.11,,274,2.4,,5.04,0.75,4.39,1.89,0.806,2.76,0.51,3.24,0.735,1.99,,1.87,0.285,27.1,,,,,,,,5020,262,34,116,94,12,,,115,,,,0.15,0.08,,1.38,,0.074,,,,19.6,3.63,,,,2.02,,1.11,,,0.345,,,9.5,0.23,157,,3.36,,,,,,
PETDB-2286-S10-007,PETDB,10.1016/j.lithos.2012.12.002,"LOWER-CRUSTAL XENOLITHS FROM JURASSIC KIMBERLITE DIATREMES, UPPER MICHIGAN (USA): EVIDENCE FOR PROTEROZOIC OROGENESIS AND PLUME MAGMATISM IN THE LOWER CRUST OF THE SOUTHERN SUPERIOR PROVINCE",J. PETROL.,,,,XENOLITH,,,ECLOGITE,46.1769,-88.1742,0.00001,50,0.69,16,10.2,,,9.1698,7.33,9.22,3.22,1.49,1.2367,0.09,0.12,,,,,97.2398,58.77,,213,3.61,,6.49,0.75,4,1.66,0.797,2.19,0.376,2.23,0.487,1.31,,1.26,0.189,30.3,,,,,,,,3140,273,24,110,94,15,,,1000,,,,0.14,0.06,,0.91,,0.155,,,,13,3.94,,,,1.53,,1.05,,,0.342,,,31.6,0.63,209,,5.1,,,,,,
HELMCOL-MR-029,PETDB,10.1093/petrology/egi101,PETROLOGY AND GEOCHEMISTRY OF ECLOGITE XENOLITHS FROM THE COLORADO PLATEAU:  IMPLICATIONS FOR THE EVOLUTION OF SUBDUCTED OCEANIC CRUST,J. PETROL.,,,,XENOLITH,,,ECLOGITE,37.082,-109.733,0.001,48.96,1.5,16.38,,9.36,,8.41464,7.63,9.77,4.96,0.145,0.12035,0.002,0.16,,,,,97.91964,61.78,298,,17,182,33,4,18.8,4.74,1.5,4.7,0.67,3.8,0.79,2,0.31,2.1,0.31,38,,,,,,,,,,,,,,119,,108,,,,0.62,,,,,1.1,,,,25,,,,,3.2,,5.1,,,2,,,1.46,0.19,574,,8.4,,,,,,
HELMCOL-MR-049,PETDB,10.1093/petrology/egi101,PETROLOGY AND GEOCHEMISTRY OF ECLOGITE XENOLITHS FROM THE COLORADO PLATEAU:  IMPLICATIONS FOR THE EVOLUTION OF SUBDUCTED OCEANIC CRUST,J. PETROL.,,,,XENOLITH,,,ECLOGITE,37.082,-109.733,0.001,53.41,0.97,17.77,,7.03,,6.31997,3.83,5.34,9.75,0.12,0.0996,,0.12,,,,,97.62997,51.93,164,,13,71,22,2.8,10.7,2.45,0.8,2.3,0.35,2,0.42,1.2,0.19,1.4,0.21,85,,,,,,,,,,,,,,168,,686,,,,0.69,,,,,0.99,,,,13,,,,,4.5,,4.2,,,1.8,,,3.03,0.46,447,,8.6,,,,,,
HELMCOL-MR-015,PETDB,10.1093/petrology/egi101,PETROLOGY AND GEOCHEMISTRY OF ECLOGITE XENOLITHS FROM THE COLORADO PLATEAU:  IMPLICATIONS FOR THE EVOLUTION OF SUBDUCTED OCEANIC CRUST,J. PETROL.,,,,XENOLITH,,,ECLOGITE,37.082,-109.733,0.001,51.19,0.78,15.39,,7.24,,6.50876,7.2,9.95,6.23,0.051,0.04233,0.001,0.14,,,,,97.43976,66.36,132,,22,147,42,5,18.7,4.03,1.2,4,0.65,3.6,0.66,1.6,0.24,1.6,0.22,67,,,,,,,,,,,,,,169,,69,,,,0.58,,,,,1.3,,,,20,,,,,4.5,,5.6,,,2.7,,,0.88,0.071,582,,6.3,,,,,,
HELMCOL-MR-019,PETDB,10.1093/petrology/egi101,PETROLOGY AND GEOCHEMISTRY OF ECLOGITE XENOLITHS FROM THE COLORADO PLATEAU:  IMPLICATIONS FOR THE EVOLUTION OF SUBDUCTED OCEANIC CRUST,J. PETROL.,,,,XENOLITH,,,ECLOGITE,37.082,-109.733,0.001,52.01,1.35,16.53,,8.94,,,5.4,7.24,7.78,0.097,0.08051,0.006,0.16,,,,,90.567,100.00,258,,33,103,67,8.5,37.4,7.92,1.8,6,0.75,4,0.82,2.2,0.34,2.3,0.34,52,,,,,,,,,,,,,,194,,92,,,,0.78,,,,,1.9,,,,25,,,,,5.2,,3.2,,,5.6,,,2.12,0.67,281,,9.9,,,,,,
