SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
85b1,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,42.80,2.10,14.70,16.40,,14.76,9.70,12.70,1.50,0.00,0.00,0.60,0.20,,,,,99.06,53.96,,104.00,5.00,,19.00,,,,,,,,,,,,,,,,,,,,,,380.00,,71.00,127.00,7.00,46.00,19.20,5.00,,,,,,,,,0.50,,,,22.00,,,,,,,,,,,,,0.40,,167.00,,3.90,,,,,,
8310,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,55.17,1.24,18.20,7.42,,6.68,3.86,7.02,4.50,1.79,1.49,0.49,0.11,,,,,99.06,50.76,,51.00,16.00,,41.00,,,,,,,,,,,,,,,,,,,,,,178.00,,22.00,81.00,28.00,72.00,24.00,761.00,,,,,,,,,,,,,7.90,,,,,,,10.00,,,,,,15.00,,1380.00,,5.30,,,,,,
6am,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,53.30,1.30,18.00,8.60,,7.74,4.70,7.80,4.60,1.00,0.83,0.50,0.10,,,,,99.04,51.99,,34.00,28.00,,32.00,,,,,,,,,,,,,,,,,,,,13.00,,196.00,,33.00,100.00,5.00,42.00,24.00,639.00,,,,,,,,,,,,,14.00,,,,,,,12.00,,,,,,10.00,,1630.00,,,,,,,,
149-1,,,GEOROC,10.1111/j.1525-1314.1997.00028.x,"CONSTRAINTS ON ELEMENT MOBILITY ASSOCIATED WITH THE CONVERSION OF GRANULITE TO ECLOGITE ALONG FRACTURES IN AN ANORTHOSITIC COMPLEX ON HOLSNOY, NORWAY",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,60.00,6.00,0.01,50.90,2.32,15.24,,,11.65,5.03,8.26,3.87,1.58,1.31,0.03,0.15,,,,,99.03,43.50,,75.50,9.15,,24.80,,21.00,6.11,1.98,,0.86,,,,,2.09,0.29,,,,,,,,29.40,,,41.30,60.00,117.00,,110.00,,680.00,,,,0.19,0.01,,,,0.09,,,,,,,,,3.97,,,,,0.06,,,11.00,0.04,790.00,,,,,,,,
147-4,,,GEOROC,10.1111/j.1525-1314.1997.00028.x,"CONSTRAINTS ON ELEMENT MOBILITY ASSOCIATED WITH THE CONVERSION OF GRANULITE TO ECLOGITE ALONG FRACTURES IN AN ANORTHOSITIC COMPLEX ON HOLSNOY, NORWAY",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,60.00,6.00,0.01,50.60,1.86,14.20,,,11.58,6.01,9.61,3.65,1.30,1.08,0.05,0.15,,,,,99.01,48.06,,69.30,9.37,,29.00,,26.00,7.40,2.21,,0.98,,,,,1.95,0.28,,,,,,,,33.00,,,45.30,20.00,134.00,,130.00,,560.00,,,,0.15,,,,,,,,,,,,,,4.29,,,,,0.01,,,7.00,0.05,660.00,,,,,,,,
VL5-LC1,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,53.90,1.10,18.20,7.90,,7.11,4.30,7.70,5.00,1.10,0.91,0.50,0.10,,,,,99.01,51.89,,32.00,37.00,,58.00,,,,,,,,,,,,,,,,,,,,13.00,,170.00,,28.00,94.00,11.00,40.00,24.00,663.00,,,,,,,,,,,,,14.00,,,,,,,11.00,,,,,,8.00,,1607.00,,,,,,,,
5a,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,50.10,1.40,17.00,10.90,,9.81,6.60,8.90,3.90,0.70,0.58,0.40,0.20,,,,,99.01,54.54,,92.00,25.00,,52.00,,,,,,,,,,,,,,,,,,,,17.00,,216.00,,60.00,112.00,178.00,42.00,23.00,497.00,,,,,,,,,,,,,15.00,,,,,,,9.00,,,3.00,,,12.00,,1242.00,,,,,,,,
EN131-15,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,54.40,1.30,17.90,8.20,,7.38,4.20,6.70,5.00,1.60,1.33,0.40,0.10,,,,,98.98,50.37,,61.00,34.00,,62.00,,,,,,,,,,,,,,,,,,,,13.00,,156.00,,40.00,94.00,56.00,91.00,23.00,840.00,,,,,,,,,,,,,13.00,,,,,,,15.00,,,,,,24.00,,1165.00,,,,,,,,
L88,,,GEOROC,10.1111/j.1525-1314.1997.00028.x,"CONSTRAINTS ON ELEMENT MOBILITY ASSOCIATED WITH THE CONVERSION OF GRANULITE TO ECLOGITE ALONG FRACTURES IN AN ANORTHOSITIC COMPLEX ON HOLSNOY, NORWAY",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,60.00,6.00,0.01,52.10,0.56,18.80,,,8.59,5.25,8.68,3.90,0.92,0.76,0.03,0.14,,,,,98.97,52.15,,37.20,3.32,,6.00,,0.00,1.56,1.09,,0.27,,,,,0.86,0.13,,,,,,,,26.60,,,34.30,60.00,99.00,,10.00,,810.00,,,,,,,,,,,,,,,,,,0.31,,,,,0.00,,,3.00,0.18,1030.00,,,,,,,,
BAL210,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,57.85,0.85,17.38,6.74,,6.06,3.65,6.14,4.49,2.14,1.78,0.28,0.10,,,,,98.94,51.76,,,19.00,,17.00,,,,,,,,,,,,,,,,,,,,12.00,,135.00,,23.00,81.00,,138.00,22.00,768.00,,,,,,,,,,,,,14.00,,,,,,,14.00,,,,,,65.00,,925.00,,7.00,,,,,,
B8,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,52.14,1.63,17.95,9.30,,8.37,4.88,8.00,4.14,1.04,0.86,0.59,0.13,,,,,98.87,50.97,,32.00,12.00,,32.00,,,,,,,,,,,,,,,,,,,,,,239.00,,24.00,93.00,40.00,47.00,23.60,468.00,,,,,,,,,,,,,15.00,,,,,,,8.20,,,0.30,,,6.60,,1199.00,,5.30,,,,,,
RF111,,,GEOROC,10.1111/j.1525-1314.1997.00028.x,"CONSTRAINTS ON ELEMENT MOBILITY ASSOCIATED WITH THE CONVERSION OF GRANULITE TO ECLOGITE ALONG FRACTURES IN AN ANORTHOSITIC COMPLEX ON HOLSNOY, NORWAY",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,60.00,6.00,0.01,50.80,2.01,15.37,,,11.40,5.14,8.43,3.95,1.54,1.28,0.06,0.15,,,,,98.85,44.56,,87.00,8.96,,24.20,,23.00,6.27,1.95,,0.98,,,,,2.84,0.38,,,,,,,,28.60,,,41.20,80.00,124.00,,120.00,,640.00,,,,0.22,0.00,,,,0.10,,,,,,,,,4.76,,,,,0.03,,,7.00,0.00,710.00,,,,,,,,
BAL1034,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,51.91,1.51,17.63,9.71,,8.74,5.05,7.48,4.43,1.29,1.07,0.61,0.14,,,,,98.79,50.75,,86.00,22.00,,50.00,,,,,,,,,,,,,,,,,,,,,,215.00,,46.00,98.00,36.00,111.00,24.60,552.00,,,,,,,,,,,,,16.00,,,,,,,10.00,,,0.60,,,15.00,,1211.00,,6.60,,,,,,
5B,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,50.18,1.70,17.83,10.52,,9.47,5.27,8.94,3.91,0.55,0.46,0.70,0.15,,,,,98.70,49.81,,60.00,12.00,,35.00,,,,,,,,,,,,,,,,,,,,,,261.00,,30.00,113.00,44.00,34.00,24.60,315.00,,,,,,,,,,,,,19.00,,,,,,,5.10,,,0.50,,,2.70,,1235.00,,3.30,,,,,,
152-2,,,GEOROC,10.1111/j.1525-1314.1997.00028.x,"CONSTRAINTS ON ELEMENT MOBILITY ASSOCIATED WITH THE CONVERSION OF GRANULITE TO ECLOGITE ALONG FRACTURES IN AN ANORTHOSITIC COMPLEX ON HOLSNOY, NORWAY",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,60.00,6.00,0.01,51.40,3.22,16.10,,,10.61,4.19,6.63,4.26,2.11,1.75,0.05,0.12,,,,,98.69,41.32,,65.30,5.81,,13.70,,11.00,3.26,1.36,,0.41,,,,,0.90,0.13,,,,,,,,17.60,,,37.50,60.00,96.00,,40.00,,1450.00,,,,0.30,,,,,,,,,,,,,,2.48,,,,,0.00,,,9.00,0.00,1280.00,,,,,,,,
G3S,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,50.90,1.40,17.60,9.30,,8.37,5.40,8.70,4.70,0.90,0.75,0.60,0.10,,,,,98.67,53.50,,69.00,25.00,,34.00,,,,,,,,,,,,,,,,,,,,19.00,,213.00,,45.00,106.00,5.00,25.00,22.00,565.00,,,,,,,,,,,,,15.00,,,,,,,11.00,,,,,,11.00,,1743.00,,,,,,,,
16-9K,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,50.60,1.50,18.10,9.50,,8.55,5.90,8.70,3.80,1.00,0.83,0.40,0.10,,,,,98.65,55.17,,89.00,26.00,,25.00,,,,,,,,,,,,,,,,,,,,21.00,,215.00,,58.00,90.00,,45.00,25.00,689.00,,,,,,,,,,,,,18.00,,,,,,,9.00,,,,,,8.00,,1534.00,,,,,,,,
8330,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,52.11,1.47,18.55,9.26,,8.33,3.79,7.46,4.75,1.43,1.19,0.60,0.13,,,,,98.62,44.78,,13.00,18.00,,47.00,,,,,,,,,,,,,,,,,,,,,,194.00,,14.00,101.00,33.00,234.00,24.50,480.00,,,,,,,,,3.60,,,,26.00,,,,,,,9.20,,,1.00,,,16.00,,1230.00,,10.40,,,,,,
16-12K,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,50.30,0.50,6.60,8.20,,7.38,17.30,15.40,0.90,0.00,0.00,0.00,0.20,,,,,98.58,80.70,,3530.00,,,23.00,,,,,,,,,,,,,,,,,,,,43.00,,282.00,,381.00,51.00,16.00,22.00,10.00,8.00,,,,,,,,,,,,,7.00,,,,,,,5.00,,,,,,2.00,,95.00,,,,,,,,
BAL715,,,,,"Granulite facies thermal aureoles and metastable amphibolite facies assemblages adjacent to the Western Fiordland Orthogneiss in southwest Fiordland, New Zealand",J. METAMORPHIC. GEOL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-45.00,167.00,,64.78,0.68,15.88,4.26,,3.83,2.02,4.43,4.38,2.21,1.83,0.28,0.07,,,,,98.56,48.44,,,20.00,,25.00,,,,,,,,,,,,,,,,,,,,8.00,,73.00,,21.00,57.00,,122.00,21.00,926.00,,,,,,,,,1.00,,,,12.00,,,,,,,8.00,,,2.00,,,50.00,,1376.00,,8.00,,,,,,
