SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
H3630A2,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,51.38,0.15,10.28,,,5.02,15.07,16.18,1.76,0.05,0.04,0.01,0.10,,,,,100.00,84.26,,380.90,0.24,,0.29,0.05,0.25,0.11,0.04,0.20,0.05,0.48,0.13,0.42,,0.42,0.07,,,,,,,,35.57,,99.30,,250.20,46.30,309.50,9.91,6.80,1.12,,,,0.20,,,,,0.03,,,,3.10,,,,,0.39,,5.68,,,,,,1.78,0.13,45.36,,4.37,,,,,,
P6805H,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,49.38,0.80,12.23,,,10.44,12.90,11.11,2.52,0.45,0.38,0.01,0.16,,,,,100.00,68.77,,67.20,11.91,,24.21,3.14,13.55,3.32,1.16,3.14,0.49,2.99,0.61,1.65,,1.71,0.29,,,,,,,,15.80,,191.30,,236.40,77.50,189.40,56.88,18.20,59.18,,,,0.69,,,,,1.61,,,,15.01,,,,,1.94,,9.03,,,1.90,,,24.49,2.79,243.75,,5.15,,,,,,
9826J,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,46.37,0.39,16.02,,,10.90,12.03,12.11,1.66,0.26,0.22,0.01,0.25,,,,,100.00,66.30,,115.90,0.53,,0.94,0.27,1.89,1.30,0.45,1.83,0.33,2.15,0.44,1.12,,0.94,0.14,,,,,,,,51.50,,177.20,,102.60,62.90,313.70,16.53,11.50,39.49,,,,0.11,,,,,,,,,11.39,,,,,0.66,,,,,0.06,,,12.46,1.23,87.86,,1.95,,,,,,
R3703A2,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,49.84,1.34,8.33,,,13.38,20.16,5.54,0.96,0.19,0.16,0.01,0.25,,,,,100.00,72.87,,5734.16,0.72,,2.20,0.40,2.43,1.16,0.54,1.76,0.33,2.15,0.45,1.27,,1.25,0.20,,,,,,,,39.32,,252.35,,554.16,125.15,37.48,15.60,12.13,22.11,,,,0.07,,,,,,,,,11.91,,,,,0.58,,,,,0.23,,,6.32,0.33,50.86,,2.30,,,,,,
J2804L6,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,49.32,0.12,28.26,,,2.46,2.50,13.33,3.53,0.42,0.35,0.01,0.04,,,,,100.00,64.51,,50.76,2.32,,3.95,0.45,1.84,0.41,0.39,0.38,0.05,0.31,0.06,0.16,,0.13,0.02,,,,,,,,4.07,,21.93,,60.49,30.79,7.14,6.05,16.86,221.66,,,,0.02,,,,,0.05,,,,1.55,,,,,0.21,,2.34,,,0.06,,,6.44,0.21,474.54,,0.31,,,,,,
K5628E1,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,48.45,0.33,22.68,,,6.54,7.46,11.16,2.84,0.42,0.35,0.01,0.09,,,,,100.00,67.04,,219.40,1.22,,2.49,0.34,1.78,0.61,0.64,0.80,0.14,0.79,0.15,0.41,,0.40,0.07,,,,,,,,17.23,,107.60,,143.40,43.70,19.70,6.67,22.40,198.25,,,,0.02,,,,,,,,,3.88,,,,,0.24,,,,,0.08,,,12.86,2.02,619.63,,0.18,,,,,,
8825E6,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,45.95,0.38,15.51,,,7.83,14.49,14.96,0.69,0.01,0.01,0.02,0.15,,,,,100.00,76.73,,,0.15,,0.37,0.09,0.77,0.70,0.35,1.45,0.24,1.33,0.25,0.61,,0.47,0.07,,,,,,,,52.30,,,,,,,3.00,,3.00,,,,0.00,,,,,0.01,,,,,,,,,0.16,,4.33,,,0.01,,,0.40,0.02,83.00,,,,,,,,
K5629A3,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,47.33,0.59,19.81,,,10.70,9.99,8.37,2.80,0.27,0.22,0.02,0.13,,,,,100.00,62.47,,454.30,0.92,,1.83,0.25,1.15,0.33,0.44,0.36,0.05,0.33,0.06,0.16,,0.15,0.02,,,,,,,,5.38,,158.80,,220.00,88.80,6.80,3.96,16.60,96.29,,,,0.01,,,,,,,,,1.64,,,,,0.13,,,,,0.02,,,1.84,0.17,215.70,,0.14,,,,,,
R9828C99,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,80.08,0.05,12.31,,,0.22,0.16,1.78,5.02,0.35,0.29,0.03,0.00,,,,,100.00,56.10,,7.60,0.14,,0.29,0.04,0.16,0.05,0.05,0.05,0.01,0.05,0.01,0.04,,0.08,0.01,,,,,,,,0.71,,5.60,,4.30,2.80,2.40,130.44,7.20,140.84,,,,0.00,,,,,0.16,,,,0.37,,,,,3.09,,12.81,,,0.04,,,7.75,0.25,765.32,,0.08,,,,,,
K5629D5,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,43.86,4.24,15.57,,,16.73,6.24,10.60,2.50,0.00,0.00,0.03,0.22,,,,,100.00,39.93,,179.40,0.66,,1.91,0.35,2.21,0.94,0.48,1.30,0.28,2.14,0.50,1.38,,1.14,0.18,,,,,,,,49.09,,765.90,,143.40,81.40,86.00,15.40,17.80,23.10,,,,0.01,,,,,,,,,12.77,,,,,0.70,,,,,0.01,,,0.18,0.03,97.59,,0.07,,,,,,
J2804L31,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,87.68,0.18,6.44,,,0.93,0.49,0.09,1.28,2.86,2.37,0.03,0.01,,,,,100.00,48.35,,14.09,11.43,,20.70,2.61,10.35,2.48,0.59,2.26,0.39,2.42,0.49,1.41,,1.39,0.22,,,,,,,,2.72,,14.83,,16.00,15.28,4.02,157.45,6.61,509.59,,,,0.36,,,,,0.88,,,,14.00,,,,,4.31,,9.85,,,4.02,,,87.16,1.19,60.38,,5.08,,,,,,
K5622A1,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,45.89,1.77,16.09,,,16.59,6.48,9.67,3.25,0.01,0.01,0.04,0.21,,,,,100.00,41.05,,10.80,5.38,,12.25,1.86,9.93,2.32,0.98,2.19,0.37,2.57,0.53,1.34,,1.00,0.15,,,,,,,,48.60,,506.80,,82.90,103.00,43.30,12.39,17.70,4.55,,,,0.03,,,,,,,,,13.32,,,,,0.46,,,,,0.16,,,0.19,0.03,44.56,,0.60,,,,,,
E9801F2,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,45.23,1.65,14.88,,,17.02,6.90,11.86,2.20,0.01,0.01,0.05,0.22,,,,,100.01,41.95,,5.30,0.62,,0.65,0.12,0.55,0.19,0.13,0.66,0.20,1.70,0.41,1.16,,1.01,0.16,,,,,,,,60.89,,773.10,,21.80,72.70,40.70,11.15,16.80,7.26,,,,0.02,,,,,0.02,,,,10.06,,,,,0.42,,0.24,,,0.06,,,0.58,0.05,22.76,,0.23,,,,,,
Y1611L6,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,49.21,1.36,15.41,,,10.22,7.27,12.18,4.11,0.00,0.00,0.04,0.19,,,,,100.00,55.91,,583.70,0.61,,1.57,0.29,1.71,0.97,0.64,3.22,0.77,5.26,1.13,3.13,,2.77,0.43,,,,,,,,55.88,,312.40,,61.30,92.00,149.40,75.42,17.80,1.43,,,,0.08,,,,,0.04,,,,27.89,,,,,2.08,,3.87,,,0.05,,,0.27,0.01,47.39,,1.25,,,,,,
8906A20,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,75.06,0.27,14.55,,,2.00,0.89,1.59,2.29,3.12,2.59,0.04,0.19,,,,,100.00,44.15,,11.00,54.94,,111.85,12.50,44.34,8.01,1.32,6.16,0.95,5.79,1.21,3.50,,3.46,0.56,,,,,,,,6.92,,19.10,,3.96,26.80,1.10,138.95,14.60,933.84,,,,0.45,,,,,0.57,,,,32.15,,,,,4.27,,20.08,,,19.80,,,85.16,2.77,197.12,,7.27,,,,,,
P5626H3,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,73.10,0.21,15.40,,,1.31,0.61,2.92,4.34,2.03,1.69,0.04,0.01,,,,,100.00,45.52,,14.00,,,,,,,,,,,,,,,,,,,,,,,,,12.90,,8.20,32.80,0.20,,15.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G9702A2,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,76.61,0.23,10.17,,,5.29,0.95,6.50,0.13,0.01,0.01,0.04,0.08,,,,,100.00,24.24,,6.60,15.56,,32.58,4.47,20.57,6.69,2.06,8.29,1.37,8.31,1.73,4.98,,4.88,0.77,,,,,,,,15.76,,38.30,,2.10,28.60,9.40,137.48,14.10,4.51,,,,0.19,,,,,2.56,,,,45.92,,,,,3.91,,15.38,,,2.39,,,0.44,0.01,771.10,,3.37,,,,,,
8830A4,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,63.16,1.18,19.07,,,8.94,2.54,1.33,1.71,1.86,1.54,0.05,0.17,,,,,100.00,33.60,,137.90,55.60,,109.56,12.57,45.84,7.92,1.67,6.05,0.93,5.78,1.20,3.33,,3.01,0.48,,,,,,,,23.92,,127.80,,70.90,118.40,17.50,295.06,23.30,833.55,,,,0.29,,,,,0.91,,,,29.60,,,,,7.96,,10.24,,,12.68,,,70.92,0.89,391.45,,6.83,,,,,,
8815G3,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,50.28,0.81,12.48,,,9.29,10.07,12.88,3.97,0.00,0.00,0.05,0.17,,,,,100.00,65.90,,319.42,0.37,,1.29,0.29,2.29,1.68,0.64,3.10,0.64,4.22,0.90,2.49,,2.30,0.36,,,,,,,,37.35,,239.59,,119.62,95.66,4.07,223.54,19.55,2.89,,,,0.27,,,,,,,,,24.25,,,,,6.09,,,,,0.05,,,0.17,0.00,64.32,,5.94,,,,,,
G9702A3,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,53.77,0.66,13.49,,,12.65,5.77,9.44,3.93,0.01,0.01,0.06,0.22,,,,,100.00,44.86,,138.70,0.36,,0.86,0.13,0.86,0.82,0.48,2.28,0.50,3.49,0.82,2.39,,2.38,0.39,,,,,,,,43.73,,302.60,,47.00,99.80,84.40,29.89,16.40,1.10,,,,0.06,,,,,0.05,,,,20.55,,,,,0.97,,0.36,,,0.06,,,0.33,0.02,43.88,,1.01,,,,,,
J3705H,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,87.01,0.45,6.06,,,1.60,0.31,0.11,0.99,3.41,2.83,0.06,0.01,,,,,100.00,25.95,,31.17,6.14,,18.14,1.74,7.50,2.07,0.64,2.06,0.37,2.39,0.51,1.46,,1.50,0.25,,,,,,,,2.78,,32.42,,10.13,15.89,4.26,345.53,6.77,572.09,,,,0.47,,,,,1.07,,,,13.94,,,,,9.04,,6.02,,,3.60,,,96.87,0.92,42.95,,6.77,,,,,,
P5701A,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,45.49,0.96,16.20,,,15.24,12.49,7.02,2.02,0.32,0.26,0.06,0.21,,,,,100.00,59.38,,59.80,2.76,,7.00,1.05,5.24,1.75,0.82,2.13,0.40,2.60,0.53,1.43,,1.25,0.20,,,,,,,,14.32,,86.90,,309.80,90.70,23.60,61.07,16.10,70.88,,,,0.31,,,,,,,,,13.70,,,,,1.61,,,,,0.34,,,5.39,0.17,242.37,,4.51,,,,,,
9901B1,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,48.19,0.78,18.44,,,8.06,9.93,11.49,2.75,0.15,0.13,0.06,0.15,,,,,100.00,68.73,,220.50,0.63,,1.89,0.33,1.96,0.93,0.48,1.77,0.40,2.86,0.63,1.73,,1.47,0.22,,,,,,,,22.35,,136.40,,154.92,56.53,90.06,46.56,14.85,22.63,,,,0.05,,,,,,,,,16.26,,,,,1.35,,,,,0.11,,,2.85,0.11,41.46,,0.70,,,,,,
J2722B33,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,87.24,0.33,6.36,,,1.20,0.38,0.24,1.26,2.92,2.42,0.07,0.01,,,,,100.00,36.03,,11.81,17.47,,29.10,3.85,15.21,3.53,0.82,3.12,0.53,3.38,0.70,1.99,,2.04,0.33,,,,,,,,3.03,,15.74,,9.00,11.98,3.84,404.24,7.13,519.10,,,,0.61,,,,,1.26,,,,19.19,,,,,10.69,,6.64,,,4.90,,,89.21,0.89,36.57,,8.38,,,,,,
J2803N31,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,74.67,0.26,12.83,,,1.79,0.28,1.06,3.22,5.79,4.80,0.07,0.04,,,,,100.00,21.67,,4.15,56.02,,105.71,11.16,38.93,7.86,1.30,6.70,1.17,7.42,1.58,4.66,,5.11,0.83,,,,,,,,4.67,,7.89,,7.60,32.96,4.78,215.15,17.84,491.33,,,,1.49,,,,,14.08,,,,45.00,,,,,6.69,,30.17,,,35.76,,,228.01,5.27,79.35,,17.07,,,,,,
H3630B,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,60.44,1.06,22.82,,,9.15,2.87,0.64,0.38,2.50,2.07,0.07,0.07,,,,,100.00,35.90,,117.50,84.04,,164.74,19.57,71.57,13.59,1.98,11.12,1.77,10.90,2.25,6.26,,6.10,0.93,,,,,,,,29.04,,133.00,,29.00,90.70,6.70,166.84,28.20,548.75,,,,1.17,,,,,2.35,,,,57.67,,,,,5.08,,8.26,,,26.40,,,96.58,0.28,107.61,,18.23,,,,,,
UHP1 1066,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,60.44,1.06,22.82,,,9.15,2.87,0.64,0.38,2.50,2.07,0.07,0.07,,,,,100.00,35.90,,117.50,84.04,,164.74,19.57,71.57,13.59,1.98,11.12,1.77,10.90,2.25,6.26,,6.10,0.93,,,,,,,,29.04,,133.00,,29.00,90.70,6.70,166.84,28.20,548.75,,,,1.17,,,,,2.35,,,,57.67,,,,,5.08,,8.26,,,26.40,,,96.58,0.28,107.61,,18.23,,,,,,
J2802O2,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,70.42,0.48,16.96,,,3.21,1.61,0.54,1.59,5.08,4.22,0.07,0.04,,,,,100.00,47.26,,27.13,68.36,,125.61,13.78,50.12,9.45,1.47,7.07,1.15,6.99,1.41,4.02,,4.05,0.65,,,,,,,,11.22,,48.72,,15.55,66.88,4.46,228.42,20.18,717.64,,,,1.00,,,,,3.94,,,,38.02,,,,,6.80,,20.22,,,16.79,,,183.35,10.63,116.01,,15.95,,,,,,
E1612Q5,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,46.30,1.42,16.83,,,14.46,10.16,7.77,2.76,0.02,0.02,0.07,0.21,,,,,100.00,55.60,,64.30,2.20,,5.74,0.90,4.81,1.97,0.98,3.16,0.60,3.91,0.80,2.18,,1.96,0.31,,,,,,,,18.14,,101.30,,171.20,92.30,50.20,85.71,15.50,10.95,,,,0.53,,,,,,,,,21.20,,,,,2.21,,,,,0.10,,,0.65,0.04,185.22,,8.33,,,,,,
K5604A2,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,46.50,1.82,12.61,,,13.22,12.03,12.22,1.21,0.09,0.08,0.08,0.22,,,,,100.00,61.86,,773.40,6.20,,15.63,2.23,11.09,3.42,1.18,3.91,0.69,4.36,0.86,2.19,,1.85,0.27,,,,,,,,44.81,,312.20,,280.90,101.10,3.30,83.86,17.30,5.53,,,,0.48,,,,,,,,,21.88,,,,,2.44,,,,,0.35,,,1.94,0.32,68.46,,7.25,,,,,,
P5624A2,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,50.05,0.59,8.51,,,13.03,21.72,5.49,0.30,0.01,0.01,0.09,0.20,,,,,100.00,74.82,,1254.80,0.16,,0.42,0.08,0.61,0.65,0.31,1.47,0.29,1.92,0.39,1.01,,0.85,0.12,,,,,,,,48.99,,129.70,,427.30,131.80,9.20,10.04,7.30,5.02,,,,0.03,,,,,,,,,9.80,,,,,0.42,,,,,0.03,,,0.42,0.04,35.29,,0.54,,,,,,
P6808D,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,71.86,0.35,14.88,,,2.82,0.77,3.85,4.23,1.07,0.89,0.09,0.08,,,,,100.00,32.83,,10.50,15.71,,36.74,4.33,16.97,3.78,0.80,3.64,0.66,4.47,1.03,3.20,,3.74,0.63,,,,,,,,9.01,,40.10,,2.33,36.10,2.70,92.54,15.00,179.16,,,,0.43,,,,,2.34,,,,26.77,,,,,2.56,,23.78,,,3.82,,,64.42,4.82,283.55,,4.23,,,,,,
Y1617E,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,46.99,0.95,17.09,,,12.26,8.21,10.99,3.05,0.18,0.15,0.08,0.19,,,,,99.99,54.40,,243.65,4.32,,8.12,1.09,4.75,1.26,0.57,1.68,0.30,1.87,0.37,0.98,,0.88,0.13,,,,,,,,42.43,,336.58,,95.41,107.75,31.65,11.57,18.43,79.42,,,,0.09,,,,,,,,,9.75,,,,,0.40,,,,,0.34,,,3.44,0.13,285.22,,1.89,,,,,,
P6806A3,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,65.16,0.55,15.40,,,6.38,3.21,4.14,3.00,1.81,1.50,0.09,0.26,,,,,100.00,47.26,,12.10,111.84,,212.45,22.03,72.78,11.13,1.43,7.97,1.03,5.28,0.91,2.12,,1.47,0.22,,,,,,,,20.83,,97.80,,31.16,63.70,87.60,149.77,18.50,461.98,,,,0.35,,,,,1.69,,,,22.87,,,,,4.38,,15.91,,,32.49,,,68.09,2.96,354.04,,6.43,,,,,,
J2722B32,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,77.22,0.52,10.04,,,3.20,2.15,1.33,0.90,4.50,3.74,0.10,0.04,,,,,100.00,54.51,,30.68,28.23,,45.85,5.79,21.99,4.77,1.03,4.10,0.68,4.13,0.84,2.32,,2.21,0.36,,,,,,,,7.30,,49.97,,17.99,35.22,11.11,260.82,13.13,570.21,,,,0.80,,,,,1.44,,,,23.03,,,,,7.11,,8.21,,,6.90,,,138.10,3.17,80.58,,10.95,,,,,,
8907B6,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,74.82,0.49,13.16,,,2.44,0.31,3.88,3.59,0.93,0.77,0.11,0.29,,,,,100.00,18.34,,2.70,47.85,,102.10,12.56,45.39,8.48,2.14,6.96,1.20,8.36,2.13,7.54,,10.41,1.82,,,,,,,,9.55,,25.10,,0.00,16.70,21.70,298.72,13.30,198.84,,,,1.38,,,,,1.38,,,,58.23,,,,,8.10,,15.28,,,8.81,,,18.43,0.21,351.88,,15.10,,,,,,
P6805A2,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,59.50,1.00,20.47,,,6.70,3.24,2.53,2.44,3.77,3.13,0.11,0.23,,,,,100.00,46.34,,81.70,54.30,,116.38,13.08,47.29,8.89,1.82,7.27,1.27,8.37,1.71,4.52,,4.15,0.64,,,,,,,,20.82,,156.50,,60.71,81.10,10.90,274.53,27.00,496.12,,,,1.55,,,,,1.24,,,,44.78,,,,,7.68,,16.51,,,19.13,,,118.49,2.56,155.37,,22.56,,,,,,
8830A16,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,59.28,0.84,17.32,,,8.95,6.00,2.34,2.40,2.59,2.15,0.13,0.16,,,,,100.00,54.41,,270.30,23.48,,48.11,5.73,22.17,4.76,1.12,4.50,0.78,4.82,1.00,2.76,,2.47,0.40,,,,,,,,31.54,,168.00,,140.80,101.80,42.30,119.52,21.10,374.66,,,,0.60,,,,,1.50,,,,24.45,,,,,3.45,,13.08,,,6.42,,,90.72,4.95,109.45,,8.47,,,,,,
J2804L2,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,68.01,0.82,15.76,,,5.05,1.76,0.99,2.10,5.32,4.42,0.13,0.06,,,,,100.00,38.38,,51.70,34.66,,74.19,7.58,28.66,5.81,1.35,4.63,0.75,4.45,0.91,2.49,,2.35,0.38,,,,,,,,11.24,,79.23,,20.88,42.42,0.05,246.97,17.54,984.69,,,,0.60,,,,,0.94,,,,23.42,,,,,6.83,,14.92,,,7.28,,,134.97,2.57,122.28,,12.30,,,,,,
8907C1,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,60.17,0.77,17.50,,,8.66,6.14,2.35,1.70,2.46,2.04,0.13,0.12,,,,,100.00,55.82,,244.40,23.13,,46.58,5.66,21.53,4.46,1.10,4.26,0.75,4.63,0.95,2.58,,2.31,0.36,,,,,,,,31.00,,161.60,,168.40,122.70,51.20,104.10,21.70,348.72,,,,0.59,,,,,1.35,,,,23.47,,,,,3.03,,12.55,,,6.20,,,86.11,4.48,117.17,,8.57,,,,,,
R9827C,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,62.44,0.81,15.79,,,7.61,4.83,2.94,2.71,2.62,2.17,0.13,0.12,,,,,100.00,53.12,,212.70,24.24,,49.49,6.00,22.84,4.82,1.17,4.25,0.71,4.41,0.92,2.52,,2.34,0.37,,,,,,,,25.21,,153.50,,103.20,97.90,22.10,134.22,19.50,587.96,,,,0.58,,,,,1.71,,,,22.70,,,,,3.93,,13.05,,,7.48,,,101.44,3.82,251.91,,8.92,,,,,,
K7717A,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,59.55,0.70,13.50,,,12.94,5.36,6.14,1.45,0.01,0.00,0.13,0.23,,,,,100.00,42.47,,13.60,1.07,,2.93,0.48,2.81,1.50,0.68,3.16,0.65,4.50,1.00,2.93,,2.81,0.46,,,,,,,,43.31,,279.70,,20.70,87.60,2.90,42.37,16.40,1.58,,,,1.16,,,,,0.30,,,,25.50,,,,,1.32,,0.36,,,0.13,,,0.39,0.02,23.63,,11.46,,,,,,
J2813X,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,65.14,0.75,16.77,,,6.89,1.99,3.28,1.37,3.55,2.95,0.13,0.13,,,,,100.00,34.05,,51.13,57.36,,105.21,12.06,45.64,9.31,1.72,7.69,1.27,7.64,1.59,4.57,,4.61,0.74,,,,,,,,15.99,,75.64,,27.63,108.68,21.17,257.47,22.62,620.15,,,,1.42,,,,,3.08,,,,43.47,,,,,7.01,,21.30,,,15.62,,,131.05,3.07,156.55,,20.66,,,,,,
R9912A,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,59.82,0.90,17.38,,,8.74,5.18,2.50,2.89,2.33,1.93,0.14,0.12,,,,,100.00,51.38,,183.30,29.37,,57.99,6.77,25.33,5.18,1.31,4.89,0.88,5.54,1.13,3.06,,2.84,0.43,,,,,,,,31.55,,162.60,,96.40,116.60,29.90,141.28,20.60,323.10,,,,0.76,,,,,2.97,,,,28.19,,,,,4.02,,20.03,,,11.55,,,84.44,4.33,254.37,,11.72,,,,,,
8907C7,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,60.34,0.90,17.21,,,8.43,5.12,2.40,2.69,2.65,2.20,0.15,0.10,,,,,100.00,52.00,,193.10,27.23,,54.24,6.57,24.87,5.30,1.32,4.84,0.80,5.02,1.05,2.95,,2.93,0.46,,,,,,,,27.10,,171.70,,100.30,118.60,51.20,131.48,22.00,435.29,,,,0.80,,,,,2.02,,,,25.95,,,,,3.87,,16.44,,,9.22,,,86.50,4.91,226.03,,10.94,,,,,,
P6808A2,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,71.32,0.82,12.77,,,5.01,1.38,3.38,3.51,1.53,1.27,0.15,0.12,,,,,100.00,32.99,,14.60,62.05,,122.64,15.39,55.36,10.90,1.64,9.63,1.61,10.02,2.13,6.10,,5.92,0.94,,,,,,,,12.20,,78.50,,10.16,42.30,28.40,277.51,16.20,436.66,,,,1.23,,,,,3.90,,,,56.89,,,,,7.78,,14.45,,,14.98,,,77.29,4.23,296.65,,17.39,,,,,,
