SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
N39,,,GEOROC,10.1016/j.tecto.2009.11.013,MAFIC LOWER CRUSTAL XENOLITHS FROM THE NORTHWESTERN PART OF THE ARABIAN PLATE,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,32.00,36.00,0.01,50.10,1.20,18.50,1.25,,7.55,8.67,6.75,11.55,2.40,0.61,0.51,0.10,0.21,,,,,99.99,58.11,0.02,95.00,18.30,0.006364899,35.60,,,5.70,2.46,,0.68,,,,,1.30,0.15,,,,,,,,,,130.00,32.00,81.00,,,120.00,,530.00,,,,,,,,,,,,,18.00,,,,,,,,,,,,,5.00,,590.00,,6.00,,,,,,
N41-7,,,GEOROC,10.1139/e17-039,MAFIC LOWER CRUSTAL XENOLITHS FROM THE NORTHWESTERN PART OF THE ARABIAN PLATE,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,32.00,36.00,0.01,51.55,0.82,21.55,1.80,,5.35,6.97,5.45,10.55,2.10,0.45,0.37,0.25,0.15,,,,,99.59,58.23,0.02,75.00,14.10,0.00864369,26.00,,,3.66,1.81,,0.47,,,,,0.85,0.13,,,,,,,,,,110.00,27.00,110.00,,,95.00,,480.00,,,,,,,,,,,,,10.00,,,,,,,,,,,,,5.00,,490.00,,3.00,,,,,,
N39_LEACHED,,,GEOROC,10.1038/39853,MAFIC LOWER CRUSTAL XENOLITHS FROM THE NORTHWESTERN PART OF THE ARABIAN PLATE,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,32.00,36.00,0.01,51.30,1.12,19.85,2.52,,6.12,8.39,5.35,9.65,2.72,0.55,0.46,0.21,0.12,,,,,99.05,53.21,0.01,68.00,17.20,0.002750265,32.40,,,4.46,2.11,,0.55,,,,,1.15,0.14,,,,,,,,,,121.00,20.00,35.00,,,117.00,,622.00,,,,,,,,,,,,,15.00,,,,,,,,,,,,,7.00,,730.00,,4.00,,,,,,
67-12,,,GEOROC,10.1016/j.lithos.2008.11.010,MAFIC LOWER CRUSTAL XENOLITHS FROM THE NORTHWESTERN PART OF THE ARABIAN PLATE,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,32.00,36.00,0.01,49.30,0.97,11.35,2.55,,7.82,10.11,12.72,12.60,1.35,0.29,0.24,0.17,0.21,,,,,98.90,69.16,0.09,435.00,5.10,0.013829904,15.20,,,2.74,0.95,,0.61,,,,,1.98,0.30,,,,,,,,,,150.00,81.00,176.00,,,142.00,,290.00,,,,,,,,,,,,,23.00,,,,,,,,,,,,,5.00,,320.00,,6.00,,,,,,
N41-7_LEACHED,,,GEOROC,10.2465/ganko.90.109,MAFIC LOWER CRUSTAL XENOLITHS FROM THE NORTHWESTERN PART OF THE ARABIAN PLATE,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,32.00,36.00,0.01,49.25,1.38,18.75,2.10,,7.78,9.67,6.60,10.75,1.94,0.40,0.33,0.22,0.16,,,,,98.90,54.89,0.02,80.00,15.30,0.009508059,31.00,,,3.92,1.93,,0.49,,,,,1.12,0.14,,,,,,,,,,136.00,39.00,121.00,,,125.00,,505.00,,,,,,,,,,,,,25.00,,,,,,,,,,,,,4.00,,515.00,,5.00,,,,,,
62,,,GEOROC,10.1016/j.geothermics.2006.05.003,GEOCHEMICAL FEATURES OF EASTERN SICILY LITHOSPHERE AS PROBED BY HYBLEAN XENOLITHS AND LAVAS,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,37.18,15.12,0.01,49.45,0.31,24.28,,,,3.67,4.43,14.18,2.36,0.08,0.07,0.03,0.06,,,,,98.82,68.27,0.04,174.00,1.95,0.005343372,4.34,0.49,1.58,0.34,0.38,0.65,0.12,0.64,0.11,0.33,0.04,0.24,0.04,,,,,,,,22.00,,89.00,31.00,68.00,,,10.00,,38.00,,,,,,,,,,,,,2.80,,,,,,,,,,,,,0.94,,430.00,,2.40,,,,,,
N39_LEACHATE,,,GEOROC,10.1016/j.precamres.2011.11.008,MAFIC LOWER CRUSTAL XENOLITHS FROM THE NORTHWESTERN PART OF THE ARABIAN PLATE,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,32.00,36.00,0.01,49.50,1.05,21.30,2.20,,6.20,8.18,5.60,9.85,2.50,0.50,0.42,0.20,0.15,,,,,98.63,54.97,0.01,53.00,19.10,0.007465005,44.70,,,6.82,2.82,,0.81,,,,,1.81,0.22,,,,,,,,,,106.00,25.00,95.00,,,114.00,,580.00,,,,,,,,,,,,,15.00,,,,,,,,,,,,,6.00,,635.00,,6.00,,,,,,
436-30B,,,GEOROC,10.1016/S0301-9268(03)00084-6,MAFIC LOWER CRUSTAL XENOLITHS FROM THE NORTHWESTERN PART OF THE ARABIAN PLATE,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,32.00,36.00,0.01,49.60,0.75,13.50,3.30,,6.95,9.92,11.62,11.75,1.10,0.25,0.21,0.27,0.10,,,,,98.59,67.62,0.05,230.00,6.62,0.009900954,15.26,,,2.65,1.02,,0.59,,,,,1.90,0.25,,,,,,,,,,132.00,61.00,126.00,,,133.00,,312.00,,,,,,,,,,,,,18.00,,,,,,,,,,,,,7.00,,478.00,,4.00,,,,,,
DR1021,,,GEOROC,10.2465/gkk.36.15,GEOCHEMICAL FEATURES OF EASTERN SICILY LITHOSPHERE AS PROBED BY HYBLEAN XENOLITHS AND LAVAS,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,-15.09,-49.16,0.01,50.47,0.34,14.19,,,,6.57,14.30,10.85,1.61,0.09,0.07,0.01,0.12,,,,,98.54,79.51,0.15,705.00,1.61,0.044397135,3.72,0.54,2.31,0.97,0.43,1.03,0.17,1.10,0.21,0.54,0.08,0.53,0.07,,,,,,,,26.00,,113.00,69.00,565.00,,,13.00,,31.00,,,,,,,,,,,,,5.30,,,,,,,,,,,,,0.75,,232.00,,1.10,,,,,,
436-30B,,,GEOROC,10.1016/j.jvolgeores.2006.12.004,MAFIC LOWER CRUSTAL XENOLITHS FROM THE NORTHWESTERN PART OF THE ARABIAN PLATE,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,32.00,36.00,0.01,49.80,1.15,10.85,2.20,,7.40,9.38,12.72,12.65,1.40,0.31,0.26,0.18,0.21,,,,,98.47,70.74,0.13,625.00,4.22,0.01964475,11.12,,,1.97,0.76,,0.44,,,,,1.60,0.23,,,,,,,,,,173.00,94.00,250.00,,,153.00,,196.00,,,,,,,,,,,,,36.00,,,,,,,,,,,,,3.00,,300.00,,9.00,,,,,,
