Supplementary Table 1. Compositions of samples from Archean granulite-facies terrains.,class,continent,ref,SiO2,TiO2,Al2O3,Fe2O3,FeO,TOTAL FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho ,Er,Yb,Lu,Hf,Ta,Pb,Th,U,Sn,tot.,norm,SiO2,TiO2,Al2O3,Fe2O3,FeO,FeO Total,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho ,Er,Yb,Lu,Hf,Ta,Pb,Th no XRF,U no XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67-109,,Europe,"Scourian, Scotland, Pride and Muecke, 1980, gneiss",46.29,0.55,12.07,2.18,10.15,12.11,0.27,12.74,13.14,1.21,0.22,0.02,,55.6,,1247,80,,,,,3.2,,,,,,,3.47,10.3,,,1.66,0.49,,0.48,,,,1.83,,1.60,,,,0.04,,98.6,,46.9,0.6,12.2,2.2,10.3,12.3,0.3,12.9,13.3,1.2,0.2,0.0,,56.4,,1264.4,81.0,,,,,3.3,,,,,,,3.5,10.4,,,1.7,0.5,,0.5,,,,1.9,,1.6,,,,0.0,,,,65.2,,0.318702582,0.625993487,0.058310153,0.217661444,0.276004532,-0.4,,,3.848806202,-0.583956754,2.504603282,0.793205123,2.331353952,2.508040945,-1.295453074,2.558626897,2.58954126,0.204500606,-1.500247486,-3.898142759,,4.032063448,,7.142376192,4.394656099,,,,,1.183261606,,,,,,,1.25803484,2.346024142,,,0.520697849,-0.699469641,,-0.720088929,,,,0.618196213,,0.483883876,,,,-3.230313386
GR0020,,Greenland,"Manning, C.E., Mojzsis, S.J. and Harrison, T.M., 2006. Geology, age and origin of supracrustal rocks at Akilia, West Greenland. American Journal of Science, 306(5): 303-366.",46.52,0.28,8.50,,9.82,9.82,0.16,25.30,4.79,0.82,0.08,0.02,,,,,,,,,,2.00,19.00,7.00,20.00,,,,1.30,2.60,,2.20,0.70,0.25,1.00,0.20,1.30,0.30,1.00,,,,,,,,,96.3,,48.3,0.3,8.8,,10.2,10.2,0.2,26.3,5.0,0.9,0.1,0.0,,,,,,,,,,2.1,19.7,7.3,20.8,,,,1.4,2.7,,2.3,0.7,0.3,1.0,0.2,1.4,0.3,1.0,,,,,,,,,,,82.1,,0.464899292,0.467546449,0.076945528,0.309395174,0.402614597,-0.1,,,3.877688042,-1.235159961,2.177871878,,2.322226837,2.322226837,-1.794775749,3.26861011,1.604336126,-0.160645224,-2.48792293,-3.874217291,,,,,,,,,,0.730952895,2.982244694,1.983715864,3.033537988,,,,0.300169979,0.99331716,,0.826263075,-0.318869229,-1.348488646,0.037805715,-1.571632198,0.300169979,-1.16616709,0.037805715,,,,,,,
3109u,,North America,"La Fleche, M. R., T. C. Birkett, et al. (2005). ""Crustal development at the pre-Grenvillian Laurentian margin: a record from contrasting geochemistry of mafic and ultramafic orthogneisses in the Chochocouane River area, Quebec."" Canadian Journal of Earth Sciences 42(10): 1653-1675.",46.63,0.34,6.15,12.42,,11.18,0.14,25.36,7.86,1.03,,0.02,,,141.00,1179.00,106.00,708.00,,,,2.00,20.00,9.70,,,,,1.00,2.70,,2.70,0.85,0.33,1.40,0.27,1.70,0.35,0.98,0.85,0.17,0.40,,,0.16,,,98.7,,47.2,0.3,6.2,12.6,,11.3,0.1,25.7,8.0,1.0,,0.0,,,142.8,1194.5,107.4,717.3,,,,2.0,20.3,9.8,,,,,1.0,2.7,,2.7,0.9,0.3,1.4,0.3,1.7,0.4,1.0,0.9,0.2,0.4,,,0.2,,,,,80.2,,0.280135195,0.64602068,0.076464075,0.216531672,0.242604196,-0.4,,,3.855273465,-1.065780307,1.829481436,2.532337431,,2.426754669,-1.953083502,3.246202484,2.074815961,0.042588157,,-3.898993651,,,4.961789245,7.085451255,4.676468449,6.575473448,,,,0.706176535,3.008761628,2.28515524,,,,,0.013029355,1.006281128,,1.006281128,-0.149489575,-1.09563327,0.349501591,-1.296303965,0.543657606,-1.03679277,-0.007173353,-0.149489575,-1.758927487,-0.903261377,,,-1.819552109,
GR0019,,Greenland,"Manning, C.E., Mojzsis, S.J. and Harrison, T.M., 2006. Geology, age and origin of supracrustal rocks at Akilia, West Greenland. American Journal of Science, 306(5): 303-366.",46.73,0.38,8.58,,11.20,11.20,0.18,21.03,6.39,1.13,0.15,0.02,,,,,,,,,,3.00,13.00,9.00,25.00,,,,2.80,5.20,,3.60,1.10,0.52,1.40,0.30,1.80,0.40,1.20,,,,,,,,,95.8,,48.8,0.4,9.0,,11.7,11.7,0.2,22.0,6.7,1.2,0.2,0.0,,,,,,,,,,3.1,13.6,9.4,26.1,,,,2.9,5.4,,3.8,1.1,0.5,1.5,0.3,1.9,0.4,1.3,,,,,,,,,,,77.0,,0.39601931,0.523316018,0.090905222,0.288914877,0.342962783,-0.2,,,3.887398247,-0.924572136,2.192445804,,2.458925669,2.458925669,-1.671786537,3.08896188,1.897746159,0.165229523,-1.854108094,-3.869011115,,,,,,,,,,1.141624179,2.607961248,2.240236468,3.261887715,,,,1.072631308,1.691670516,,1.323945736,0.13832207,-0.610914577,0.379484127,-1.160960914,0.630798555,-0.873278841,0.225333447,,,,,,,
18,metased,ASIA,"Condie et al. 1991, Anabar Shield, paragneiss",46.76,0.43,12.1,2.35,,2.11,0.04,0.61,32.5,1.29,0.38,0.03,,4.1,34,13,,8,,,,15,698,12,41,8.6,0.5,80,1.5,4.4,,1.9,0.3,,,0.3,,,,1.4,0.19,1.8,0.8,7.3,0.4,0.3,,96.3,,48.6,0.4,12.6,2.4,,2.2,0.0,0.6,33.8,1.3,0.4,0.0,,4.3,35.3,13.5,,8.3,,,,15.6,725.2,12.5,42.6,8.9,0.5,83.1,1.6,4.6,,2.0,0.3,,,0.3,,,,1.5,0.2,1.9,0.8,7.6,0.4,0.3,,,,34.0,,0.169186024,0.801782542,0.03432972,0.118922732,0.146519395,-0.7,,,3.883202286,-0.805795921,2.531379602,0.892589477,,0.787006715,-3.180701676,-0.456122173,3.519414238,0.292816367,-0.929409877,-3.468383748,,1.449161123,3.564534674,2.603123506,,2.117615691,,,,2.74622435,6.586393252,2.523080799,3.751746216,2.189936352,-0.654973032,4.420200784,0.443639257,1.51977869,,0.680028035,-1.165798655,,,-1.165798655,,,,0.374646386,-1.622557058,0.625960814,-0.184969402,2.026048497,-0.878116583,-1.165798655
SPDR348b,,North America,"La Fleche, M. R., T. C. Birkett, et al. (2005). ""Crustal development at the pre-Grenvillian Laurentian margin: a record from contrasting geochemistry of mafic and ultramafic orthogneisses in the Chochocouane River area, Quebec."" Canadian Journal of Earth Sciences 42(10): 1653-1675.",46.78,0.76,14.32,13.92,,12.53,0.22,11.68,9.39,2.30,0.58,0.06,,34.00,230.00,130.00,63.00,240.00,,,,28.00,122.00,17.00,,,1.06,84.00,2.80,7.50,,5.40,1.73,0.70,,0.42,,,,1.70,0.27,1.10,0.15,,0.63,,,98.6,,47.4,0.8,14.5,14.1,,12.7,0.2,11.8,9.5,2.3,0.6,0.1,,34.5,233.2,131.8,63.9,243.4,,,,28.4,123.7,17.2,,,1.1,85.2,2.8,7.6,,5.5,1.8,0.7,,0.4,,,,1.7,0.3,1.1,0.2,,0.6,,,,,62.4,,0.402943393,0.477257534,0.123149281,0.324620977,0.348959215,-0.2,,,3.859400377,-0.26049223,2.675601777,2.647271271,,2.541688508,-1.500183117,2.471822593,2.253589909,0.846853739,-0.53078256,-2.799466101,,3.54030514,5.452023925,4.881479066,4.157079342,5.494583539,,,,3.346149126,4.817965661,2.84715796,,,0.072213524,4.444761415,1.043564033,2.028847636,,1.700343569,0.562066024,-0.342730328,,-0.853555952,,,,0.544572867,-1.295388704,0.109254796,-1.883175369,,-0.448090844,
3920,,Antarctica,"Sheraton, J. W. and L. P. Black (1983). ""GEOCHEMISTRY OF PRECAMBRIAN GNEISSES - RELEVANCE FOR THE EVOLUTION OF THE EAST ANTARCTIC SHIELD."" Lithos 16(4): 273-296",46.90,0.12,4.76,6.68,2.04,8.05,0.16,31.90,5.28,0.32,0.20,0.01,,,87,3230,,1470,2,17,4,5.0,23,5.00,12.00,2.00,,42,3,,,,,,,,,,,,,,,,,,,97.7,,48.0,0.1,4.9,6.8,2.1,8.2,0.2,32.7,5.4,0.3,0.2,0.0,,,89.0,3306.0,,1504.6,2.0,17.4,4.1,5.1,23.5,5.1,12.3,2.0,,43.0,3.1,,,,,,,,,,,,,,,,,,,,,87.6,,0.319841093,0.63602852,0.049169485,0.209090031,0.276990511,-0.4,,,3.871279506,-2.097001706,1.583509499,1.922379818,0.736211639,2.109016403,-1.809319633,3.48586784,1.687187928,-1.116172453,-1.586176082,-4.581908355,,,4.489169949,8.103499247,,7.31627951,0.716409011,2.856475175,1.409556192,1.632699743,3.158756047,1.632699743,2.50816848,0.716409011,,3.760931449,1.121874119,,,,,,,,,,,,,,,,,
81-311,,Antarctica,"Sheraton, J. W. and K. D. Collerson (1984). ""GEOCHEMICAL EVOLUTION OF ARCHEAN GRANULITE-FACIES GNEISSES IN THE VESTFOLD BLOCK AND COMPARISONS WITH OTHER ARCHEAN GNEISS COMPLEXES IN THE EAST ANTARCTIC SHIELD."" Contributions to Mineralogy and Petrology 87(1): 51-64.",46.90,0.69,15.31,2.36,8.53,10.65,0.18,9.84,11.48,2.12,0.64,0.07,,,192,528,,189,3,80,14,11.0,134,15.00,36.00,1.00,,85,2,7,,,,,,,,,,,,,,3,,,,97.9,,47.9,0.7,15.6,2.4,8.7,10.9,0.2,10.1,11.7,2.2,0.7,0.1,,,196.2,539.4,,193.1,3.1,81.7,14.3,11.2,136.9,15.3,36.8,1.0,,86.8,2.0,7.2,,,,,,,,,,,,,,3.1,,,,,,62.2,,0.38398701,0.517545946,0.103514387,0.295507892,0.332542505,-0.2,,,3.869409579,-0.349671777,2.749898114,0.880053523,2.164981265,2.387283009,-1.693406524,2.307847615,2.461998295,0.772807993,-0.424895199,-2.637868133,,,5.278887276,6.290488188,,5.263138919,1.120004193,4.403418539,2.660449234,2.419287177,4.919231704,2.729442105,3.604910842,0.021391904,,4.46404316,0.714539084,1.967302053,,,,,,,,,,,,,,1.120004193,,
17-66a,,North America,"La Fleche, M. R., T. C. Birkett, et al. (2005). ""Crustal development at the pre-Grenvillian Laurentian margin: a record from contrasting geochemistry of mafic and ultramafic orthogneisses in the Chochocouane River area, Quebec."" Canadian Journal of Earth Sciences 42(10): 1653-1675.",46.90,0.87,16.16,12.66,,11.39,0.18,8.65,11.06,2.61,0.84,0.08,,40.00,240.00,160.00,45.00,130.00,,,,23.00,109.00,17.00,37.00,,,73.00,2.60,6.90,,5.40,1.80,0.74,,0.41,,0.62,,1.80,0.28,1.10,0.18,,0.19,,,98.7,,47.5,0.9,16.4,12.8,,11.5,0.2,8.8,11.2,2.6,0.9,0.1,,40.5,243.1,162.0,45.6,131.7,,,,23.3,110.4,17.2,37.5,,,73.9,2.6,7.0,,5.5,1.8,0.7,,0.4,,0.6,,1.8,0.3,1.1,0.2,,0.2,,,,,57.5,,0.392315682,0.485300533,0.125399064,0.321556905,0.339755347,-0.2,,,3.860682861,-0.126596881,2.795204239,2.551112603,,2.44552984,-1.702133242,2.170224507,2.416000182,0.972015407,-0.161688201,-2.513063458,,3.70154464,5.493304109,5.087839001,3.819327676,4.880199636,,,,3.148159402,4.704013068,2.84587853,3.623583099,,,4.303124627,0.968176631,1.944186598,,1.69906414,0.600451851,-0.288439907,,-0.878932933,,-0.465370615,,0.600451851,-1.26030049,0.107975366,-1.702133242,,-1.648066021,
17-46b,,North America,"La Fleche, M. R., T. C. Birkett, et al. (2005). ""Crustal development at the pre-Grenvillian Laurentian margin: a record from contrasting geochemistry of mafic and ultramafic orthogneisses in the Chochocouane River area, Quebec."" Canadian Journal of Earth Sciences 42(10): 1653-1675.",46.93,0.37,8.67,11.43,,10.28,0.18,23.33,8.02,0.91,0.12,0.04,,24.00,150.00,1700.00,83.00,910.00,,,,14.00,47.00,8.70,,,0.29,23.00,0.90,3.00,,2.00,0.77,0.30,1.50,0.26,1.90,0.38,1.10,1.00,0.18,0.53,,,0.16,0.10,,98.9,,47.5,0.4,8.8,11.6,,10.4,0.2,23.6,8.1,0.9,0.1,0.0,,24.3,151.7,1719.7,84.0,920.5,,,,14.2,47.5,8.8,,,0.3,23.3,0.9,3.0,,2.0,0.8,0.3,1.5,0.3,1.9,0.4,1.1,1.0,0.2,0.5,,,0.2,0.1,,,,80.2,,0.350739115,0.586539224,0.065340239,0.240709796,0.303748983,-0.3,,,3.860176079,-0.982733324,2.17138774,2.447760427,,2.342177664,-1.703279479,3.161259035,2.093457371,-0.08279173,-2.108744587,-3.207356876,,3.189572779,5.022154243,7.449902479,4.430359557,6.824963549,,,,2.650576279,3.861666551,2.174841975,,,-1.226355407,3.147013165,-0.093841567,1.110131238,,0.70466613,-0.249845815,-1.192453855,0.416984057,-1.335554699,0.653372835,-0.956065077,0.106829129,0.011518949,-1.703279479,-0.623359323,,,-1.821062515,-2.291066144
527491,,Greenland,Thrym Complex Bagas et al. 2013,46.96,0.43,17.60,9.19,,8.27,0.14,10.15,10.17,2.80,0.27,0.06,,22,146,240,45,280,5,70,14,21,171,11,32,0.8,0.05,425,2.84,6.45,0.9,4.31,1.3,0.472,1.6,0.31,2.11,0.42,1.25,1.29,0.225,0.8,0.005,7,0.31,0.1,0.5,96.8,,48.5,0.4,18.2,9.5,,8.5,0.1,10.5,10.5,2.9,0.3,0.1,,22.7,150.8,247.8,46.5,289.1,5.2,72.3,14.5,21.7,176.6,11.4,33.0,0.8,0.1,438.8,2.9,6.7,0.9,4.5,1.3,0.5,1.7,0.3,2.2,0.4,1.3,1.3,0.2,0.8,0.0,7.2,0.3,0.1,,0.5,,68.6,,0.436925905,0.451458992,0.119480272,0.337943225,0.378388934,-0.1,,,3.881398943,-0.822531134,2.900214029,2.249767417,,2.144184655,-1.952509237,2.349165575,2.351478966,1.061438293,-1.263740713,-2.770818202,,3.12307921,5.015643378,5.51267568,3.838699246,5.666826359,1.641474669,4.280531998,2.671094086,3.076559194,5.173700313,2.429932029,3.497772659,-0.191106795,-2.963695517,6.084125925,1.075840808,1.896116887,-0.073323759,1.49297466,0.294401021,-0.718739537,0.502040385,-1.139146225,0.778724704,-0.835463811,0.255180308,0.286678975,-1.459618121,-0.191106795,-5.26628061,1.977946905,-1.139146225,-2.270548337
65-41,,Europe,"Scourian, Scotland, Pride and Muecke, 1980, gneiss",46.98,0.97,17.21,2.35,9.56,11.67,0.27,7.13,12.34,2.15,0.11,0.04,,47.6,,348,53,,,,,2.3,,,,,,,2.14,8.92,,,2.09,0.68,,0.50,,,,1.71,,,,,,0.01,,98.9,,47.5,1.0,17.4,2.4,9.7,11.8,0.3,7.2,12.5,2.2,0.1,0.0,,48.1,,352.0,53.7,,,,,2.4,,,,,,,2.2,9.0,,,2.1,0.7,,0.5,,,,1.7,,,,,,0.0,,,,52.1,,0.399779141,0.518572483,0.084361212,0.284250782,0.346218892,-0.2,,,3.861040493,-0.019140694,2.856809124,0.865733842,2.26890624,2.468728059,-1.298014807,1.975629748,2.524164532,0.776786356,-2.1959564,-3.207557311,,3.874151275,,5.863520993,3.983495442,,,,,0.861469443,,,,,,,0.772124342,2.19961446,,,0.748482579,-0.374343967,,-0.681828667,,,,0.547811884,,,,,,-4.593851673
65-33,,Europe,"Scourian, Scotland, Pride and Muecke, 1980, gneiss",47.04,0.92,15.55,4.49,7.80,11.84,0.23,7.03,14.08,1.89,0.24,0.05,,47.8,,389,52,,,,,2.1,,,,,,,1.9,5.97,,,1.76,0.53,,0.50,,,,2.30,,1.00,,,0.17,,,98.9,,47.6,0.9,15.7,4.5,7.9,12.0,0.2,7.1,14.2,1.9,0.2,0.1,,48.3,,393.4,52.2,,,,,2.2,,,,,,,1.9,6.0,,,1.8,0.5,,0.5,,,,2.3,,1.0,,,0.2,,,,,51.4,,0.351510541,0.575461228,0.075614113,0.251369384,0.304417058,-0.3,,,3.862361602,-0.072018311,2.755423937,1.513216,2.065487032,2.482855543,-1.458312672,1.961550004,2.656118649,0.647940127,-1.415753057,-2.984368975,,3.878388938,,5.974942642,3.954884971,,,,,0.767485278,,,,,,,0.653217185,1.798110226,,,0.576677107,-0.623514974,,-0.681783882,,,,0.844272421,,0.011363298,,,-1.760593544,
527418,,Greenland,Thrym Complex Bagas et al. 2013,47.09,0.67,13.09,9.56,,8.61,0.33,5.18,21.54,0.87,0.15,0.00,,35,199,360,46,120,5,120,14,3,69,10.3,48,3.8,0.05,16,1.58,4.96,0.82,4.09,1.31,0.442,1.61,0.33,2.02,0.4,1.24,1.21,0.215,1.3,0.18,9,0.73,0.16,4,97.5,,48.3,0.7,13.4,9.8,,8.8,0.3,5.3,22.1,0.9,0.2,0.0,,35.9,204.0,369.1,47.2,123.0,5.1,123.0,14.4,3.1,70.7,10.6,49.2,3.9,0.1,16.4,1.6,5.1,0.8,4.2,1.3,0.5,1.7,0.3,2.1,0.4,1.3,1.2,0.2,1.3,0.2,9.2,0.7,0.2,,4.1,,51.8,,0.247365851,0.727608047,0.029647433,0.153330359,0.214225111,-0.5,,,3.877021872,-0.372104501,2.596760143,2.28302401,,2.177441248,-1.08458271,1.669441688,3.094891992,-0.11280353,-1.857172238,-5.283286377,,3.580328382,5.318285145,5.911084351,3.853621717,4.812472063,1.634418232,4.812472063,2.66403765,1.123592609,4.259086825,2.357124215,3.896181331,1.359981387,-2.970751954,2.797569042,0.482405167,1.626386061,-0.173470619,1.43352529,0.295007457,-0.791465077,0.501214499,-1.083682304,0.728077831,-0.891310412,0.2400917,0.21560068,-1.512136931,0.287344585,-1.689818108,2.222204897,-0.289730425,-1.807601144
5,,ASIA,"Kutty & Iyer, 1978 North Arcot, India, granulite, gneiss, granite ",47.13,1.47,16.10,1.92,15.70,17.43,0.34,6.21,9.23,1.42,0.31,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,47.2,1.5,16.1,1.9,15.7,17.5,0.3,6.2,9.2,1.4,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,,0.452923866,0.472449558,0.075103688,0.301565622,0.392243574,-0.1,,,3.854835434,0.387188094,2.780744965,0.654250879,2.755586405,2.859981767,-1.076883968,1.828086589,2.224384741,0.352582565,-1.169257289,-1.770031149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Europe,"Fennoscandian Shield, Holtta, P. (1997). ""Geochemical characteristics of granulite facies rocks in the Archean Varpaisjarvi area, central Fennoscandian shield."" Lithos 40(1): 31-53.",47.14,1.00,15.16,,11.72,11.72,0.21,7.15,10.30,2.71,0.60,0.08,,45.0,319,150,,129,181,113,16,3.0,123,23.00,49.00,1.00,,99,5.49,13.6,1.83,7.90,2.87,0.88,3.88,0.61,4.17,0.86,2.71,2.25,0.37,,,17.0,0.25,,,96.1,,49.1,1.0,15.8,,12.2,12.2,0.2,7.4,10.7,2.8,0.6,0.1,,46.8,332.0,156.1,,134.3,188.4,117.6,16.7,3.1,128.0,23.9,51.0,1.0,,103.0,5.7,14.2,1.9,8.2,3.0,0.9,4.0,0.6,4.3,0.9,2.8,2.3,0.4,,,17.7,0.3,,,,,52.1,,0.397983121,0.480672172,0.130910307,0.329901868,0.344663493,-0.2,,,3.893214991,0.040093094,2.758753474,,2.501389878,2.501389878,-1.520554655,2.00720545,2.372236989,1.037041728,-0.47073253,-2.485635551,,3.846755583,5.805284196,5.050728388,,4.899905498,5.238590125,4.767480912,2.812681816,1.138705382,4.852277449,3.175587309,3.931913392,0.040093094,,4.635212944,1.743021349,2.650162886,0.64440906,2.106955853,1.094405123,-0.087740278,1.395928247,-0.454203228,1.468009129,-0.110729796,1.037041728,0.85102331,-0.95415918,,,2.873306438,-1.346201268,
GR0031,,Greenland,"Manning, C.E., Mojzsis, S.J. and Harrison, T.M., 2006. Geology, age and origin of supracrustal rocks at Akilia, West Greenland. American Journal of Science, 306(5): 303-366.",47.17,0.34,7.72,,10.49,10.49,0.16,23.28,5.20,0.84,0.10,0.02,,,,,,,,,,,11.00,8.00,20.00,,,,1.80,3.80,,3.00,0.90,0.34,1.20,0.20,1.50,0.30,1.00,,,,,,,,,95.3,,49.5,0.4,8.1,,11.0,11.0,0.2,24.4,5.5,0.9,0.1,0.0,,,,,,,,,,,11.5,8.4,21.0,,,,1.9,4.0,,3.1,0.9,0.4,1.3,0.2,1.6,0.3,1.0,,,,,,,,,,,79.8,,0.424902853,0.506984911,0.07978033,0.292231756,0.367976665,-0.2,,,3.901688631,-1.030879128,2.091744898,,2.398352956,2.398352956,-1.78465093,3.195525157,1.696589159,-0.126422853,-2.254654559,-3.864092472,,,,,,,,,,,2.445825807,2.127372075,3.043662807,,,,0.635717199,1.3829316,,1.146542822,-0.057429982,-1.030879128,0.230252091,-1.561507379,0.453395642,-1.156042271,0.047930534,,,,,,,
4,,ASIA,"Kutty & Iyer, 1978 North Arcot, India, granulite, gneiss, granite ",47.18,1.64,15.47,1.21,11.98,13.07,0.06,8.28,12.25,1.52,0.32,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,47.2,1.6,15.5,1.2,12.0,13.1,0.1,8.3,12.3,1.5,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,0.381035663,0.549158055,0.070092361,0.260610192,0.329986564,-0.2,,,3.85518323,0.495909397,2.74011582,0.191833515,2.484451748,2.571437652,-2.812197561,2.115056124,2.506739093,0.41992349,-1.138221128,-2.406732453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 44,,ASIA,"Jahn, B. M. and Z. Q. Zhang (1984). ""ARCHEAN GRANULITE GNEISSES FROM EASTERN HEBEI PROVINCE, CHINA - RARE-EARTH GEOCHEMISTRY AND TECTONIC IMPLICATIONS."" Contributions to Mineralogy and Petrology 85(3): 224-243.",47.20,0.64,9.54,13.83,,12.44,0.21,11.44,10.46,1.58,0.58,0.33,,,195,1190,64,285,,,,3.0,630,18.00,63.00,3.60,,,16.2,36.5,,19.20,3.88,1.08,3.21,,2.51,,1.34,1.23,0.19,,,,,,,100.0,,47.2,0.6,9.5,13.8,,12.4,0.2,11.4,10.5,1.6,0.6,0.3,,,195.0,1190.0,64.0,285.0,,,,3.0,630.0,18.0,63.0,3.6,,,16.2,36.5,,19.2,3.9,1.1,3.2,,2.5,,1.3,1.2,0.2,,,,,,,,,62.1,,0.299803342,0.598731248,0.10146541,0.251367081,0.259637311,-0.4,,,3.854393893,-0.446287103,2.255493485,2.626840146,,2.521257383,-1.560647748,2.437115986,2.347558459,0.457424847,-0.544727175,-1.108662625,,,5.272999559,7.081708586,4.158883083,5.65248918,,,,1.098612289,6.445719819,2.890371758,4.143134726,1.280933845,,,2.785011242,3.597312261,,2.954910279,1.355835154,0.076961041,1.166270937,,0.920282753,,0.292669614,0.207014169,-1.660731207,,,,,
527413,,Greenland,Thrym Complex Bagas et al. 2013,47.22,1.78,9.86,14.61,,13.15,0.18,10.43,10.92,1.55,2.22,0.21,,50,483,210,71,90,80,160,18,146,356,20.2,82,6.1,2.2,617,23,62.8,8.72,38.4,8.06,1.96,6.34,0.88,4.61,0.77,2.08,1.66,0.26,2.5,0.28,11,1.73,0.26,6,97.5,,48.4,1.8,10.1,15.0,,13.5,0.2,10.7,11.2,1.6,2.3,0.2,,51.3,495.3,215.4,72.8,92.3,82.0,164.1,18.5,149.7,365.1,20.7,84.1,6.3,2.3,632.8,23.6,64.4,8.9,39.4,8.3,2.0,6.5,0.9,4.7,0.8,2.1,1.7,0.3,2.6,0.3,11.3,1.8,0.3,,6.2,,58.6,,0.289273777,0.573081797,0.142802457,0.287439346,0.25051844,-0.4,,,3.879970702,0.600340923,2.313793402,2.707086698,,2.601503935,-1.673576263,2.369660015,2.415819029,0.4639295,0.821138898,-1.541404438,,3.937246064,6.205239712,5.372330589,4.287902935,4.525032729,4.407249693,5.100396873,2.915594816,5.00882968,5.900153789,3.030905663,4.431942305,1.833511829,0.813680419,6.450092082,3.160717274,4.165178132,2.190842296,3.673280518,2.112136615,0.698167531,1.872101827,-0.102610313,1.553450915,-0.236141706,0.757590952,0.532040661,-1.32185059,0.94151379,-1.247742618,2.423118331,0.573344467,-1.32185059
3413,,Antarctica,"Sheraton, J. W. and L. P. Black (1983). ""GEOCHEMISTRY OF PRECAMBRIAN GNEISSES - RELEVANCE FOR THE EVOLUTION OF THE EAST ANTARCTIC SHIELD."" Lithos 16(4): 273-296",47.30,0.19,3.58,3.16,6.13,8.97,0.16,34.50,3.95,0.16,0.02,0.01,,,96,2900,,1670,22,24,4,,16,6.00,10.00,,,16,,,,,,,,,,,,,,,,,,,,98.8,,47.9,0.2,3.6,3.2,6.2,9.1,0.2,34.9,4.0,0.2,0.0,0.0,,,97.1,2933.9,,1689.5,22.3,24.3,4.0,,16.2,6.1,10.1,,,16.2,,,,,,,,,,,,,,,,,,,,,,87.3,,0.32625358,0.65053545,0.025763019,0.188889809,0.282543888,-0.4,,,3.868144026,-1.649097477,1.286996531,1.162205758,1.82482848,2.20589481,-1.820947734,3.552593054,1.385349309,-1.820947734,-3.900389275,-4.593536456,,,4.575981922,7.984099746,,7.432212636,3.102676184,3.189687561,1.397928091,,2.784222452,1.803393199,2.314218823,,,2.784222452,,,,,,,,,,,,,,,,,,
3692,,Antarctica,"Sheraton, J. W. and L. P. Black (1983). ""GEOCHEMISTRY OF PRECAMBRIAN GNEISSES - RELEVANCE FOR THE EVOLUTION OF THE EAST ANTARCTIC SHIELD."" Lithos 16(4): 273-296",47.40,0.04,26.85,3.00,0.72,3.42,0.10,6.51,13.74,1.19,0.12,0.01,,,38,28,,53,3,24,13,4.0,52,3.00,6.00,1.00,,68,7,10,,,,,,,,,,,,,,3,1,,,99.4,,47.7,0.0,27.0,3.0,0.7,3.4,0.1,6.6,13.8,1.2,0.1,0.0,,,38.2,28.2,,53.3,3.0,24.1,13.1,4.0,52.3,3.0,6.0,1.0,,68.4,7.0,10.1,,,,,,,,,,,,,,3.0,,,,,,77.2,,0.499106707,0.463758262,0.038691347,0.288244701,0.432239087,0.0,,,3.864847566,-3.212650488,3.296491158,1.104837626,-0.32227873,1.235690434,-2.296359756,1.879564793,2.626536624,0.180178644,-2.114038199,-4.598944849,,,3.643811497,3.338429847,,3.976517251,1.104837626,3.184279168,2.571174695,1.392519698,3.957469056,1.104837626,1.797984806,0.006225337,,4.225733042,1.952135486,2.30881043,,,,,,,,,,,,,,1.104837626,,
