Sample,Pluton or Unit,Classification,Reference,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,MnO,P2O5,LOI,Sum,Cs,Rb,Ba,Th,U,Nb,Ta,La,Ce,Pb,Pr,Sr,Nd,Zr,Hf,Sm,Eu,Gd,Tb,Dy,Y,Ho,Er,Tm,Yb,Lu,Sc,V,Cr,Co,Ni,Ga
MOL-01b,Moletsi,Hybrid,L2012,68.72,12.78,5.50,0.87,2.24,4.01,3.53,1.06,0.08,0.44,0.39,99.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOL-02a,Moletsi,Hybrid,L2012,74.28,12.84,1.97,0.37,0.96,3.52,4.60,0.38,0.03,0.11,0.40,99.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOL-02b,Moletsi,Hybrid,L2012,68.82,13.59,4.05,1.00,2.16,4.64,3.64,0.88,0.05,0.32,0.57,99.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOL-02c,Moletsi,Hybrid,L2012,66.76,13.71,5.10,1.27,2.26,3.99,3.54,1.06,0.06,0.41,0.91,99.19,1.2,90,1012,3.5,0.9,23.1,1.0,47.6,117.7,17.8,15.61,287,61.9,358,9.1,12.05,2.06,10.58,1.59,9.03,44.5,1.75,4.84,0.65,4.02,0.58,10,79,19,9,12,21
MOL-03,Moletsi,Hybrid,L2012,74.01,12.50,2.28,0.37,0.81,3.68,4.76,0.37,0.03,0.09,0.46,99.45,3.8,144,810,6.2,1.3,16.9,0.8,67.3,156.1,19.0,16.07,133,55.8,387,10.5,9.79,1.22,7.51,1.15,6.08,30.2,1.17,3.35,0.46,3.02,0.42,7,18,5,3,3,20
MOL-04b,Moletsi,Hybrid,L2012,71.55,13.19,2.90,0.70,1.56,3.99,4.29,0.53,0.04,0.16,0.38,99.36,4.3,155,787,6.3,1.1,13.9,1.0,102.8,164.8,18.3,23.03,204,85.6,282,7.5,14.77,1.88,13.55,1.98,10.87,68.0,2.22,6.37,0.84,5.30,0.73,6,38,13,5,7,22
MOL-05a,Moletsi,Hybrid,L2012,73.52,12.52,2.99,0.55,1.30,3.99,3.73,0.60,0.04,0.15,0.24,99.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOL-05b,Moletsi,Hybrid,L2012,60.31,14.26,8.24,3.80,5.41,4.03,2.02,1.33,0.11,0.60,0.53,100.75,7.3,123,820,3.4,0.8,17.1,0.8,54.2,120.0,14.0,15.45,486,63.0,391,9.1,12.10,2.72,10.85,1.60,9.10,49.2,1.80,5.15,0.72,4.63,0.69,19,140,131,26,72,22
MOL-05c,Moletsi,Hybrid,L2012,72.59,12.85,3.64,0.52,1.69,3.71,3.37,0.70,0.06,0.16,0.18,99.62,2.1,98,1413,4.3,0.7,22.5,1.5,54.1,112.6,17.9,14.20,273,56.3,504,12.5,11.06,2.67,9.92,1.51,8.66,43.8,1.68,4.77,0.66,4.16,0.60,11,27,2,5,2,21
MOL-06,Moletsi,Hybrid,L2012,68.98,12.91,5.30,0.84,2.25,4.35,3.08,1.03,0.08,0.29,0.42,99.69,3.4,80,1298,7.7,1.5,20.2,0.6,121.9,225.0,18.9,27.44,322,97.0,329,8.0,15.77,3.48,12.77,1.85,9.80,50.7,1.91,5.34,0.72,4.73,0.67,11,46,7,6,3,24
MOL-07,Moletsi,Hybrid,L2012,71.18,12.95,3.53,0.55,1.58,4.36,3.71,0.65,0.05,0.23,0.47,99.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOL-08,Moletsi,Hybrid,L2012,71.03,13.60,2.83,0.70,1.57,4.11,4.73,0.53,0.04,0.19,0.38,99.78,4.8,192,764,8.8,1.7,18.3,1.2,58.1,119.0,19.9,13.95,196,51.1,316,8.4,9.59,1.28,8.39,1.31,7.48,46.7,1.54,4.58,0.63,4.16,0.59,7,41,34,5,8,20
BUL-01A,Bulai,Sanuk s.l.,L2011,46.11,16.24,13.70,3.75,8.10,3.52,2.70,2.89,0.14,1.79,0.50,,0.2,59,1337,8.9,2.1,45.6,2.2,197.0,448.3,,58.58,691,245.1,697,16.1,40.63,5.51,30.73,4.03,17.89,86.1,3.22,7.54,1.03,5.86,0.72,25,178,62,30,32,30
BUL-01B,Bulai,Sanuk s.l.,L2011,62.75,16.30,5.23,1.46,3.97,3.26,4.44,0.95,0.05,0.57,0.50,,0.4,102,2577,5.1,1.2,14.2,0.6,84.3,175.9,,21.63,741,86.8,437,10.2,14.71,3.35,11.08,1.52,6.79,31.8,1.25,2.85,0.39,2.08,0.27,8,64,14,12,14,24
BUL-02,Bulai,Sanuk s.l.,L2011,48.26,17.34,11.41,3.59,8.01,3.88,2.48,2.34,0.12,1.42,0.50,,0.5,67,1340,14.7,2.4,38.1,1.7,202.7,435.8,,54.97,794,216.2,939,21.9,35.75,5.43,25.88,3.31,15.08,71.3,2.61,6.26,0.86,4.77,0.63,20,157,41,28,31,30
BUL-04,Bulai,Sanuk s.l.,L2011,60.52,16.08,6.47,1.94,4.64,3.33,3.89,1.20,0.06,0.72,0.60,,0.5,98,2076,28.5,1.8,16.8,0.7,154.7,301.3,,35.55,710,136.4,582,13.5,20.62,3.67,14.91,1.89,8.42,38.8,1.45,3.44,0.47,2.59,0.34,10,84,,14,16,25
BUL-10,Bulai,Sanuk s.l.,L2011,61.77,16.28,6.14,1.79,4.36,3.50,3.44,1.11,0.06,0.54,0.50,,0.7,101,1631,18.7,1.9,15.6,0.8,119.1,233.4,,27.41,621,105.3,670,15.8,15.11,3.05,10.46,1.28,5.50,25.2,0.92,2.29,0.32,1.88,0.26,8,79,21,13,15,25
BUL-11,Bulai,Sanuk s.l.,L2011,52.54,18.42,7.74,2.56,5.88,3.60,4.63,1.81,0.12,0.99,0.80,,0.4,109,4407,7.3,2.2,24.2,1.3,171.2,286.0,,38.38,1405,150.7,661,12.5,23.16,5.42,16.09,1.88,8.14,37.6,1.32,3.12,0.45,2.71,0.35,11,119,21,21,23,23
BUL-14,Bulai,Sanuk s.l.,L2011,58.42,16.75,6.70,1.94,4.40,3.31,4.88,1.42,0.06,0.73,0.80,,0.2,88,2322,9.2,1.0,20.9,1.0,125.9,269.2,,33.63,987,130.1,505,12.3,21.94,4.54,15.52,1.90,8.74,40.4,1.38,3.40,0.50,2.92,0.41,8,96,27,16,19,22
BUL-15,Bulai,Sanuk s.l.,L2011,61.98,16.05,6.25,1.79,4.13,3.43,3.85,1.09,0.06,0.53,0.40,,0.7,93,1554,24.9,2.1,16.6,0.8,135.4,250.8,,30.66,589,111.4,505,12.9,17.43,3.37,12.30,1.53,6.94,33.4,1.14,2.73,0.41,2.23,0.31,9,75,14,14,17,24
BUL-16,Bulai,Sanuk s.l.,L2011,67.07,15.21,4.00,1.51,3.19,3.13,4.02,0.68,0.03,0.28,0.60,,0.4,97,1277,23.4,1.3,9.1,0.4,59.7,114.7,,13.37,372,49.1,233,6.5,7.56,1.90,5.13,0.58,2.39,10.8,0.37,0.87,0.12,0.67,0.09,4,54,27,11,18,21
BUL-20,Bulai,Sanuk s.l.,L2011,66.74,14.94,4.15,1.50,3.62,3.15,3.98,0.73,0.04,0.27,0.50,,0.3,91,1208,25.7,1.5,14.2,1.1,76.7,169.8,,21.06,463,77.7,300,8.1,13.47,2.42,9.25,1.25,5.98,29.5,1.02,2.58,0.38,2.10,0.28,6,58,21,11,17,20
BUL-21,Bulai,Sanuk s.l.,L2011,63.52,15.78,5.48,1.70,3.84,3.45,3.93,0.91,0.06,0.44,0.50,,0.6,101,1399,21.1,2.3,13.9,0.6,101.0,201.2,,23.54,498,86.0,403,10.4,13.74,2.81,9.53,1.17,5.48,25.6,0.88,2.15,0.32,1.79,0.26,7,75,21,13,19,24
BUL-22,Bulai,Sanuk s.l.,L2011,67.29,15.56,3.83,1.09,2.60,2.96,4.87,0.64,0.03,0.29,0.60,,0.4,101,1409,11.4,1.4,6.8,0.2,78.2,145.1,,16.12,382,55.1,325,8.7,7.58,2.07,4.98,0.56,2.35,11.0,0.37,0.90,0.12,0.72,0.11,3,50,21,8,13,21
BUL-23,Bulai,Sanuk s.l.,L2011,65.30,16.11,4.28,1.39,3.39,3.32,4.58,0.76,0.04,0.29,0.20,,0.6,102,1441,21.0,1.7,10.6,0.5,94.3,180.9,,19.96,460,68.5,413,10.3,9.87,2.30,6.49,0.78,3.53,16.2,0.58,1.42,0.19,1.09,0.16,6,56,27,10,14,22
BUL-27,Bulai,Sanuk s.l.,L2011,63.29,15.41,5.72,1.71,3.82,3.17,4.33,1.01,0.06,0.46,0.60,,0.3,95,1580,33.5,1.4,16.8,0.8,129.4,255.2,,29.31,506,106.9,420,11.1,16.66,3.03,11.58,1.49,6.86,32.8,1.14,2.79,0.40,2.29,0.32,8,74,27,13,19,22
BUL-28,Bulai,Sanuk s.l.,L2011,65.23,15.64,4.87,1.42,3.55,3.38,3.99,0.83,0.05,0.35,0.40,,0.7,106,1150,20.5,2.8,15.0,0.6,80.0,156.5,,18.42,371,68.0,417,10.9,11.45,2.19,8.11,1.08,4.94,23.9,0.84,2.11,0.31,1.66,0.23,7,59,21,10,14,23
BUL-29,Bulai,Sanuk s.l.,L2011,66.26,15.19,4.70,1.38,3.57,3.42,3.56,0.78,0.05,0.31,0.50,,0.8,104,1006,39.4,3.0,16.3,0.6,125.3,236.5,,26.06,340,90.6,374,10.3,13.64,2.11,9.57,1.23,5.37,26.5,0.91,2.29,0.31,1.73,0.23,8,62,27,11,14,23
BUL-34,Bulai,Sanuk s.l.,L2011,52.87,16.48,8.14,3.85,7.28,3.42,2.12,1.70,0.10,0.84,0.70,,0.2,54,1304,15.1,0.7,26.1,0.9,127.4,280.3,,33.76,637,140.0,554,13.8,23.49,4.05,17.36,2.41,11.15,51.0,1.83,4.38,0.58,3.24,0.43,16,142,103,84,37,25
BUL-35,Bulai,Sanuk s.l.,L2011,54.32,16.54,7.57,3.39,6.58,3.46,2.45,1.65,0.10,0.76,0.80,,0.2,46,1515,15.1,1.0,24.9,1.0,141.8,305.0,,35.22,597,142.1,769,17.5,22.93,3.96,16.63,2.29,10.21,48.5,1.69,4.09,0.54,3.08,0.43,15,126,89,82,30,25
BUL-36,Bulai,Sanuk s.l.,L2011,52.05,16.70,8.36,3.95,7.60,3.27,2.01,1.81,0.10,0.96,0.70,,0.1,50,1209,14.9,0.8,25.1,0.9,127.5,278.1,,32.62,662,128.5,608,14.5,20.01,3.74,14.62,1.09,8.63,42.0,1.40,3.43,0.47,2.78,0.38,16,149,109,90,35,26
BUL-48,Bulai,Sanuk s.l.,L2011,48.82,17.45,9.05,3.82,6.75,3.63,2.73,2.05,0.11,0.99,1.90,,0.5,90,949,25.1,2.1,24.3,0.9,152.3,329.3,,38.52,510,147.0,767,19.3,22.79,3.43,15.80,2.12,9.69,45.0,1.50,3.72,0.50,2.74,0.40,18,165,109,77,43,29
BUL-49,Bulai,Sanuk s.l.,L2011,53.96,16.89,7.10,3.32,6.47,3.69,2.97,1.51,0.12,0.79,1.00,,0.4,83,1063,19.0,1.6,21.2,1.0,109.4,246.6,,30.82,537,121.7,514,12.7,19.55,3.78,13.46,1.78,8.08,39.0,1.28,3.16,0.44,2.51,0.34,14,134,55,78,37,24
MAT-01,Matok,Sanuk s.l.,L2014,69.13,13.31,4.52,0.87,2.46,3.95,3.35,0.89,0.06,0.28,0.60,,0.3,59,2084,5.0,0.3,27.1,1.0,120.1,246.3,,30.42,530,110.1,657,16.0,17.38,3.69,13.44,2.09,10.95,62.5,2.07,5.87,0.89,5.11,0.76,9,52,48,7,65,19
MAT-03,Matok,Sanuk s.l.,L2014,65.93,13.64,5.95,1.51,3.27,3.55,3.32,1.23,0.07,0.47,0.60,,2.6,105,1308,6.9,0.7,24.3,1.2,76.6,189.2,,20.94,487,81.7,576,13.7,13.68,2.30,11.14,1.73,9.24,50.2,1.72,4.80,0.73,4.23,0.64,12,91,34,13,35,18
MAT-04,Matok,Sanuk s.l.,L2014,64.39,13.94,6.60,1.54,2.64,3.63,3.60,1.20,0.08,0.64,1.30,,3.5,129,1098,7.3,2.0,26.0,1.2,73.8,167.9,,20.88,436,80.9,560,13.2,13.41,2.66,10.95,1.66,8.88,41.6,1.60,4.44,0.71,4.20,0.63,11,88,,,,19
MAT-05,Matok,Sanuk s.l.,L2014,61.80,14.24,7.24,2.07,4.40,3.80,2.38,1.63,0.09,0.80,1.10,,1.4,61,978,1.6,0.4,27.7,1.3,78.1,221.4,,24.39,514,95.7,651,15.8,16.84,3.28,14.33,2.25,11.89,68.6,2.36,6.41,0.98,5.90,0.87,14,135,,,,19
MAT-06,Matok,Sanuk s.l.,L2014,63.01,13.96,6.93,1.86,3.75,3.79,2.74,1.41,0.09,0.75,1.20,,2.3,81,975,5.3,0.6,23.7,1.1,64.4,162.0,,17.22,450,68.3,573,14.1,12.24,1.64,10.58,1.57,8.44,41.9,1.57,4.48,0.68,4.08,0.63,15,109,,,,19
MAT-07,Matok,Sanuk s.l.,L2014,68.40,13.31,4.74,1.16,2.49,3.52,3.74,0.99,0.06,0.37,0.80,,2.1,109,1302,6.7,1.0,24.7,1.7,90.0,186.1,,22.63,435,84.5,512,13.6,13.69,2.53,11.03,1.70,9.39,50.9,1.72,4.89,0.72,4.40,0.66,10,74,21,10,21,19
MAT-08,Matok,Sanuk s.l.,L2014,66.34,13.30,6.07,1.42,3.18,3.67,3.32,1.22,0.09,0.45,0.50,,1.7,82,1386,6.9,0.6,25.6,0.9,95.3,201.1,,23.58,494,90.0,526,13.9,14.99,3.04,12.20,1.84,9.85,53.3,1.82,4.92,0.76,4.63,0.64,12,86,55,13,84,19
MAT-09,Matok,Sanuk s.l.,L2014,63.63,14.20,5.94,2.38,3.87,4.28,2.58,1.22,0.07,0.50,0.90,,2.5,105,997,2.8,0.5,17.7,0.7,74.4,158.3,,19.39,542,74.4,443,11.1,12.00,2.39,9.84,1.55,8.09,45.8,1.57,4.30,0.68,3.99,0.56,12,100,137,15,145,18
MAT-10,Matok,Sanuk s.l.,L2014,62.60,14.22,6.54,2.54,4.21,4.08,2.53,1.35,0.08,0.57,0.90,,1.4,86,1008,3.4,0.3,20.0,1.0,67.6,147.3,,18.53,560,72.8,488,12.6,12.18,2.43,9.89,1.60,8.49,47.6,1.63,4.67,0.69,4.00,0.60,13,106,109,16,77,19
MAT-11,Matok,Sanuk s.l.,L2014,61.70,14.18,7.36,2.73,4.24,4.07,2.67,1.39,0.09,0.62,0.60,,2.6,110,631,2.6,0.9,18.9,0.7,56.1,125.7,,16.49,498,68.0,453,11.3,12.10,2.01,10.51,1.65,9.04,50.0,1.69,4.58,0.69,4.17,0.62,14,116,96,18,52,20
MAT-12,Matok,Sanuk s.l.,L2014,65.61,14.20,5.06,1.92,3.52,3.97,3.19,0.99,0.07,0.44,0.60,,2.3,112,1087,4.1,1.4,17.2,1.0,56.5,122.9,,15.96,514,60.1,385,9.4,10.30,2.25,8.46,1.34,7.34,42.6,1.43,3.81,0.63,3.83,0.58,10,79,,,,18
MAT-13,Matok,Sanuk s.l.,L2014,63.40,14.47,6.02,2.15,3.89,3.88,3.16,1.06,0.08,0.49,1.00,,3.0,124,992,5.4,1.7,22.2,1.6,60.6,147.5,,18.69,488,74.2,441,11.4,12.51,2.39,10.57,1.60,9.01,49.6,1.73,5.09,0.86,5.66,0.86,13,89,,,,18
MAT-14,Matok,Sanuk s.l.,L2014,65.80,14.55,4.93,1.63,3.47,4.26,2.94,0.96,0.06,0.39,0.60,,1.9,96,1323,5.2,1.2,15.9,1.0,65.4,138.3,,16.72,544,63.6,340,8.5,10.68,2.30,9.19,1.42,7.99,38.4,1.46,4.02,0.64,3.89,0.56,9,72,,,,17
MAT-16,Matok,Sanuk s.l.,L2014,56.38,13.98,10.16,4.06,6.06,3.84,1.05,1.81,0.15,0.88,1.10,,1.7,20,1045,1.0,0.3,20.2,0.9,78.6,177.8,,23.97,866,100.9,400,9.6,16.61,4.13,13.36,1.99,10.29,54.4,1.93,5.25,0.78,4.76,0.68,21,177,171,29,96,18
MAT-17,Matok,Sanuk s.l.,L2014,53.71,14.91,9.00,4.61,6.96,3.42,1.91,1.94,0.14,0.91,2.10,,1.5,66,635,1.3,0.3,17.6,0.9,50.3,117.3,,14.67,752,60.4,223,5.2,10.61,2.48,9.72,1.45,8.22,38.5,1.48,3.91,0.58,3.66,0.54,18,170,,,,18
MAT-18,Matok,Sanuk s.l.,L2014,57.25,14.70,8.94,3.29,5.87,3.81,1.88,1.82,0.14,0.80,1.10,,1.4,56,1048,1.5,0.4,21.4,1.0,70.4,159.8,,20.63,687,83.5,406,10.3,13.89,3.31,11.90,1.86,9.73,51.0,1.89,5.02,0.78,4.60,0.69,18,151,116,22,121,19
MAT-19,Matok,Sanuk s.l.,L2014,58.87,14.09,8.95,2.44,5.36,3.79,1.48,1.90,0.12,0.77,1.70,,0.4,26,1116,2.5,0.6,28.9,1.1,97.7,225.5,,28.77,740,114.2,738,18.0,18.60,3.70,15.33,2.34,12.25,61.9,2.28,6.09,0.92,5.43,0.79,19,156,,,,20
MAT-21b,Matok,Sanuk s.l.,L2014,65.19,13.90,5.82,1.60,3.66,3.75,3.11,1.24,0.07,0.48,0.70,,1.4,75,1363,5.8,0.7,22.6,0.9,106.9,213.2,,24.91,576,90.6,451,10.4,14.21,3.01,11.25,1.78,9.42,51.5,1.84,5.00,0.79,4.72,0.67,12,91,34,13,21,19
MAT-22,Matok,Sanuk s.l.,L2014,65.82,13.60,6.33,1.22,3.32,3.82,3.18,1.36,0.08,0.31,0.50,,0.3,42,1561,1.6,0.4,25.4,0.9,71.4,155.8,,20.69,514,84.3,854,19.1,14.70,3.21,12.29,1.95,10.23,52.8,1.92,5.33,0.81,4.69,0.71,13,78,34,11,42,19
MAT-26,Matok,Sanuk s.l.,L2014,60.53,13.79,9.51,2.03,5.19,3.87,1.42,1.91,0.14,0.73,0.40,,,14,984,0.5,0.2,22.3,1.0,57.3,138.2,,18.66,564,77.4,580,13.9,13.53,3.29,12.49,1.95,10.26,53.7,1.93,5.33,0.79,4.74,0.71,22,180,,,,19
MAT-28,Matok,Sanuk s.l.,L2014,57.26,13.63,10.03,3.49,6.27,3.39,1.76,1.95,0.12,0.99,0.50,,0.7,38,1381,1.5,0.3,24.9,1.2,88.5,192.8,,25.35,800,102.4,399,9.1,16.85,4.17,13.79,2.08,10.77,54.5,1.99,5.50,0.86,5.00,0.74,20,176,103,27,83,21
MAT-29,Matok,Sanuk s.l.,L2014,61.06,14.12,7.40,2.63,5.18,3.95,1.99,1.50,0.10,0.66,1.00,,0.9,66,1018,1.2,0.2,18.5,0.8,62.6,135.0,,17.94,622,70.5,383,8.8,12.61,2.80,10.58,1.61,8.60,44.3,1.65,4.37,0.70,4.13,0.58,16,137,68,20,68,19
MAT-30,Matok,Sanuk s.l.,L2014,66.33,13.83,5.75,1.12,2.84,3.41,4.05,0.86,0.08,0.35,0.90,,2.2,105,1474,11.8,1.5,25.3,2.5,110.5,227.0,,27.63,476,102.2,436,11.8,16.59,3.88,13.85,2.30,12.57,66.3,2.42,6.90,1.10,6.79,0.98,14,65,,,,19
MAT-31,Matok,Sanuk s.l.,L2014,67.70,14.24,4.25,1.11,2.15,3.67,4.58,0.82,0.05,0.36,0.70,,2.1,129,1197,4.9,0.8,18.7,0.7,39.1,86.2,,11.33,403,45.7,449,10.6,9.62,1.97,7.94,1.29,6.83,31.9,1.27,3.66,0.53,3.17,0.49,8,62,34,9,49,21
MAT-33,Matok,Sanuk s.l.,L2014,69.05,13.63,4.10,1.16,2.25,3.93,3.59,0.84,0.05,0.34,0.70,,2.0,104,1201,4.8,1.2,17.3,1.0,58.6,126.4,,16.05,428,58.6,396,10.8,9.74,1.92,7.75,1.26,6.80,34.6,1.26,3.49,0.55,3.19,0.48,8,73,34,9,68,17
MAT-34,Matok,Sanuk s.l.,L2014,67.40,13.36,5.54,1.04,2.48,3.80,3.27,0.99,0.06,0.39,1.30,,1.6,100,1069,9.1,0.7,19.0,1.1,92.8,187.9,,20.50,439,70.0,429,11.0,9.49,2.29,7.45,1.16,6.06,32.8,1.15,3.21,0.50,3.24,0.49,8,66,,,,19
MAT-36,Matok,Sanuk s.l.,L2014,70.39,13.28,3.99,0.74,1.86,3.84,3.71,0.81,0.06,0.25,0.60,,0.2,67,2144,6.7,0.4,24.8,1.0,128.9,266.5,,31.31,408,110.0,600,15.7,16.45,3.12,12.68,1.91,9.95,51.1,1.82,5.21,0.78,4.71,0.69,9,47,21,6,81,18
MAT-38,Matok,Sanuk s.l.,L2014,66.32,13.55,5.53,1.40,2.83,3.14,3.58,1.15,0.08,0.62,1.40,,1.6,115,1242,4.9,0.5,25.2,1.2,105.1,198.4,,28.75,395,114.7,553,13.9,18.77,2.57,15.13,2.40,12.87,64.4,2.41,6.50,0.99,5.55,0.81,12,101,185,12,18,18
MAT-39,Matok,Sanuk s.l.,L2014,68.17,13.38,4.91,0.91,2.22,3.29,4.59,1.08,0.06,0.24,0.70,,0.8,96,1914,3.3,0.6,21.4,1.0,66.3,166.6,,19.98,456,78.9,996,24.7,13.59,2.42,11.12,1.81,9.64,54.1,1.91,5.40,0.86,4.96,0.76,9,79,103,9,9,17
MAT-40,Matok,Sanuk s.l.,L2014,65.40,13.79,5.90,1.17,2.61,3.24,4.49,1.26,0.08,0.38,1.20,,1.4,115,1650,7.0,0.8,30.0,1.3,92.4,249.3,,26.29,435,104.6,826,20.8,17.53,2.65,14.39,2.28,12.49,67.2,2.39,6.68,1.02,5.98,0.89,11,96,123,11,12,18
MAT-41,Matok,Sanuk s.l.,L2014,74.71,12.93,1.95,0.35,0.99,3.67,4.39,0.31,0.03,0.14,0.40,,2.6,191,626,6.6,1.0,14.0,1.2,58.6,122.7,,14.93,143,62.5,229,7.0,11.05,1.18,10.10,1.71,10.65,65.1,2.07,5.98,0.93,4.95,0.61,3,27,192,3,9,15
MAT-44,Matok,Sanuk s.l.,L2014,60.97,14.29,7.67,2.49,5.20,3.95,1.95,1.52,0.11,0.62,0.90,,0.9,68,931,1.4,0.3,20.0,1.0,66.1,150.3,,18.95,607,76.9,377,9.1,12.92,2.91,11.10,1.74,9.49,53.0,1.83,5.13,0.79,4.65,0.69,15,157,109,21,22,18
MAT-46,Matok,Sanuk s.l.,L2014,61.50,13.28,8.88,2.09,4.70,3.83,1.63,2.02,0.10,0.80,0.90,,1.4,68,490,0.6,0.5,37.6,1.7,43.8,120.9,,18.01,479,82.0,474,11.5,16.28,2.47,15.07,2.36,13.19,67.7,2.49,6.63,0.96,5.34,0.78,23,181,123,20,18,20
MAT-50,Matok,Sanuk s.l.,L2014,60.23,14.32,7.78,2.88,5.45,3.99,2.14,1.47,0.11,0.61,0.60,,1.3,91,1003,1.9,0.4,19.1,0.8,66.5,147.8,,18.60,632,75.0,415,9.7,12.28,2.63,10.01,1.55,8.58,46.8,1.60,4.47,0.70,4.05,0.59,16,159,103,22,25,19
MAT-51,Matok,Sanuk s.l.,L2014,61.49,13.91,7.78,2.41,4.72,3.63,2.61,1.78,0.12,0.80,0.40,,1.3,68,1348,2.6,0.4,25.0,1.1,79.9,175.6,,22.26,749,88.4,60,2.0,15.01,3.18,12.32,1.90,10.41,55.4,1.93,5.28,0.77,4.58,0.65,15,160,130,19,25,19
MAT-52,Matok,Sanuk s.l.,L2014,62.95,13.85,6.43,1.75,4.03,3.78,2.99,1.36,0.09,0.54,1.90,,1.3,68,1284,3.2,0.7,23.9,1.1,76.8,172.9,,21.79,545,87.2,414,9.6,14.34,2.96,11.78,1.82,9.92,54.9,1.88,5.33,0.80,4.75,0.69,13,110,103,14,18,19
MAT-53,Matok,Sanuk s.l.,L2014,62.57,14.01,7.28,1.88,4.37,3.81,2.89,1.65,0.10,0.66,0.40,,0.8,56,1351,1.6,0.7,25.1,1.1,78.1,175.5,,22.62,651,91.8,547,12.8,15.17,3.28,12.11,1.89,10.08,57.2,2.02,5.58,0.85,4.92,0.72,14,124,82,15,15,18
MAT-56,Matok,Sanuk s.l.,L2014,63.12,13.92,7.18,1.99,4.43,3.55,2.93,1.51,0.10,0.67,0.20,,0.5,57,1243,0.7,0.3,27.8,1.3,78.0,194.5,,25.45,520,102.1,497,11.9,16.82,2.99,13.08,2.09,11.47,65.5,2.25,6.38,1.00,5.86,0.86,14,127,75,16,16,18
MAT-57,Matok,Sanuk s.l.,L2014,64.34,13.77,6.27,1.81,3.94,3.42,3.63,1.35,0.09,0.54,0.50,,0.7,68,1365,1.4,0.5,29.6,1.2,80.5,194.1,,25.78,510,103.6,484,11.9,17.53,2.79,14.02,2.25,12.37,70.4,2.42,6.93,1.02,6.15,0.87,13,109,82,14,19,18
MAT-58,Matok,Sanuk s.l.,L2014,68.39,13.57,4.73,1.13,2.72,3.71,3.55,0.96,0.06,0.31,0.50,,0.5,76,1451,2.8,0.3,24.4,1.0,79.4,175.1,,21.99,379,86.2,511,12.5,14.64,2.54,12.41,1.95,10.61,56.3,2.03,5.54,0.80,4.42,0.63,14,70,130,8,13,18
MAT-59,Matok,Sanuk s.l.,L2014,67.51,13.75,5.07,1.31,3.14,3.90,3.16,0.99,0.07,0.34,0.40,,0.5,67,1232,2.1,0.4,21.0,0.8,77.9,170.6,,21.08,409,82.4,503,12.4,13.92,2.18,11.42,1.79,9.76,51.8,1.85,5.14,0.75,4.32,0.62,11,83,123,11,17,19
MAT-60,Matok,Sanuk s.l.,L2014,59.20,14.50,8.01,3.19,5.92,3.81,2.01,1.49,0.11,0.64,0.80,,0.9,65,759,1.2,0.4,18.5,0.8,60.2,132.4,,16.74,572,67.3,383,9.3,11.32,2.68,9.71,1.48,7.97,44.5,1.56,4.45,0.67,3.94,0.59,16,146,123,23,38,18
MAT-61,Matok,Sanuk s.l.,L2014,58.32,14.44,8.89,3.51,5.63,3.64,2.76,0.90,0.13,0.55,0.70,,0.4,66,1705,2.6,0.7,12.6,0.5,72.8,169.3,,22.54,920,91.9,230,5.5,13.36,3.10,9.41,1.32,6.91,38.1,1.29,3.68,0.57,3.57,0.53,18,156,123,24,33,18
MAT-62,Matok,Sanuk s.l.,L2014,66.32,13.82,5.59,1.54,3.33,3.75,3.26,1.16,0.08,0.40,0.30,,0.5,85,1527,1.1,0.3,28.6,1.3,62.6,149.5,,19.81,514,81.4,501,11.8,14.27,2.54,11.76,1.94,10.72,60.5,2.10,6.20,0.96,5.80,0.84,11,103,157,12,17,18
MAT-66,Matok,Sanuk s.l.,L2014,60.58,13.88,9.20,1.86,4.13,4.07,2.26,1.83,0.12,0.61,1.00,,0.2,49,1311,2.6,0.4,32.8,1.5,102.6,223.4,,29.15,680,125.2,855,18.0,19.72,4.38,16.05,2.41,13.27,70.1,2.55,7.31,1.08,6.50,0.94,18,136,96,19,13,20
MAT-67,Matok,Sanuk s.l.,L2014,56.61,13.53,10.93,2.82,6.15,3.63,1.78,2.43,0.16,1.12,0.40,,0.2,30,1200,1.2,0.4,28.0,1.4,96.5,222.8,,29.15,719,124.8,555,13.5,20.37,4.83,16.74,2.44,13.31,74.4,2.61,7.10,1.07,6.29,0.95,24,217,96,26,18,20
MAT-68,Matok,Sanuk s.l.,L2014,64.76,13.94,6.44,1.50,3.46,3.66,3.22,1.33,0.08,0.39,0.80,,0.6,74,1599,4.9,0.4,26.5,1.2,138.7,288.3,,32.97,487,125.8,779,17.6,18.27,3.11,13.98,2.04,11.13,61.2,2.13,5.85,0.88,5.20,0.75,14,109,116,13,13,19
