Archean/ Proterozoic,Reference,Sample #,Craton/Orogenic Belt,Detailed Location,"Lithology, mineralogy, or other notes (if available)",SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,B2O3,SrO,BaO,Total,,FeO+MgO+TiO2,Mg#,FeO/(FeO+MgO),MALI,ASI,Al2O3/TiO2,CaO/Na2O,Rb/Sr,Rb/Ba,,Na,K,Ca,Al,Si,M,ln(Dzrc-melt),"Zrc. Sat. T (Miller et al., 2003) - ºC","Zrc. Sat. T (Boehnke et al., 2013) - ºC",,S,F,B,Sn,Li,Be,Cs,Rb,Sr,Ba,Ta,Th,U,Pb,Zr,Hf,Nb,Y,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Mo,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",LC-3,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,,75.888107,0.040046494,14.31662177,0.4143799,0.11012786,0.11012786,0.240278967,5.246090774,3.614196125,0.020023247,,,,,100,,0.564554254,32.1467473,0.790035786,8.620007933,1.124071452,357.5,0.045801527,1.017647059,0.350912779,,0.169283342,0.076734525,0.004284575,0.280828203,1.262907422,0.717833987,9.617823644,705.7555318,665.3384278,,,,6,,31,4,,431,27,48,,,,,33,,81,12,,1.3,5,2,1,2.9,8.1,,,,,,,,,,,,,,,,
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",LC-5,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,,75.10579128,0.090367931,14.3584601,0.605317133,0.050204406,0.17069498,0.602452871,4.839704732,4.14688393,0.030122644,,,,,100,,0.866380044,33.45295086,0.780035676,8.384135791,1.107772043,158.8888889,0.124481328,1.017647059,0.350912779,,0.156169885,0.088044245,0.01074274,0.281648884,1.249888355,0.75476484,9.163087487,738.2468271,702.6561567,,,,10,,63,4,,375,72,286,,,,,52,,23,7,,0.2,11,3,5,0.7,26.9,,,,,,,,,,,,,,,,
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",LC-9,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,,75.0177213,0.060416957,14.50006962,0.543619693,0.050347464,0.151042392,0.634378046,4.732661612,4.259395451,0.050347464,,,,,100,,0.755079042,33.12395069,0.7825671,8.357679017,1.122990491,240,0.134042553,1.017647059,0.350912779,,0.152715767,0.090433024,0.011312019,0.28442663,1.248422721,0.748477346,9.713133824,696.8229775,654.0731174,,,,,,,,,353,61,229,,,,,30,,19,,,,,,,,,,,,,,,,,,,,,,,,
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",LC-11,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,,74.67511337,0.050388066,14.51176292,0.634734433,0.060465679,0.151164197,0.604656788,4.534925913,4.736478176,0.040310453,,,,,100,,0.836286695,29.80219552,0.807654332,8.666747301,1.108772311,288,0.133333333,1.017647059,0.350912779,,0.146335138,0.100562169,0.01078204,0.284656001,1.242721141,0.758905671,9.2023082,734.8689847,698.5265346,,,,,,,,,379,59,197,,,,,50,,12,10,,,,,,,,,,,,,,,,,,,,,,,
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",LC-15-1,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,,77.66574732,0.051846293,15.13911763,0.382532114,0.051846293,0.114061845,0.684371071,5.267583396,0.622155519,0.020738517,,,,,100,,0.548440252,34.70647234,0.770311654,5.205367844,1.523650378,292,0.12992126,1.017647059,0.350912779,,0.169976876,0.013209247,0.012203478,0.296961899,1.292490386,0.540859943,10.406281,660.5492499,617.1341458,,,,8,,18,3,,342,39,93,,,,,15,,26,3,,1.8,3,,,0.8,6.3,,,,,,,,,,,,,,,,
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",LC-14,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,,73.40710511,0.203062531,15.94040872,0.712575258,0.020306253,0.38581881,1.847869036,6.457388499,0.954393898,0.071071886,,,,,100,,1.301456599,49.11477763,0.648742814,5.563913361,1.203023992,78.5,0.286163522,1.017647059,0.350912779,,0.208370071,0.02026314,0.032950589,0.312679653,1.221619323,0.771081874,9.088979515,743.0461894,707.8821025,,,,7,,89,4,,248,916,1110,,,,,56,,3,3,,7.7,6,2,16,2.2,2.2,,,,,,,,,,,,,,,,
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",LC-17,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,,70.16902911,0.344263635,15.89687961,1.986118067,0.030376203,1.154295717,3.311006136,5.751227783,1.225173524,0.131630213,,,,,100,,3.484677419,50.88524392,0.632438336,3.665395171,1.165534521,46.17647059,0.575704225,1.017647059,0.350912779,,0.185583342,0.026012177,0.059040766,0.311825806,1.16773222,0.905385215,8.395832334,791.6096943,761.8610632,,,,11,,19,2,,32,555,564,,,,,112,,11,6,,30.4,16,6,18,9.3,51.6,,,,,,,,,,,,,,,,
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",PS-11,"Superior Province, Quebec",Pontiac Subprovince,,77.24345219,0.030173224,14.88545693,0.398189191,0.030173224,0.181039341,0.94542767,5.018812844,1.20692894,0.060346447,,,,,100,,0.609401756,44.76654345,0.687447474,5.280314114,1.438265124,493.3333333,0.188376754,1.017647059,0.350912779,,0.16194943,0.025624818,0.016858553,0.291986209,1.285462676,0.589579858,9.530812267,720.5369951,686.3434936,,,,,,11,3,2,76,110,120,0.74,6.38,31,31.569,36,2.329,9,15,,4.1,29,,,,,,,2.953,5.708,0.63,2.225,0.866,0.257,1.431,0.354,2.748,0.56,1.711,0.28,1.826,0.267
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",PS-21,"Superior Province, Quebec",Pontiac Subprovince,,75.15866818,0.030103605,15.15214806,0.668136678,0.060207211,0.190656168,0.70241746,5.970548407,2.006907027,0.060207211,,,,,100,,0.888896451,33.71734083,0.777995161,7.275037974,1.206345055,503.3333333,0.117647059,1.017647059,0.350912779,,0.192660484,0.042609491,0.012525276,0.297217498,1.250768317,0.700256531,9.071279938,749.3207372,717.4829408,,,,,,32,2,2,123,17,9,1.863,10.219,38,38.998,57,3.203,19,31,,0.3,31,,,,,,,8.104,18.625,8.613,8.613,3.197,0.031,3.586,0.696,4.566,0.878,2.806,0.507,3.672,0.609
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",PS-30,"Superior Province, Quebec",Pontiac Subprovince,,75.51636831,0.0300463,14.82284152,0.396514216,0.0300463,0.180277802,0.941450745,6.820510188,1.201852015,0.060092601,,,,,100,,0.606838318,44.76654345,0.687447474,7.080911458,1.11410881,493.3333333,0.138032305,1.017647059,0.350912779,,0.220087454,0.025517028,0.016787638,0.290757974,1.256721057,0.764035257,9.782126696,690.8634047,646.7285096,,,,,,22,4,3,47,45,15,1.331,1.696,3,25.907,28,1.591,10,13,,0.7,30,,,,,,,4.286,9.744,4.691,4.691,1.691,0.058,1.766,0.33,2.063,0.375,1.106,195,1.286,0.183
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",PS-36,"Superior Province, Quebec",Pontiac Subprovince,,71.66097659,0.314658679,14.10888916,2.283254728,0.04060112,1.948853754,2.984182311,5.623255103,0.943976037,0.09135252,,,,,100,,4.546767161,60.34221155,0.539507609,3.583048829,1.095796468,44.83870968,0.530685921,1.017647059,0.350912779,,0.181453859,0.020041954,0.053212951,0.276753416,1.192560769,0.932968133,8.216491406,805.48912,777.7158975,,,,,,12,1,1,24,651,391,0.146,4.354,0,4.651,134,3.596,2,6,,37.9,95,,,,,,,25.621,50.271,20.178,20.178,3.124,0.717,2.131,0.229,1.187,0.209,0.511,0.074,0.429,0.061
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",402,"Superior Province, Quebec",Preissac,Bt monzogranite,72.39113738,0.16002462,15.41237119,1.574857292,0.060009232,0.030004616,0.500076937,4.210647808,5.630866309,0.030004616,,,,,100,,1.764886528,3.284803801,0.981303926,9.34143718,1.146750119,96.3125,0.118764846,1.017647059,0.350912779,,0.135871178,0.119551302,0.008917206,0.302321914,1.204711888,0.750271242,9.617823644,703.7116905,662.0711947,,,,,,91,,,6.76,10.5,450,4.82,10.37,,,33,2.76,28,24,,,,,,,,,,5.22,15.74,1.514,6.23,2.47,0.092,3.05,0.49,3.14,0.6,1.51,0.23,1.55,0.2
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",11,"Superior Province, Quebec",Preissac,Bt monzogranite? Or ms+grt???,75.64942385,0.080628216,14.55339302,0.625723536,,0.020157054,0.715575419,3.940704067,4.40431631,0.010078527,,,,,100,,0.726508806,5.430780158,0.968791361,7.629444958,1.224189457,180.5,0.181585678,1.017647059,0.350912779,,0.127160506,0.0935099,0.012759904,0.285472598,1.258935328,0.685019506,9.019986643,754.5539325,724.2244157,,,,,,,,,,79,397,6,11.6,,,60,3,24,14,,,,,,,,,,18.4,31,,10.6,2.6,0.1,,0.4,,2,,,1.3,2
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",12,"Superior Province, Quebec",Preissac,Bt monzogranite? Or ms+grt???,74.72582323,0.120363742,14.76461903,0.830306807,,0.220666861,0.87263713,3.961973178,4.443428147,0.060181871,,,,,100,,1.17133741,32.1467473,0.790035786,7.532764194,1.225464379,122.6666667,0.220253165,1.017647059,0.350912779,,0.127846827,0.0943403,0.015560577,0.289615909,1.24356504,0.703328909,8.659983909,783.5502862,758.7160148,,,,,,,,,,116,331,,,,,86,,22,10,,,,,,,,,,,,,,,,,,,,,,,
