Sample,suite,Location,Rock type,unit,Reference,Age,Age2se,Sm,Nd,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144 2se,eNd,TDM,,,Pb206_204,Pb207_204,Pb208_204,Mineral,Easting,Northing,UTM,Easting_for_R,"These Lat longs are from an online coversion tool, might not be exactly accurate",Latitude,Longitude,Latitude,,,Longitude,,,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3t,FeO,Fe2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,S,F,Cl,LOI,sum,Li,Rb,Cs,Be,Sr,Ba,Sc,Y,Zr,Hf,V,Nb,Ta,Cr,Mo,W,Co,Ni,Cu,Ag,Zn,Cd,Ga,In,Tl,Ge,Sn,Pb,As,Sb,Bi,Se,Te,Br,I,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,U
44,,Yellowknife Supergroup,,,Davis and Hegner 1992,2650,,39.33,6.87,0.1056,0.511251,,4,"2,666",,,,,,,492352,7288340,12,1492352,,65.71666667,-111.1666667,65,43,,111,10,,65 43,111 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Yellowknife Supergroup,,,Davis and Hegner 1992,2650,,30.68,5.5,0.1084,0.511184,,1.8,"2,834",,,,,,,369830,7105310,13,2369830,,64.05,-107.6666667,64,3,,107,40,,64 03,107 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Yellowknife Supergroup,,,Davis and Hegner 1992,2650,,24.82,4.25,0.1034,0.511055,,0.9,"2,894",,,,,,,380506,7086293,13,2380506,,63.88333333,-107.4333333,63,53,,107,26,,63 53,107 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,Yellowknife Supergroup,,,Davis and Hegner 1992,2650,,31.4,5.64,0.1086,0.511113,,0.3,"2,942",,,,,,,380929,7419113,13,2380929,,66.86666667,-107.7166667,66,52,,107,43,,66 52,107 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,Yellowknife Supergroup,,,Davis and Hegner 1992,2650,,9.81,2.23,0.1373,0.511276,,-6.4,"3,432",,,,,,,404669,7250870,12,1404669,,65.36666667,-113.05,65,22,,113,3,,65 22,113 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Yellowknife Supergroup,,,Davis and Hegner 1992,2679,,32.07,6.21,0.1171,0.511414,,3.6,"2,723",,,,,,,410710,7139174,13,2410710,,64.36666667,-106.85,64,22,,106,51,,64 22,106 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Yellowknife Supergroup,,,Davis and Hegner 1992,2650,,18.18,2.58,0.08268,0.510822,,3.5,"2,707",,,,,,,464479,7260682,12,1464479,,65.46666667,-111.7666667,65,28,,111,46,,65 28,111 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Yellowknife Supergroup,,,Davis and Hegner 1992,2679,,12.26,1.62,0.07968,0.510683,,2.2,"2,824",,,,,,,381024,7162491,13,2381024,,64.56666667,-107.4833333,64,34,,107,29,,64 34,107 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,Yellowknife Supergroup,,,Davis and Hegner 1992,2679,,21.55,4.27,0.1197,0.511362,,1.7,"2,865",,,,,,,409101,7139221,13,2409101,,64.36666667,-106.8833333,64,22,,106,53,,64 22,106 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Yellowknife Supergroup,,,Davis and Hegner 1992,2650,,5.16,0.8,0.0972,0.510955,,1.1,2.882,,,,,,,456758,7260786,12,1456758,,65.46666667,-111.9333333,65,28,,111,56,,65 28,111 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Yellowknife Supergroup,,,Davis and Hegner 1992,2671,,23.84,4.14,0.1051,0.511202,,3.5,"2,723",,,,,,,385619,7091678,13,2385619,,63.93333333,-107.3333333,63,56,,107,20,,63 56,107 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Yellowknife Supergroup,,,Davis and Hegner 1992,2670,,16.03,3.5,0.1262,0.511552,,3.1,"2,754",,,,,,,462958,7262558,12,1462958,,65.48333333,-111.8,65,29,,111,48,,65 29,111 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,Yellowknife Supergroup,,,Davis and Hegner 1992,2692,,10.29,3.32,0.1949,0.512669,,1.2,"2,908",,,,,,,626896,7220454,12,1626896,,65.08333333,-108.3,65,5,,108,18,,65 05,108 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Augustus granite,Point Lake,,,Davis and Hegner 1992,3155,,77.27,14.55,0.1138,0.511082,,3.4,"3,137",,,,,,,403407,7236042,12,1403407,,65.23333333,-113.0666667,65,14,,113,4,,65 14,113 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Acasta gniess,Acasta,,,Davis and Hegner 1992,3480,,45.09,5.12,0.06863,0.50954,,-2.9,"3,826",,,,,,,570730,7209294,11,570730,,65.16666667,-115.5,65,10,,115,30,,65 10,115 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sleepy dragon,Yellowknife,cataclastic granite,,Davis et al. 1996,2684,,,,,,,,,,,14.654,15.229,35.223,,402017,6979260,12,1402017,,62.93,-112.93,62,93,,112,93,,62 55.8,112 56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sleepy dragon,Yellowknife,cataclastic granite,,Davis et al. 1996,2684,,,,,,,,,,,18.305,15.646,38.347,,402017,6979260,12,1402017,,62.93,-112.93,62,93,,112,93,,62 55.8,112 55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sleepy dragon,Yellowknife,Bt granodiorite,,Davis et al. 1996,2819,,,,,,,-4.3,,,,14.359,15.267,34.262,,401476,6978161,12,1401476,,62.92,-112.94,62,92,,112,94,,62 55.2,115 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sleepy dragon,Yellowknife,Bt granodiorite,,Davis et al. 1996,2819,,,,,,,-4.3,,,,14.378,15.267,34.223,,401476,6978161,12,1401476,,62.92,-112.94,62,92,,112,94,,62 55.2,112 56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Defeat,Yellowknife,Bt tonalite,,Davis et al. 1996,2620,,,,,,,0.5,,,,14.062,14.934,33.906,,623270,6927707,11,623270,,62.46,-114.61,62,46,,114,61,,62 27.6,112 55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Defeat,Yellowknife,Bt tonalite,,Davis et al. 1996,2620,,,,,,,0.5,,,,14.059,14.926,33.923,,623270,6927707,11,623270,,62.46,-114.61,62,46,,114,61,,62 27.6,114 36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Defeat,Yellowknife,Bt tonalite,,Davis et al. 1996,2618,,,,,,,0.8,,,,14.868,15.051,34.56,,364356,6928187,12,1364356,,62.46,-113.63,62,46,,113,63,,62 27.6,114 36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Defeat,Yellowknife,Bt tonalite,,Davis et al. 1996,2618,,,,,,,0.8,,,,14.479,15.044,34.115,,364356,6928187,12,1364356,,62.46,-113.63,62,46,,113,63,,62 27.6,113 37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Stagg,Yellowknife,Bt granite,,Davis et al. 1996,2588,,,,,,,0,,,,14.639,15.07,34.344,,560258,6959401,11,560258,,62.76,-115.82,62,76,,115,82,,62 45.6,113 37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Stagg,Yellowknife,Bt granite,,Davis et al. 1996,2588,,,,,,,0,,,,14.484,15.083,34.244,,560258,6959401,11,560258,,62.76,-115.82,62,76,,115,82,,62 45.6,115 49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Prosperous,Yellowknife,M-Bt granite,,Davis et al. 1996,2580,,,,,,,0,,,,14.108,14.986,33.93,,347290,6938967,12,1347290,,62.55,-113.97,62,55,,113,97,,62 33,115 49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Prosperous,Yellowknife,M-Bt granite,,Davis et al. 1996,2580,,,,,,,0,,,,14.337,14.974,33.827,,347290,6938967,12,1347290,,62.55,-113.97,62,55,,113,97,,62 33,113 58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Awry,Yellowknife,Bt granite,,Davis et al. 1996,2570,,,,,,,3,,,,14.203,14.982,34.009,,571612,6954057,11,571612,,62.71,-115.6,62,71,,115,6,,62 42.6,113 58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Awry,Yellowknife,Bt granite,,Davis et al. 1996,2570,,,,,,,3,,,,14.263,14.975,33.978,,571612,6954057,11,571612,,62.71,-115.6,62,71,,115,6,,62 42.6,115 3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5105,K-spar porphyritic granite,Walmsley Lake,K-spar porphyritic granite,,Cairns et al 2005,2581,4,,,,,,,,,,,,,,,,,,,63.0964,-109.5924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A280-87,Concession,,,Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,460898,7285548,12,1460898,,65.6881983,-111.85116,,,,,,,,,60.38,0.58,16.74,,5.11,,,0.09,4.23,5.35,5.09,2.18,0.25,,,,,,,,53,54,4,,1243,1034,15,12,174,,123,5.5,,102,,,,68,,,66,,24,,,,,8,,,,,,,,32.48,72.32,8.66,34.63,6.02,1.24,5.06,0.51,2.44,0.47,1.2,0.15,1.06,0.15,4.59,1.03
A294-87,Yamba,,,Yamba/undivided,Bill Davis email ,,,,,,,,,,,,,,,,454427,7313219,12,1454427,,65.93670636,-112.0016599,,,,,,,,,74.56,0.16,14.11,,1.25,,,0.01,0.44,0.81,3.61,4.93,0.13,,,,,,,,31.6,122,2.9,,119,595,,27,133,,,6.9,,,,,,,,,14,,16,,,,,28,,,,,,,,40.05,87.26,9.56,35.04,6.67,0.74,6.04,0.75,3.7,0.62,1.47,0.19,1.32,0.18,22.24,5.22
A325-87,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,462900,7249300,12,1462900,,65.36324973,-111.7975901,,,,,,,,,53.24,0.87,17.93,,7.89,,,0.14,5.54,7.64,4.17,1.94,0.64,,,,,,,,38.4,75,3.1,,1380,410,23,20,94,,200,4.7,,58,,,,36,,,101,,22,,,,,5,,,,,,,,46.67,113.26,14.75,65.42,11.93,4.09,9.21,1,4.74,0.83,1.97,0.24,1.52,0.21,1.59,0.87
A359-87,Contwoyto,,,Contwoyto/sills S of Southern Diorite,Bill Davis email ,,,,,,,,,,,,,,,,454400,7291200,12,1454400,,65.73918264,-111.9945889,,,,,,,,,71.93,0.2,15.59,,1.83,,,0.01,0.62,1.39,4.33,3.91,0.19,,,,,,,,101.7,143,8.3,,211,782,3,6,179,,19,5.8,,,,,,,,,49,,24,,,,,21,,,,,,,,34.73,72.16,7.93,28.74,4.84,0.6,3.15,0.27,1.13,0.18,0.41,0.06,0.33,0.05,13.62,4.45
BNB94-026,Upper Watta Lake pluton,,Upper Watta Lake pluton,,"Davis and Bleeker, 1999",2629,10,,,,,,,,,,,,,,392225,6906190,12,,,62.27180208,-113.0764448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB94-026,Upper Watta Lake pluton,,Upper Watta Lake pluton,,"Davis and Bleeker, 1999",2624,3,,,,,,,,,,,,,,392225,6906190,12,,,62.27180208,-113.0764448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB95-034,Terry Lake porphyry,,Terry Lake porphyry,,"Davis and Bleeker, 1999",2615,8,,,,,,,,,,,,,,380550,6934600,12,,,62.5230554,-113.3208132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB96-013,Hidden Lake pluton,,Hidden Lake pluton,,"Davis and Bleeker, 1999",2606,2,,,,,,,,,,,,,,363500,6938100,12,,,62.54853474,-113.6544775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB96-022,Sparrow Lake pluton,,Sparrow Lake pluton,,"Davis and Bleeker, 1999",2596,2,,,,,,,,,,,,,,363500,6938100,12,,,62.54853474,-113.6544775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB96-041,Morose granite,,Morose granite,,"Davis and Bleeker, 1999",2586,2,,,,,,,,,,,,,,412219,6971249,12,,,62.86073065,-112.7249432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB96-062,Wool Bay diorite,,Wool Bay diorite,,"Davis and Bleeker, 1999",2628,3,,,,,,,,,,,,,,645200,6910600,12,,,62.29867216,-108.1997244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D007A-88,Yamba,,,Yamba/SE Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,465159,7230007,12,1465159,,65.19153985,-111.7441815,,,,,,,,,73.3,0.28,14.17,,1.59,,,0.02,0.52,1.92,3.53,4.58,0.09,,,,,,,,,87,,,412,1450,,6,171,,30,3.4,,,,,,,,,18,,19,,,,,,,,,,,,,40.88,77.78,8.75,31.58,4.68,0.77,2.67,0.25,0.98,0.15,0.31,0.03,0.24,0.03,15.72,
D007B-88,Yamba,,,Yamba/SE Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,465159,7230007,12,1465159,,65.19153985,-111.7441815,,,,,,,,,69.49,0.45,15.93,,2.18,,,0.02,0.92,2.78,4.67,3.38,0.19,,,,,,,,,82,,,437,1471,,6,236,,39,4.3,,10,,,,,,,43,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,16,
D014-89,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,586800,7235300,12,1586800,,65.22827831,-109.1432879,,,,,,,,,65.21,0.56,15.93,,4.15,,,0.06,2.49,4.43,4.62,2.31,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D023-87,Concession,,,Concession/Southern Diorite,Bill Davis email ,,,,,,,,,,,,,,,,459170,7261621,12,1459170,,65.4733376,-111.8814736,,,,,,,,,56.34,0.86,17.96,,6.65,,,0.1,4.45,6.3,4.53,2.32,0.48,,,,,,,,,84,,,1129,781,17,24,229,,150,11.1,,44,,,,31,43,,92,,23,,,,,,,,,,,,,63.36,149.57,18.85,77.07,13.45,2.63,8.71,1.01,4.91,0.86,2.14,0.29,1.81,0.28,0.01,
D029-87,Concession,,,Concession/Southern Diorite,Bill Davis email ,,,,,,,,,,,,,,,,459139,7258475,12,1459139,,65.44511085,-111.8811926,,,,,,,,,61.54,0.58,17.6,,4.92,,,0.08,3.34,4.8,4.8,2.09,0.27,,,,,,,,,59,,,788,704,14,17,157,,117,7.7,,35,,,,16,,,66,,17,,,,,,,,,,,,,49.49,106.69,12.98,51.28,8.93,1.61,6.12,0.74,3.65,0.68,1.8,0.24,1.57,0.25,0,
D029-89,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,588500,7226600,12,1588500,,65.14980719,-109.1125106,,,,,,,,,70.97,0.37,15.52,,2.06,,,0.03,0.83,2.96,5.27,1.89,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D033-87,Contwoyto,,,Contwoyto/undivided,Bill Davis email ,,,,,,,,,,,,,,,,457215,7257894,12,1457215,,65.44078505,-111.9225501,,,,,,,,,73.82,0.16,14.21,,1.27,,,0.02,0.41,1.04,3.51,5.34,0.21,,,,,,,,,201,,,95,519,,17,134,,,14.4,,,,,,,,,36,,20,,,,,,,,,,,,,46.26,93.15,10.32,36.54,7.11,0.14,4.67,0.65,3.1,0.52,1.36,0.18,1.13,0.17,0.38,
D035B-87,Contwoyto,,,Contwoyto/undivided,Bill Davis email ,,,,,,,,,,,,,,,,457493,7258856,12,1457493,,65.44945168,-111.9168586,,,,,,,,,73.45,0.12,15.22,,0.99,,,0.02,0.32,0.63,3.35,5.68,0.21,,,,,,,,,192,,,104,551,,14,69,,,10.3,,,,,,,,,19,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D037-89,Wishbone,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,587500,7231500,12,1587500,,65.1940157,-109.1307309,,,,,,,,,77.39,0.08,12.25,,1.28,,,0.03,0.11,1,4,3.84,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D038-89,Wishbone,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,587000,7231000,12,1587000,,65.18966446,-109.14172,,,,,,,,,77.96,0.08,12.23,,0.94,,,0.02,0.03,0.55,4.07,4.12,,,,,,,,,,132,,,20,591,,79,131,,,28.7,,,,,,,,,10,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,10.11,3.03
D040-89,Wishbone,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,585500,7230000,12,1585500,,65.1810898,-109.1743569,,,,,,,,,77.57,0.04,12.34,,1.12,,,0.02,0.11,0.72,3.85,4.21,,,,,,,,,,,,,,284,,101,,,,32.2,,,,,,,,,,,,,,,,,,,,,,,,13.28,34.33,5.01,22.82,8.99,0.54,12.52,2.38,16.7,3.7,11.43,1.75,11.36,1.64,12.34,
D041-89,Wishbone,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,585500,7230000,12,1585500,,65.1810898,-109.1743569,,,,,,,,,75.39,0.04,13.74,,0.84,,,0.02,0.13,0.91,4.14,4.78,0.01,,,,,,,,,131,,,70,608,5,140,102,,,14.1,,14,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,23.24,5.05
D044-87,Siege,,,Siege Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,465000,7252900,12,1465000,,65.39691139,-111.7534184,,,,,,,,,74.02,0.08,15.53,,0.66,,,0.02,0.22,1.94,4.98,2.43,0.12,,,,,,,,,63,,,469,484,,3,71,,,2.4,,,,,,,,,10,,16,,,,,,,,,,,,,2.14,3.71,0.4,1.52,0.38,0.16,0.36,0.07,0.48,0.1,0.31,0.05,0.36,0.06,0.14,
D044-89,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,585500,7234500,12,1585500,,65.22144504,-109.1715741,,,,,,,,,57.56,0.72,15.58,,6.52,,,0.1,5.46,6.81,3.57,3,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D045-89,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,585500,7234500,12,1585500,,65.22144504,-109.1715741,,,,,,,,,58.96,0.67,15.25,,6.11,,,0.09,5.66,6.73,3.71,2.46,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D051-89,Yamba,,,Yamba/Southern Diorite,Bill Davis email ,,,,,,,,,,,,,,,,555561,7231017,12,1555561,,65.19775592,-109.8129407,,,,,,,,,74.8,0.2,13.83,,1.18,,,0.01,0.39,0.61,3.32,5.46,0.2,,,,,,,,,207,,,87,367,,1,87,,,6.6,,21,,,,,,,51,,21,,,,,21,,,,,,,,,,,,,,,,,,,,,,13,12
D054B-87,CVB,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,463300,7261900,12,1463300,,65.47633307,-111.7923983,,,,,,,,,49.68,1.02,17.75,,9.1,,,0.16,6.89,11.47,2.83,0.86,0.24,,,,,,,,,16,,,329,93,31,18,72,,237,6.7,,119,,,,121,,,82,,18,,,,,,,,,,,,,12.53,29.05,3.98,16.68,3.64,1.23,3.29,0.51,3.2,0.67,1.76,0.26,1.67,0.24,0.4,
D055-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,476695,7225414,12,1476695,,65.15134875,-111.4970217,,,,,,,,,74.19,0.2,13.83,,1.49,,,0.02,0.31,0.87,3.15,5.91,0.03,,,,,,,,,173,1,,63,475,,28,112,,11,12,,,,,,,,,11,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,18.98,
D056-89,Yamba,,,Yamba/Southern Diorite,Bill Davis email ,,,,,,,,,,,,,,,,551286,7223701,12,1551286,,65.13281832,-109.9069608,,,,,,,,,73.16,0.16,14.81,,1.03,,,0.01,0.35,0.67,3.51,6.19,0.11,,,,,,,,,125,,,100,476,,6,119,,13,2.4,,6,,,,,,,22,,18,,,,,40,,,,,,,,28.72,62.92,7.53,28.16,5.18,0.5,3.12,0.31,1.47,0.23,0.59,0.07,0.41,0.06,15.12,7.05
D057A-87,Contwoyto,,,Contwoyto/undivided,Bill Davis email ,,,,,,,,,,,,,,,,463865,7262069,12,1463865,,65.47904675,-111.7802926,,,,,,,,,74.51,0.16,14.07,,1.33,,,0.02,0.31,0.79,3.55,5.18,0.07,,,,,,,,24.8,162,2.2,,113,848,,22,154,,,10.1,,,,,,,,,22,,16,,,,,42,,,,,,,,55.96,99.3,9.46,30.74,5.73,0.34,5.29,0.73,3.64,0.62,1.47,0.19,1.24,0.19,65.26,13.06
D059A-87,Contwoyto,,,Contwoyto/undivided,Bill Davis email ,,,,,,,,,,,,,,,,463700,7262800,12,1463700,,65.48558643,-111.7840517,,,,,,,,,76.19,0.08,14.28,,0.4,,,0.02,0.13,1.22,5.08,2.6,0.01,,,,,,,,14.7,85,1.9,,98,260,,11,47,,,5.2,,,,,,,,,,,18,,,,,25,,,,,,,,4.1,7.32,0.75,2.56,0.74,0.36,0.87,0.16,1.01,0.21,0.6,0.1,0.7,0.11,3.58,5.35
D060-88,Yamba,,,Yamba/Wolverine Monzogranite,Bill Davis email ,,,,,,,,,,,,,,,,471871,7223493,12,1471871,,65.13373729,-111.5995071,,,,,,,,,73.25,0.2,14.63,,1.7,,,0.03,0.39,0.89,3.38,5.49,0.04,,,,,,,,,221,,,87,658,,26,156,,15,21.1,,,,,,,,,14,,18,,,,,,,,,,,,,52.48,103.72,9.27,30.32,5.19,0.39,3.71,0.51,2.55,0.43,0.98,0.12,0.82,0.12,41.44,
D063-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,471868,7226178,12,1471868,,65.15782719,-111.6001149,,,,,,,,,75.26,0.24,12.88,,2,,,0.02,0.4,1.39,3.07,4.72,0.02,,,,,,,,,165,,,74,535,,15,175,,15,14.9,,,,,,,,,19,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,59,
D065B-87,Gondor,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,458300,7266700,12,1458300,,65.51879055,-111.9018234,,,,,,,,,77.09,0.24,12.28,,2.31,,,0.03,0.42,1.21,4.62,1.79,,,,,,,,,13.56,43,2.19,,68,487,3,84,313,,,27.1,,,,,,,5,,13,,16,,,,,5,,,,,,,,65.9,150.84,18.45,73.32,14.69,1.8,14.83,2.38,14.94,3.2,8.77,1.29,8.69,1.31,9.71,2.25
D066-89,Yamba,,,Yamba/Southern Diorite,Bill Davis email ,,,,,,,,,,,,,,,,508852,7209436,12,1508852,,65.00868809,-110.8122241,,,,,,,,,72.96,0.3,14.85,,1.91,,,0.03,0.71,2.01,4.28,2.85,0.1,,,,,,,,,105,,,323,738,,6,139,,32,7.8,,9,,,,,,,51,,21,,,,,15,,,,,,,,31.86,67.9,7.75,27.5,4.42,0.88,2.87,0.28,1.34,0.2,0.5,0.1,0.4,0.06,7.03,4.01
D072A-87,Olga,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,464000,7296000,12,1464000,,65.78232425,-111.7864917,,,,,,,,,74.99,0.04,15.12,,0.62,,,0.04,0.14,2.31,5.33,1.4,,,,,,,,,,32,,,485,530,,1,66,,,1.2,,,,,,,,,,,16,,,,,2,,,,,,,,6.61,13.06,1.45,5.24,0.82,0.18,0.57,0.07,0.34,0.06,0.16,0.02,0.16,0.03,0.89,0.58
D072B-87,Olga,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,464000,7296000,12,1464000,,65.78232425,-111.7864917,,,,,,,,,72.52,0.36,14.79,,2.66,,,0.04,0.72,2.86,4.69,1.24,0.12,,,,,,,,,43,,,282,,,7,235,,,5,,,,,,,,,,,,,,,,,,,,,,,,28.2,52.64,5.55,18.29,2.59,0.68,1.97,0.24,1.27,0.27,0.68,0.1,0.69,0.12,5.06,
